"icd","ccs","ccsdesc","icddesc","icdvers"
,"0","No PROC","INVALID CODES IN USER DATA","ICD-9-CM"
"0001","231","Ot Rx procs","THERAP ULTRASOUND OF HEAD AND NECK (Begin 2002)","ICD-9-CM"
"0002","231","Ot Rx procs","THERAPEUTIC ULTRASOUND OF HEART (Begin 2002)","ICD-9-CM"
"0003","231","Ot Rx procs","THERAP ULTRASOUND PERIPHRL VASC VESSELS (Begin 2002)","ICD-9-CM"
"0009","231","Ot Rx procs","OTHER THERAPEUTIC ULTRASOUND (Begin 2002)","ICD-9-CM"
"0010","224","CA chemoRx","IMPLANTATION OF CHEMOTHERAPEUTIC AGENT (Begin 2002)","ICD-9-CM"
"0011","231","Ot Rx procs","INFUSION DROTRECOGIN ALFA (ACTIVATED) (Begin 2002)","ICD-9-CM"
"0012","231","Ot Rx procs","ADMINISTRATION OF INHALED NITRIC OXIDE (Begin 2002)","ICD-9-CM"
"0013","231","Ot Rx procs","INJECTION OR INFUSION OF NESIRITIDE (Begin 2002)","ICD-9-CM"
"0014","231","Ot Rx procs","INJECT/INFUS OF OXAZOLIDINONE ANTIBTCS (Begin 2002)","ICD-9-CM"
"0015","224","CA chemoRx","HIGH-DOSE INFUSION INTERLEUKIN-2 (IL-2) (Begin 2003)","ICD-9-CM"
"0016","231","Ot Rx procs","PRESSURIZED TREAT GRAFT (Begin 2004)","ICD-9-CM"
"0017","231","Ot Rx procs","INFUSION OF VASOPRESSOR (Begin 2004)","ICD-9-CM"
"0018","231","Ot Rx procs","INFUS IMMUNOSUP ANTIBODY (Begin 2005)","ICD-9-CM"
"0019","231","Ot Rx procs","BBBD VIA INFUSION (Begin 2007)","ICD-9-CM"
"0021","192","Dx US head","IVUS EXTRACRAN CEREB VES (Begin 2004)","ICD-9-CM"
"0022","197","Ot Dx US","IVUS INTRATHORACIC VES (Begin 2004)","ICD-9-CM"
"0023","197","Ot Dx US","IVUS PERIPHERAL VESSELS (Begin 2004)","ICD-9-CM"
"0024","193","Echocardiogr","IVUS CORONARY VESSELS (Begin 2004)","ICD-9-CM"
"0025","195","Dx US urin","IVUS RENAL VESSELS (Begin 2004)","ICD-9-CM"
"0028","197","Ot Dx US","INTRAVASCUL IMAGING NEC (Begin 2004)","ICD-9-CM"
"0029","197","Ot Dx US","INTRAVASCUL IMAGING NOS (Begin 2004)","ICD-9-CM"
"0031","180","Ot CT scan","CAS W CT/CTA (Begin 2004)","ICD-9-CM"
"0032","198","MRI","CAS W MR/MRA (Begin 2004)","ICD-9-CM"
"0033","226","Ot Dx rad","CAS W FLUOROSCOPY (Begin 2004)","ICD-9-CM"
"0034","226","Ot Dx rad","IMAGELESS COMP ASST SURG (Begin 2004)","ICD-9-CM"
"0035","226","Ot Dx rad","CAS W MULTIPLE DATASETS (Begin 2004)","ICD-9-CM"
"0039","226","Ot Dx rad","OTHER CAS (Begin 2004)","ICD-9-CM"
"0040","61","Ot vessels","PROCEDURE-ONE VESSEL (Begin 2005)","ICD-9-CM"
"0041","61","Ot vessels","PROCEDURE-TWO VESSELS (Begin 2005)","ICD-9-CM"
"0042","61","Ot vessels","PROCEDURE-THREE VESSELS (Begin 2005)","ICD-9-CM"
"0043","61","Ot vessels","PROCEDURE-FOUR+ VESSELS (Begin 2005)","ICD-9-CM"
"0044","61","Ot vessels","PROC-VESSEL BIFURCATION (Begin 2006)","ICD-9-CM"
"0045","61","Ot vessels","INSERT 1 VASCULAR STENT (Begin 2005)","ICD-9-CM"
"0046","61","Ot vessels","INSERT 2 VASCULAR STENTS (Begin 2005)","ICD-9-CM"
"0047","61","Ot vessels","INSERT 3 VASCULAR STENTS (Begin 2005)","ICD-9-CM"
"0048","61","Ot vessels","INSERT 4+ VASCULR STENTS (Begin 2005)","ICD-9-CM"
"0049","63","n-OR CV prs","SUPERSAT O2 THERAPY (Begin 2008)","ICD-9-CM"
"0050","48","Pacemaker","IMPLA RESYNCHR PACEMAKER W/0 DEFIBRI (Begin 2002)","ICD-9-CM"
"0051","48","Pacemaker","IMPLA RESYNCHRONIZATION DEFIBRILLATOR (Begin 2002)","ICD-9-CM"
"0052","48","Pacemaker","IMPL/REPL TRANSVENOUS LEAD LF VENTRI (Begin 2002)","ICD-9-CM"
"0053","48","Pacemaker","IMPL/REPL PACEMAKER; PLSE GENRATR ONLY (Begin 2002)","ICD-9-CM"
"0054","48","Pacemaker","IMPL/REPL DEFIBRIL GENERATOR ONLY (Begin 2002)","ICD-9-CM"
"0055","61","Ot vessels","INSERT DRUG-ELUTING NONCRNRY ARTRY STNT (Begin 2002)","ICD-9-CM"
"0056","48","Pacemaker","INS/REP IMPL SENSOR LEAD (Begin 2006)","ICD-9-CM"
"0057","48","Pacemaker","IMP/REP SUBCUE CARD DEV (Begin 2006)","ICD-9-CM"
"0058","227","Oth diag procs","INS INTRA-ANSM PRES MNTR (Begin 2008)","ICD-9-CM"
"0059","227","Oth diag procs","INTRAVASC MSMNT COR ART (Begin 2008)","ICD-9-CM"
"0060","63","n-OR CV prs","Ins d-e stnt sup fem art (Begin 2010)","ICD-9-CM"
"0061","59","Vesl hed/nck","PERC ANGIO PRECEREB VESS (Begin 2004)","ICD-9-CM"
"0062","59","Vesl hed/nck","PERC ANGIO INTRACRAN VES (Begin 2004)","ICD-9-CM"
"0063","59","Vesl hed/nck","PERC INS CAROTID STENT (Begin 2004)","ICD-9-CM"
"0064","59","Vesl hed/nck","PERC INS PRECEREB STENT (Begin 2004)","ICD-9-CM"
"0065","59","Vesl hed/nck","PERC INS INTRACRAN STENT (Begin 2004)","ICD-9-CM"
"0066","45","PTCA","PTCA OR CORONARY ATHER (Begin 2005)","ICD-9-CM"
"0067","227","Oth diag procs","INTRAVAS MSMNT THORC ART (Begin 2008)","ICD-9-CM"
"0068","227","Oth diag procs","INTRAVAS MSMT PERIPH ART (Begin 2008)","ICD-9-CM"
