CPT_CODE	CPT_DESCR
00100	"ANESTH, FOR PROCEDURES ON SALIVARY GLANDS;INCLUDING BIOPSY"
00102	"ANESTH, REPAIR OF CLEFT LIP"
00103	"ANESTH, BLEPHAROPLASTY"
00104	ANESTH FOR ELECTROSHOCK
00120	ANESTHESIA FOR EAR SURGERY
00124	ANESTHESIA FOR EAR EXAM
00126	"ANESTH, TYMPANOTOMY"
00140	"ANESTH, PROCEDURES ON EYE"
00142	ANESTHESIA FOR LENS SURGERY
00144	"ANESTH, CORNEAL TRANSPLANT"
00145	"ANESTH, VITRECTOMY"
00147	"ANESTH, IRIDECTOMY"
00148	ANESTHESIA FOR EYE EXAM
00160	"ANESTH, NOSE, SINUS SURGERY"
00162	"ANESTH, NOSE, SINUS SURGERY"
00164	"ANESTH, BIOPSY OF NOSE"
00170	"ANESTH, PROCEDURE ON MOUTH"
00172	"ANESTH, CLEFT PALATE REPAIR"
00174	"ANESTH, PHARYNGEAL SURGERY"
00176	"ANESTH, PHARYNGEAL SURGERY"
00190	"ANESTH, FACIAL BONE SURGERY"
00192	"ANESTH, FACIAL BONE SURGERY"
00210	"ANESTH, OPEN HEAD SURGERY"
00212	"ANESTH, SKULL DRAINAGE"
00214	"ANESTH, SKULL DRAINAGE"
00215	"ANESTH, SKULL FRACTURE"
00216	"ANESTH, HEAD VESSEL SURGERY"
00218	"ANESTH, SPECIAL HEAD SURGERY"
00220	"ANESTH, SPINAL FLUID SHUNT"
00222	"ANESTH, HEAD NERVE SURGERY"
00300	"ANESTH, SKIN SURGERY, NECK"
00320	"ANESTH, NECK ORGAN SURGERY"
00322	"ANESTH, BIOPSY OF THYROID"
00326	ANESTH. ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN LESS THAN 1 YEAR OF AGE
00350	"ANESTH, NECK VESSEL SURGERY"
00352	"ANESTH, NECK VESSEL SURGERY"
00400	"ANESTH, CHEST SKIN SURGERY"
00401	COMPLETE BLOOD COUNT
00402	"ANESTH, SURGERY OF BREAST"
00403	HEMOGLOBIN
00404	"ANESTH, SURGERY OF BREAST"
00406	"ANESTH, SURGERY OF BREAST"
00410	"ANESTH, CORRECT HEART RHYTHM"
00420	"ANESTH, SKIN SURGERY, BACK"
00450	"ANESTH, SURGERY OF SHOULDER"
00452	"ANESTH, SURGERY OF SHOULDER"
00454	"ANESTH, COLLAR BONE BIOPSY"
