CPT_CODE	CPT_DESCR
0001U	RBC DNA HEA 35 AG 11 BLD GRP Pre-Auth/Cert Required
0002U	ONC CLRCT 3 UR METAB ALG PLP Pre-Auth/Cert Required
0003U	ONC CLRCT 3 UR METAB ALG PLP Pre-Auth/Cert Required
0004M	Scoliosis DNA Analysis of 53 SNPs Saliva Pre-Auth/Cert Required
0005U	ONCO PRST8 3 GENE UR ALG Pre-Auth/Cert Required
0007M	Onc gastro 51 gene nomogram Pre-Auth/Cert Required
0008M	Onc breast risk score Pre-Auth/Cert Required
0019T	EXTRACORP SHOCK WV TX,MS Pre-Auth/Cert Required Code Deleted
0051T	IMPLANT TOTAL HEART SYST Pre-Auth/Cert Required
0052T	REPLACE COMPONENT HEART Pre-Auth/Cert Required
0053T	REPLACE COMPONENT HEART Pre-Auth/Cert Required
0059T	CRYOPRESERVATION, OOCYTE Pre-Auth/Cert Required Code Deleted
0071T	U/S LEIOMYOMATA ABLATE < Pre-Auth/Cert Required
0072T	U/S LEIOMYOMATA ABLATE > Pre-Auth/Cert Required
0085T	BREATH TEST HEART REJECT Pre-Auth/Cert Required
0098T	REV ARTIFIC DISC ADDL Pre-Auth/Cert Required
0099T	IMPLANT CORNEAL RING Pre-Auth/Cert Required Code Deleted
0101T	EXTRACORP SHOCKWV TX,HI Pre-Auth/Cert Required
0102T	EXTRACORP SHOCKWV TX,ANE Pre-Auth/Cert Required
0103T	HOLOTRANSCOBALAMIN Pre-Auth/Cert Required Code Deleted
0111T	RBC MEMBRANES FATTY ACID Pre-Auth/Cert Required
0123T	SCLERAL FISTULIZATION Pre-Auth/Cert Required Code Deleted
0163T	LUMB ARTIF DISKECTOMY AD Pre-Auth/Cert Required
0165T	REVISE LUMB ARTIF DISC A Pre-Auth/Cert Required
0169T	PLACE STEREO CATH BRAIN Pre-Auth/Cert Required Code Deleted
0171T	LUMBAR SPINE PROCES DIST Pre-Auth/Cert Required Code Deleted
0172T	LUMBAR SPINE PROCES ADDL Pre-Auth/Cert Required Code Deleted
0174T	CAD CXR WITH INTERP Pre-Auth/Cert Required
0175T	CAD CXR REMOTE Pre-Auth/Cert Required
0182T	HDR ELEC BRACHYTHERAPY Pre-Auth/Cert Required Code deleted 12/31/2015
0190T	PLACE INTRAOC RADIATION Pre-Auth/Cert Required
0191T	INSERT ANT SEGMENT DRAIN Pre-Auth/Cert Required
0195T	ARTHROD PRESAC INTERBODY Pre-Auth/Cert Required
0196T	ARTHROD PRESAC INTERBODY Pre-Auth/Cert Required
0198T	OCULAR BLOOD FLOW MEASUR Pre-Auth/Cert Required
0200T	PERQ SACRAL AUGMT UNILAT Pre-Auth/Cert Required
0201T	PERQ SACRAL AUGMT BILAT Pre-Auth/Cert Required
