HCPC	Seq Num	RIC	Long Description	Short Description	PI1	PI2	PI3	PI4	MPI	CIM1	CIM2	CIM3	MCM1	MCM2	MCM3	Statute	Lab Cert1	Lab Cert2	Lab Cert3	Lab Cert4	Lab Cert5	Lab Cert6	Lab Cert7	Lab Cert8	X-Ref1	X-Ref2	X-Ref3	X-Ref4	X-Ref5	Coverage	ASC Pay Grp	ASC Pay Grp Eff Date	MOG Pay Grp	MOG Pay Ind	MOG Eff Date	Proc Note	BETOS	FILLER	TOS1	TOS2	TOS3	TOS4	TOS5	Anest Base Units	Code Add Date	Action Eff Date	Term Date	Action Code
   A1	00100	7	DRESSING FOR ONE WOUND	Dressing for one wound																										C														  0	20020701	20020701		N
   A2	00100	7	DRESSING FOR TWO WOUNDS	Dressing for two wounds																										C														  0	20020701	20020701		N
   A3	00100	7	DRESSING FOR THREE WOUNDS	Dressing for three wounds																										C														  0	20020701	20020701		N
   A4	00100	7	DRESSING FOR FOUR WOUNDS	Dressing for four wounds																										C														  0	20020701	20020701		N
   A5	00100	7	DRESSING FOR FIVE WOUNDS	Dressing for five wounds																										C														  0	20020701	20020701		N
   A6	00100	7	DRESSING FOR SIX WOUNDS	Dressing for six wounds																										C														  0	20020701	20020701		N
   A7	00100	7	DRESSING FOR SEVEN WOUNDS	Dressing for seven wounds																										C														  0	20020701	20020701		N
   A8	00100	7	DRESSING FOR EIGHT WOUNDS	Dressing for eight wounds																										C														  0	20020701	20020701		N
   A9	00100	7	DRESSING FOR NINE OR MORE WOUNDS	Dressing for 9 or more wound																										C														  0	20020701	20020701		N
   AA	00100	7	ANESTHESIA SERVICES PERFORMED PERSONALLY BY ANESTHESIOLOGIST	Anesthesia perf by anesgst									3350.5																	D														  0	19840101	20010101		N
   AD	00100	7	MEDICAL SUPERVISION BY A PHYSICIAN: MORE THAN FOUR CONCURRENT ANESTHESIA	"MD supervision, >4 anes proc"									3350.5																	D														  0	19840101	20010101		N
   AD	00200	8	PROCEDURES																																													
   AE	00100	7	REGISTERED DIETICIAN	Registered dietician																										C														  0	20050101	20050101		N
   AF	00100	7	SPECIALTY PHYSICIAN	Specialty physician																										C														  0	20050101	20050101		N
   AG	00100	7	PRIMARY PHYSICIAN	Primary physician																										C														  0	20050101	20050101		N
   AH	00100	7	CLINICAL PSYCHOLOGIST	Clinical psychologist									2150	5112																D														  0	19910101	19970101		N
   AI	00100	7	PRINCIPAL PHYSICIAN OF RECORD	Principal physician of rec																										C														  0	20100101	20100101		A
   AJ	00100	7	CLINICAL SOCIAL WORKER	Clinical social worker									2152	5113																D														  0	19910101	19970101		N
   AK	00100	7	NON PARTICIPATING PHYSICIAN	Non participating physician																										C														  0	20050101	20050101		N
