***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
A0021	"Ambulance service, outside state per mile, transport (medicaid only)"	Outside state ambulance serv
A0080	"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest"	Noninterest escort in non er
A0090	"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest"	Interest escort in non er
A0100	Non-emergency transportation; taxi	Nonemergency transport taxi
A0110	"Non-emergency transportation and bus, intra or inter state carrier"	Nonemergency transport bus
A0120	"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems"	Noner transport mini-bus
A0130	Non-emergency transportation: wheelchair van	Noner transport wheelch van
A0140	Non-emergency transportation and air travel (private or commercial) intra or inter state	Nonemergency transport air
A0160	Non-emergency transportation: per mile - case worker or social worker	Noner transport case worker
A0170	"Transportation ancillary: parking fees, tolls, other"	Transport parking fees/tolls
A0180	Non-emergency transportation: ancillary: lodging-recipient	Noner transport lodgng recip
A0190	Non-emergency transportation: ancillary: meals-recipient	Noner transport meals recip
A0200	Non-emergency transportation: ancillary: lodging escort	Noner transport lodgng escrt
A0210	Non-emergency transportation: ancillary: meals-escort	Noner transport meals escort
A0225	"Ambulance service, neonatal transport, base rate, emergency transport, one way"	Neonatal emergency transport
A0380	Bls mileage (per mile)	Basic life support mileage
A0382	Bls routine disposable supplies	Basic support routine suppls
A0384	Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)	Bls defibrillation supplies
A0390	Als mileage (per mile)	Advanced life support mileag
A0392	Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)	Als defibrillation supplies
A0394	Als specialized service disposable supplies; iv drug therapy	Als iv drug therapy supplies
A0396	Als specialized service disposable supplies; esophageal intubation	Als esophageal intub suppls
A0398	Als routine disposable supplies	Als routine disposble suppls
A0420	"Ambulance waiting time (als or bls), one half (1/2) hour increments"	Ambulance waiting 1/2 hr
A0422	"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation"	Ambulance 02 life sustaining
A0424	"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)"	Extra ambulance attendant
A0425	"Ground mileage, per statute mile"	Ground mileage
A0426	"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)"	Als 1
A0427	"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)"	Als1-emergency
A0428	"Ambulance service, basic life support, non-emergency transport, (bls)"	Bls
A0429	"Ambulance service, basic life support, emergency transport (bls-emergency)"	Bls-emergency
A0430	"Ambulance service, conventional air services, transport, one way (fixed wing)"	Fixed wing air transport
A0431	"Ambulance service, conventional air services, transport, one way (rotary wing)"	Rotary wing air transport
A0432	"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers"	Pi volunteer ambulance co
A0433	"Advanced life support, level 2 (als 2)"	Als 2
A0434	Specialty care transport (sct)	Specialty care transport
A0435	"Fixed wing air mileage, per statute mile"	Fixed wing air mileage
A0436	"Rotary wing air mileage, per statute mile"	Rotary wing air mileage
A0888	"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)"	Noncovered ambulance mileage
A0998	"Ambulance response and treatment, no transport"	Ambulance response/treatment
A0999	Unlisted ambulance service	Unlisted ambulance service
A4206	"Syringe with needle, sterile, 1 cc or less, each"	1 cc sterile syringe&needle
A4207	"Syringe with needle, sterile 2 cc, each"	2 cc sterile syringe&needle
A4208	"Syringe with needle, sterile 3 cc, each"	3 cc sterile syringe&needle
A4209	"Syringe with needle, sterile 5 cc or greater, each"	5+ cc sterile syringe&needle
A4210	"Needle-free injection device, each"	Nonneedle injection device
A4211	Supplies for self-administered injections	Supp for self-adm injections
A4212	Non-coring needle or stylet with or without catheter	Non coring needle or stylet
A4213	"Syringe, sterile, 20 cc or greater, each"	20+ cc syringe only
A4215	"Needle, sterile, any size, each"	Sterile needle
