"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0001","6A751Z4","10000",1,0,0,0,0
"0001","6A750Z4","10000",1,0,0,0,0
"0002","6A751Z5","10000",1,0,0,0,0
"0002","6A750Z5","10000",1,0,0,0,0
"0003","6A750Z6","10000",1,0,0,0,0
"0003","6A751Z6","10000",1,0,0,0,0
"0009","6A751ZZ","10000",1,0,0,0,0
"0009","6A931ZZ","10000",1,0,0,0,0
"0009","6A751Z7","10000",1,0,0,0,0
"0009","6A750ZZ","10000",1,0,0,0,0
"0009","6A930ZZ","10000",1,0,0,0,0
"0009","6A750Z7","10000",1,0,0,0,0
"0010","3E0P305","10000",1,0,0,0,0
"0010","3E0Q305","10000",1,0,0,0,0
"0010","3E0Y705","10000",1,0,0,0,0
"0010","3E0F805","10000",1,0,0,0,0
"0010","3E0P805","10000",1,0,0,0,0
"0010","3E0Q705","10000",1,0,0,0,0
"0010","3E0N305","10000",1,0,0,0,0
"0010","3E0V305","10000",1,0,0,0,0
"0010","3E0G305","10000",1,0,0,0,0
"0010","3E0J805","10000",1,0,0,0,0
"0010","3E0G805","10000",1,0,0,0,0
"0010","3E0H705","10000",1,0,0,0,0
"0010","3E0A305","10000",1,0,0,0,0
"0010","3E0Y305","10000",1,0,0,0,0
"0010","3E0L705","10000",1,0,0,0,0
"0010","3E0N705","10000",1,0,0,0,0
"0010","3E0N805","10000",1,0,0,0,0
"0010","3E0S305","10000",1,0,0,0,0
"0010","3E0K705","10000",1,0,0,0,0
"0010","3E0K805","10000",1,0,0,0,0
"0010","3E0L305","10000",1,0,0,0,0
"0010","3E01305","10000",1,0,0,0,0
"0010","3E0H805","10000",1,0,0,0,0
"0010","3E0M705","10000",1,0,0,0,0
"0010","3E0F705","10000",1,0,0,0,0
"0010","3E0R305","10000",1,0,0,0,0
"0010","3E0W305","10000",1,0,0,0,0
"0010","3E0F305","10000",1,0,0,0,0
"0010","3E02305","10000",1,0,0,0,0
"0010","3E0M305","10000",1,0,0,0,0
"0010","3E00X05","10000",1,0,0,0,0
"0010","3E0K305","10000",1,0,0,0,0
"0010","3E0G705","10000",1,0,0,0,0
"0010","3E0J705","10000",1,0,0,0,0
"0010","3E0P705","10000",1,0,0,0,0
"0010","3E0H305","10000",1,0,0,0,0
"0010","A000","00000",0,0,0,0,0
"0010","3E0J305","10000",1,0,0,0,0
"0011","3E05316","10000",1,0,0,0,0
"0011","3E03016","10000",1,0,0,0,0
"0011","3E06316","10000",1,0,0,0,0
"0011","3E04316","10000",1,0,0,0,0
"0011","3E04016","10000",1,0,0,0,0
"0011","3E07016","10000",1,0,0,0,0
"0011","3E05016","10000",1,0,0,0,0
"0011","A001","00000",0,0,0,0,0
"0011","3E07316","10000",1,0,0,0,0
"0011","3E03316","10000",1,0,0,0,0
"0011","3E06016","10000",1,0,0,0,0
"0011","3E08316","10000",1,0,0,0,0
"0011","3E08016","10000",1,0,0,0,0
