ISBT	Description	prodCDC
E0009	WHOLE BLOOD|CPD/450mL/refg	WB
E0013	WHOLE BLOOD|CPD/450mL/refg|Open	WB
E0014	WHOLE BLOOD|CPD/450mL/refg|Open|Irradiated	WB
E0015	WHOLE BLOOD|CPD/450mL/refg|Open|Irradiated|ResLeu:<5log6	WB
E0016	WHOLE BLOOD|CPD/450mL/refg|Open|ResLeu:<5log6	WB
E0017	WHOLE BLOOD|CPD/450mL/refg|Irradiated	WB
E0018	WHOLE BLOOD|CPD/450mL/refg|Irradiated|ResLeu:<5log6	WB
E0019	WHOLE BLOOD|CPD/450mL/refg|ResLeu:<5log6	WB
E0020	WHOLE BLOOD|CPD/450mL/refg|Cryo reduced	WB
E0021	WHOLE BLOOD|CPD/450mL/refg|Plts reduced	WB
E0022	WHOLE BLOOD|CPD/450mL/refg|Plts/Cryo reduced	WB
E0023	WHOLE BLOOD|CPD/500mL/refg	WB
E0027	WHOLE BLOOD|CPD/500mL/refg|Open	WB
E0028	WHOLE BLOOD|CPD/500mL/refg|Open|Irradiated	WB
E0029	WHOLE BLOOD|CPD/500mL/refg|Open|Irradiated|ResLeu:<5log6	WB
E0030	WHOLE BLOOD|CPD/500mL/refg|Open|ResLeu:<5log6	WB
E0031	WHOLE BLOOD|CPD/500mL/refg|Irradiated	WB
E0032	WHOLE BLOOD|CPD/500mL/refg|Irradiated|ResLeu:<5log6	WB
E0033	WHOLE BLOOD|CPD/500mL/refg|ResLeu:<5log6	WB
E0034	WHOLE BLOOD|CPD/500mL/refg|Cryo reduced	WB
E0035	WHOLE BLOOD|CPD/500mL/refg|Plts reduced	WB
E0036	WHOLE BLOOD|CPD/500mL/refg|Plts/Cryo reduced	WB
E0037	WHOLE BLOOD|CPD/250mL/refg	WB
E0041	WHOLE BLOOD|CPD/250mL/refg|Open	WB
E0042	WHOLE BLOOD|CPD/250mL/refg|Open|Irradiated	WB
E0043	WHOLE BLOOD|CPD/250mL/refg|Open|Irradiated|ResLeu:<5log6	WB
E0044	WHOLE BLOOD|CPD/250mL/refg|Open|ResLeu:<5log6	WB
E0045	WHOLE BLOOD|CPD/250mL/refg|Irradiated	WB
E0046	WHOLE BLOOD|CPD/250mL/refg|Irradiated|ResLeu:<5log6	WB
E0047	WHOLE BLOOD|CPD/250mL/refg|ResLeu:<5log6	WB
E0048	WHOLE BLOOD|CPD/XX/refg	WB
E0052	WHOLE BLOOD|CPD/XX/refg|LowVol:anticoag not adj	WB
E0053	WHOLE BLOOD|CPDA-1/450mL/refg	WB
E0057	WHOLE BLOOD|CPDA-1/450mL/refg|Open	WB
E0058	WHOLE BLOOD|CPDA-1/450mL/refg|Open|Irradiated	WB
E0059	WHOLE BLOOD|CPDA-1/450mL/refg|Open|Irradiated|ResLeu:<5log6	WB
E0060	WHOLE BLOOD|CPDA-1/450mL/refg|Open|ResLeu:<5log6	WB
