ndc	atc	description
00002-1433-01	A10BJ	Glucagon-like peptide-1 (GLP-1) analogues
00002-1434-01	A10BJ	Glucagon-like peptide-1 (GLP-1) analogues
00002-1436-01	N02CX	Other antimigraine preparations
00002-1445-01	L04AC	Interleukin inhibitors
00002-1445-27	L04AC	Interleukin inhibitors
00002-1975-61	G03BA	3-oxoandrosten (4) derivatives
00002-3227-30	N06BA	Centrally acting sympathomimetics
00002-3230-30	N06AB	Selective serotonin reuptake inhibitors
00002-3230-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-3231-30	N06AB	Selective serotonin reuptake inhibitors
00002-3231-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-3232-30	N06AB	Selective serotonin reuptake inhibitors
00002-3232-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-3233-30	N06AB	Selective serotonin reuptake inhibitors
00002-3233-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-3234-30	N06AB	Selective serotonin reuptake inhibitors
00002-3234-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-3250-30	N06BA	Centrally acting sympathomimetics
00002-3251-30	N06BA	Centrally acting sympathomimetics
00002-4415-30	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-4453-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-4454-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-4455-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-4456-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-4465-34	G04BE	Drugs used in erectile dysfunction
00002-4815-54	L01XE	Protein kinase inhibitors
00002-5121-01	B01AC	Platelet aggregation inhibitors excl. heparin
00002-5123-01	B01AC	Platelet aggregation inhibitors excl. heparin
00002-5337-54	L01XE	Protein kinase inhibitors
00002-6216-54	L01XE	Protein kinase inhibitors
00002-7335-11	H01AC	Somatropin and somatropin agonists
00002-7502-01	L01BC	Pyrimidine analogues
00002-7510-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-7510-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-7510-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-7512-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-7512-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-7512-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-7516-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-7516-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-7516-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-7597-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00002-7623-01	L01BA	Folic acid analogues
00002-7669-01	L01XC	Monoclonal antibodies
00002-7712-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-7712-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-7712-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-7714-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-7714-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
