RXN_CD	RXN_NM	cnt
1098125	{1 (0.35 ML Chondroitin Sulfates 40 MG/ML / Sodium Hyaluronate 30 MG/ML Prefilled Syringe [Viscoat]) / 1 (0.4 ML Sodium Hyaluronate 10 MG/ML Prefilled Syringe [Provisc]) } Pack [Duovisc Kit 0.35/0.4]	1
1098123	{1 (0.35 ML Chondroitin Sulfates 40 MG/ML / Sodium Hyaluronate 30 MG/ML Prefilled Syringe) / 1 (0.4 ML Sodium Hyaluronate 10 MG/ML Prefilled Syringe) } Pack	3
1855527	{1 (0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]) / 1 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]) } Pack [Humira Pediatric Crohn's Disease Starter Package (2 count)]	1
1855526	{1 (0.4 ML adalimumab 100 MG/ML Prefilled Syringe) / 1 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe) } Pack	2
1098140	{1 (0.5 ML Chondroitin Sulfates 40 MG/ML / Sodium Hyaluronate 30 MG/ML Prefilled Syringe [Viscoat]) / 1 (0.55 ML Sodium Hyaluronate 10 MG/ML Prefilled Syringe [Provisc]) } Pack [Duovisc Kit 0.5/0.55]	1
1098138	{1 (0.5 ML Chondroitin Sulfates 40 MG/ML / Sodium Hyaluronate 30 MG/ML Prefilled Syringe) / 1 (0.55 ML Sodium Hyaluronate 10 MG/ML Prefilled Syringe) } Pack	3
1649605	{1 (0.5 ML peginterferon beta-1a 0.126 MG/ML Auto-Injector [Plegridy]) / 1 (0.5 ML peginterferon beta-1a 0.188 MG/ML Auto-Injector [Plegridy]) } Pack [Plegridy Pen Starter Pack]	1
1649602	{1 (0.5 ML peginterferon beta-1a 0.126 MG/ML Auto-Injector) / 1 (0.5 ML peginterferon beta-1a 0.188 MG/ML Auto-Injector) } Pack	2
1546198	{1 (0.5 ML peginterferon beta-1a 0.126 MG/ML Prefilled Syringe [Plegridy]) / 1 (0.5 ML peginterferon beta-1a 0.188 MG/ML Prefilled Syringe [Plegridy]) } Pack [Plegridy Starter Pack]	2
1546197	{1 (0.5 ML peginterferon beta-1a 0.126 MG/ML Prefilled Syringe) / 1 (0.5 ML peginterferon beta-1a 0.188 MG/ML Prefilled Syringe) } Pack	4
1488619	{1 (1 ML Leuprolide Acetate 3.75 MG/ML Prefilled Syringe [Lupron]) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack [Lupaneta Pack 1-Month]	1
1488618	{1 (1 ML Leuprolide Acetate 3.75 MG/ML Prefilled Syringe) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack	2
794082	{1 (1.2 ML) (Interferon Alfa-2b 15000000 UNT/ML Injectable Solution) / 42 (Ribavirin 200 MG Oral Capsule) } Pack	2
794068	{1 (1.2 ML) (Interferon Alfa-2b 15000000 UNT/ML Injectable Solution) / 70 (Ribavirin 200 MG Oral Capsule) } Pack	2
794075	{1 (1.2 ML) (Interferon Alfa-2b 15000000 UNT/ML Injectable Solution) / 84 (Ribavirin 200 MG Oral Capsule) } Pack	2
1549689	{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack	2
1549690	{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack [Hyqvia 2.5 G / 25 ML Kit]	1
1488617	{1 (1.5 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe [Lupron]) / 90 (norethindrone acetate 5 MG Oral Tablet) } Pack [Lupaneta Pack 3-Month]	1
1488616	{1 (1.5 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe) / 90 (norethindrone acetate 5 MG Oral Tablet) } Pack	2
1549695	{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack	2
1549696	{1 (10 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (200 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack [Hyqvia 20 G / 200 ML Kit]	1
1086835	{1 (10 ML Sodium Nitrite 30 MG/ML Injection) / 1 (50 ML sodium thiosulfate 250 MG/ML Injection) } Pack	4
1086836	{1 (10 ML Sodium Nitrite 30 MG/ML Injection) / 1 (50 ML sodium thiosulfate 250 MG/ML Injection) } Pack [Nithiodote]	2
1549693	{1 (100 ML Immunoglobulin G, Human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack	2
1549694	{1 (100 ML Immunoglobulin G, Human 100 MG/ML Injection) / 1 (5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) } Pack [Hyqvia 10 G / 100 ML Kit]	1
891170	{1 (113400 MG) (ammonium lactate 120 MG/ML Topical Foam [Pro 12]) / 1 (45000 MG) (mometasone furoate 1 MG/ML Topical Cream [Momexin]) } Pack [Momexin Kit]	1
891162	{1 (113400 MG) (ammonium lactate 120 MG/ML Topical Foam) / 1 (45000 MG) (mometasone furoate 1 MG/ML Topical Cream) } Pack	2
1606291	{1 (118 ML) (Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (118 ML) (Dextromethorphan Hydrobromide 1 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	6
1045420	{1 (118 ML) (Benzethonium Chloride 1.3 MG/ML Medicated Liquid Soap) / 1 (92000 MG) (Zinc Oxide 306 MG/ML Topical Cream) } Pack	2
1302903	{1 (118 ML) (Benzoyl Peroxide 100 MG/ML Medicated Liquid Soap [Clean and Clear Advantage Breakout Erasing Cleanser]) / 1 (15 ML) (Salicylic Acid 0.02 MG/MG Topical Gel [Clean and Clear Advantage Mark Erasing Spot Treatment]) / 1 (59 ML) (Salicylic Acid 5 MG/ML Topical Lotion [Clean and Clear Advantage Acne Control Moisturizer]) } Pack [Clean and Clear Advantage Acne Control]	1
1302897	{1 (118 ML) (Benzoyl Peroxide 100 MG/ML Medicated Liquid Soap) / 1 (15 ML) (Salicylic Acid 0.02 MG/MG Topical Gel) / 1 (59 ML) (Salicylic Acid 5 MG/ML Topical Lotion) } Pack	2
1730190	{1 (118 ML) (Dextromethorphan Hydrobromide 1 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (118 ML) (Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	3
1191663	{1 (118 ML) (Dextromethorphan Hydrobromide 4 MG/ML Oral Solution [Entex S]) / 30 (Guaifenesin 375 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet [Entex T]) } Pack [Entex PAC]	1
1191661	{1 (118 ML) (Dextromethorphan Hydrobromide 4 MG/ML Oral Solution) / 30 (Guaifenesin 375 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet) } Pack	2
1658271	{1 (118000 MG) (dimethicone 50 MG/ML Topical Cream) / 1 (8000 MG) (Triamcinolone Acetonide 10 MG/ML Topical Cream) } Pack	7
847499	{1 (12 HR Chlorpheniramine 8 MG / Methscopolamine 2.5 MG / Phenylephrine 10 MG Extended Release Oral Tablet) / 1 (12 HR Methscopolamine 2.5 MG / Phenylephrine 40 MG Extended Release Oral Tablet) } Pack	3
