RXN_CD	RXN_NM	cnt
847499	{1 (12 HR Chlorpheniramine 8 MG / Methscopolamine 2.5 MG / Phenylephrine 10 MG Extended Release Oral Tablet) / 1 (12 HR Methscopolamine 2.5 MG / Phenylephrine 40 MG Extended Release Oral Tablet) } Pack	1
1244579	{1 (12 HR Chlorpheniramine Maleate 4 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [Allerx DF AM]) / 1 (12 HR Chlorpheniramine Maleate 8 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [AlleRx PM]) } Pack [AlleRx DF Sample]	1
1005900	{1 (120 ML) (ammonium lactate 120 MG/ML Topical Foam) / 1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack	1
763525	{1 (15 ML) (Ketoconazole 0.02 MG/MG Topical Gel) / 1 (120 ML) (zinc pyrithione 10 MG/ML Medicated Shampoo) } Pack	1
1424850	{1 (180 ML) (Acetaminophen 32.5 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (180 ML) (Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	1
1537095	{1 (180 ML) (Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (180 ML) (Acetaminophen 32.5 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	1
1855526	{1 (0.4 ML adalimumab 100 MG/ML Prefilled Syringe) / 1 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe) } Pack	1
1546198	{1 (0.5 ML peginterferon beta-1a 0.126 MG/ML Prefilled Syringe [Plegridy]) / 1 (0.5 ML peginterferon beta-1a 0.188 MG/ML Prefilled Syringe [Plegridy]) } Pack [Plegridy Starter Pack]	1
1488618	{1 (1 ML Leuprolide Acetate 3.75 MG/ML Prefilled Syringe) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack	1
978318	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.5 MG/ML Topical Cream) } Pack	1
