rxcui	ndcs
1098125	['08065183135']
1098123	[]
1855527	['00074006702']
1855526	[]
1098140	['08065183150']
1098138	[]
1649605	['64406001201']
1649602	[]
1546198	['64406001601']
1546197	[]
1488619	['00074105205', '00074105210']
1488618	[]
794082	[]
794068	[]
794075	[]
1549689	[]
1549690	['00944251002']
1488617	['00074105305']
1488616	[]
1549695	[]
1549696	['00944251302']
1086835	[]
1086836	['60267081200']
1549693	[]
1549694	['00944251202']
891170	[]
891162	[]
1606291	['00363420008', '11673042008', '63824028722', '63824095574', '69842082008']
1045420	['50484034100', '50486034400', '69740034100']
1302903	[]
1302897	[]
1730190	['00067811208', '00363042208', '69842042208']
1191663	['66992028534']
1191661	[]
1658271	[]
847499	[]
1244579	[]
1244578	[]
1370201	[]
866800	[]
1005905	[]
1005900	[]
1545033	[]
1545035	[]
1549687	[]
1549688	['00944251402']
763531	[]
763525	[]
1246324	[]
1424850	['00363046312', '00363914012', '11673046312', '11822068597', '49035094502', '63824052622', '63824054926']
1537095	['63824026322', '69842093912']
1549691	[]
1549692	['00944251102']
797583	[]
797582	[]
808354	[]
808349	[]
978056	['10631011001']
978320	[]
978054	[]
1053854	[]
978318	[]
1045430	['50484034400', '69740034400']
1242575	[]
1005907	[]
1005908	[]
1362223	[]
1362222	[]
1489300	['30142073301']
1242543	[]
1248353	[]
1098147	[]
1247454	[]
1098155	[]
1098153	[]
1247455	[]
1803903	['00024574502']
1803902	[]
794078	[]
794063	[]
794071	[]
763548	[]
833507	['43684010011']
833505	[]
763539	[]
1246586	['42192013101']
866813	['42192070918']
1484901	['00113056702', '00363056702', '00363173302', '11673002102', '11673073302', '21130041924', '21130046724', '30142056702', '30142073302', '36800030102', '36800056702', '36800073302', '37000003124', '37000003324', '37012000302', '41163056702', '41250073302', '41520042702', '49035073302', '49580056704', '49738056702', '49738073302', '55910076724', '59779056702', '63940012402', '69256056702', '69842073302']
1242561	[]
1544175	['00113728002', '00113759702', '00113780102', '00363057702', '00363159702', '11673047702', '11673059702', '11822032801', '21130016402', '23900001778', '30142059702', '36800059702', '36800078702', '37000004524', '37000081424', '37000097124', '37808059702', '41250059702', '41250060102', '41250091902', '41520059702', '49035059702', '49738059702', '55316059702', '59779059702']
1360638	['00363003102', '00363044402', '37000003424', '41250003102', '59779003102']
1362221	[]
1362220	[]
1193311	[]
1193304	[]
1014366	[]
1014367	[]
1370688	[]
1301695	[]
1301696	['10631011901']
1301693	[]
1301694	['10631012101']
1043389	[]
1014379	[]
1014374	[]
883501	['11086004701']
866892	[]
1247825	['23710000604', '23710063501']
880890	[]
1247823	[]
880887	[]
904620	[]
904617	[]
997613	[]
997620	[]
1536462	[]
992771	['63736000203', '63736001603', '63736001703', '63736001903', '63736044305', '63736044860', '63736044980']
1536610	['63736002315', '63736044704']
992792	['00067209103', '01981030097', '11509008101', '76413035203']
1536461	[]
992816	['00363063700', '00363098200', '11673098200', '11822032300', '11822080000', '11822098200', '21130098200', '30142098200', '36800098200', '41250098200', '41520022200', '46122014404', '49348064573', '59779083900']
992766	['00113008100', '00363008100', '00363060500', '00904541501', '11673008100', '11822731007', '21130010200', '24385060602', '30142008100', '36800008100', '37205058303', '37205058903', '37808024200', '41163008100', '41250008100', '41520015400', '49035034503', '49035073143', '49348035543', '50428002662', '55316008100', '55319008100', '55910008100', '55910070700', '56062008100', '59779077343', '68016073104', '69256008100', '69842095001', '70000002501', '70000002502']
1854816	[]
754509	['00006386203', '00006386213']
754508	['00781406336', '68462011233']
999473	[]
999477	[]
1101748	[]
763632	[]
1101747	[]
1718991	[]
1000479	['69166090901']
1741747	['61874017008']
1741746	[]
992778	['63736000101', '63736001230', '63736001330', '63736001403', '63736044180', '63736044940', '80045054110']
992775	['00113091600', '00113719900', '00363019900', '00363073745', '00363091600', '11673019900', '11673073745', '11822019900', '11822073700', '11822091600', '21130004000', '21130073745', '30142019900', '30142073745', '36800019900', '36800073745', '37205064003', '37808019900', '37808073745', '41163019900', '41250019900', '41250073745', '41520061600', '41520091600', '46122002702', '46122057702', '49035019900', '49035073745', '49738082300', '55301091600', '59779019900', '59779073745', '70000031501']
759443	[]
1244581	[]
1244580	[]
1311824	[]
1311820	[]
1370199	[]
1244593	[]
1244592	[]
1244591	[]
1368965	[]
1368966	[]
1310589	[]
1310588	[]
899367	[]
835332	[]
1112906	['00067208224', '67510915600']
1244951	['00067208424', '24385095962', '68016016802']
1098443	['00363091209', '50580035320']
1798298	['51013014108', '53943066909']
1941459	['30142041590', '41520080680', '69256004080', '69842088209']
1727571	['00363648901', '11822648901', '41250084801', '63824055830', '63824079201', '69842098701']
1356113	['00363099909', '30142068880', '36800056901', '37808026901', '41250095101', '41520093680', '46122026960', '49035099609', '49738093680', '55316093680', '56062016901', '59779088109', '63824020220', '69256093680']
1535609	['00363648501', '11822648501', '59779098601', '63824055530']
762894	[]
1310930	[]
1310931	[]
1310945	[]
1310946	[]
834228	[]
795767	[]
791073	[]
763418	[]
749856	[]
762005	['52544055428']
749857	[]
749874	[]
749875	[]
795737	['00069047102', '00069047103', '00069047197', '50090099800', '63187061853', '63539047310']
749289	[]
758019	['70556010314']
758020	[]
1112908	['00363052907', '00363052908', '11673025004', '11673025056', '11822470308', '15127092724', '24385096262', '24385096360', '24385096362', '33992052908', '41163052908', '49035093108', '50580036920', '55319052908', '55741052424', '56062025004', '56062049604', '57344015003', '59779053008', '67510015602']
1293331	[]
1236003	[]
1046799	['15127093324', '50580026620', '59779077908']
1798548	['36800041204', '49738003604', '51013011704', '69842007004', '69842063224']
1648203	['15127090224']
1101555	['46017002528']
1291718	[]
1291722	[]
1236459	[]
1114900	[]
795716	[]
759696	[]
1089917	[]
1089918	[]
823777	[]
750267	['00555906667', '00555906679']
749148	['51862047101', '51862047106']
749151	['51862047001', '51862047006']
749759	[]
749760	[]
1541216	[]
1541215	[]
795855	[]
795854	[]
905101	['00430047207']
905100	['00093309829', '00591207539', '33342010950', '47335066862', '59762040505', '60723004112', '65862051908']
759494	[]
759498	[]
835342	[]
900866	['00173075900']
900865	[]
1116369	[]
1116368	[]
892244	['00067604556', '43598044528', '43598044556', '49035078256']
1293043	[]
1373498	['64406000703']
1373497	[]
1000486	[]
1000487	['00046257512']
851753	['00173078000']
851752	['49884088199']
795778	['00173081728']
753451	['13668026628', '69102035911']
804173	[]
1486198	['00074323914', '00074323956']
902312	['66435010556', '66435010599']
847330	['16241006976']
757599	[]
1486203	['00074328214', '00074328256']
902313	['16241007076', '66435010756', '66435010799']
757597	[]
1747580	['00074057928']
1747575	[]
1729076	['66215062820']
1729075	[]
749850	[]
762394	['51285006389', '51285006390']
846101	['43684020021']
1492380	['00363165890', '00363221124', '00363659608', '00363659622', '11822068595', '11822085104', '37000041224', '50844067008', '55319047224', '55319074424', '55319085024', '59779064624', '59779064648', '69842051990', '69842074424', '69842085224', '69842085248', '69842089624', '69842089648']
1541218	[]
1541217	[]
967897	[]
763080	[]
763020	[]
1921468	['00074153903']
1921467	[]
1250997	[]
798209	[]
798210	[]
809222	[]
809218	[]
809220	['24470090692', '42192011003']
809212	['24470090792']
1433250	['00456220207', '00456220228']
1433249	[]
1001689	['40032070083']
1001690	['52268001101', '52268001201']
900173	[]
1087512	[]
1087521	[]
1087523	[]
1087524	[]
795877	[]
763280	[]
1597387	[]
1597388	['00074309301', '00074309328']
1740008	['20482001215']
1740007	[]
1740010	['20482001615']
1740009	[]
762583	[]
762582	[]
848752	['43068011304', '43068090308']
848751	['51672421307']
763088	[]
854861	[]
763089	['51285003820', '51285003893', '51285076993']
759674	[]
759673	[]
905087	[]
905084	[]
763160	[]
763159	[]
