code	desc
מ-ראומז	0: מ-ראומז~1: מרפאת ראומטולוגיה-פיזיותרפיה
מע-מעויר	0: מע-מעויר~1: מעבדה - וירולוגיה
מ-כליה	0: מ-כליה~1: מרפאת מושתלי כליה
מע-מאלר	0: מע-מאלר~1: מעבדה - אלרגיה ואימונולוגיה
מכ-דיאל1	0: מכ-דיאל1~1: דיאליזה דחופה אשפוז
מ-איזוט	0: מ-איזוט~1: מכון לרפואה גרעינית
מ-אקוקרד	0: מ-אקוקרד~1: מרפאת דופלר קרדיולוגיה
מ-פזיוט	0: מ-פזיוט~1: מכון לפיזיותרפיה
מ-עינ	0: מ-עינ~1: מרפאת עיניים
מ-כליהב	0: מ-כליהב~1: מרפאת מעקב מושתלי כליה
מ-ראות	0: מ-ראות~1: מכון ריאות
מכ-גסטרו	0: מכ-גסטרו~1: גסטרו- בדיקות
מ-אונק	0: מ-אונק~1: מרפאת אונקולוגיה
מ-אפדי	0: מ-אפדי~1: יחידת פט
מ-אורול	0: מ-אורול~1: מרפאת אורולוגיה
מ-פלסט	0: מ-פלסט~1: מרפאת כירורגיה פלסטית
מ-פהלס	0: מ-פהלס~1: מרפאת פה ולסת
מ-ירך	0: מ-ירך~1: מרפאת אורתופדית י
מ-ממו	0: מ-ממו~1: מכון ממוגרפיה
מ-אקדחש	0: מ-אקדחש~1: מרפאת ביופסיית אקדח שד
מ-הרד.טר	0: מ-הרד.טר~1: מרפאת  הרדמה
מ-אנקיום	0: מ-אנקיום~1: טיפול יום כימותרפי
מ-טרדיו	0: מ-טרדיו~1: יחידת קרינה
מכ-גסתנ	0: מכ-גסתנ~1: גסטרו- מרפאת תנועתיות מע' עכול
מכ-גסאמ	0: מכ-גסאמ~1: גסטרו- מרפאת דרכי עיכול
מ-אאג	0: מ-אאג~1: מרפאת אף אוזן גרון
מ-ארטב	0: מ-ארטב~1: מרפאת אורתופדיה כללית ט
מ-ליטוט	0: מ-ליטוט~1: מרפאת ריסוק אבני כליה
מ-אולנש	0: מ-אולנש~1: מרפאת אולטראסאונד נשים
מע-פתו	0: מע-פתו~1: מעבדה - פתולוגיה
מ-פסכא	0: מ-פסכא~1: מרפאת בריאות הנפש
מ-פרוקטו	0: מ-פרוקטו~1: מרפאת כירורגיה פרוקטולוגית
מע-כימיה	0: מע-כימיה~1: מעבדה - ביוכימיה קלינית
מע-מהמט	0: מע-מהמט~1: מעבדה - המטולוגיה
מע-טוקסי	0: מע-טוקסי~1: מעבדה - טוקסיקולוגיה
מע-מאנדו	0: מע-מאנדו~1: מעבדה - אנדוקרינולוגיה
מ-טראומ	0: מ-טראומ~1: מרפאת טראומה כירורגית
מ-שקוםלב	0: מ-שקוםלב~1: מרפאת שיקום לב
מ-כיריד	0: מ-כיריד~1: מרפאה אורתפדית כף יד
מכ-אמג	0: מכ-אמג~1: מכון EMG (אי.אם.ג'י)
מ-נורכ	0: מ-נורכ~1: מרפאת נוירוכירורגיה
מ-נויאנק	0: מ-נויאנק~1: מרפאת נוירו-אונקולוגיה
מ-המט	0: מ-המט~1: מרפאה המטולוגית
מע-קרישה	0: מע-קרישה~1: מעבדה - קרישה (המטולוגיה)
מ-סורק	0: מ-סורק~1: יחידת סי.טי (CT)
מ-סוגר	0: מ-סוגר~1: מרפאה לשיפור שליטה בסוגרים
מ-אורודי	0: מ-אורודי~1: מרפאת נוירו-אורולוגיה
מ-נוירו	0: מ-נוירו~1: מרפאה נוירולוגית
מ-כירחז	0: מ-כירחז~1: מרפאת כירורגית חזה
מ-הריוןכ	0: מ-הריוןכ~1: מרפאה להריון בר- סיכון
מ-נשים	0: מ-נשים~1: מרפאת נשים
מ-גנטי	0: מ-גנטי~1: מרפאת גנטיקה
מ-קרדיל	0: מ-קרדיל~1: מרפאת קרדיולוגיה ילדים
מ-ראותג	0: מ-ראותג~1: מרפאת ריאות ייעוץ ומעקב
מ-כירב	0: מ-כירב~1: מרפאה כירורגיהב
אחז-הדמ	0: אחז-הדמ~1: מדור תיעוד - הדמיה
מ-רנטגן	0: מ-רנטגן~1: מכון הדמייה רנטגן
מ-כירבש	0: מ-כירבש~1: מרפאה לכירורגיה אמבולטורית ושד
מ-קרישה	0: מ-קרישה~1: מרפאת קרישה
מ-אנדו	0: מ-אנדו~1: מרפאת אנדוקרינולוגיה
מכ-אלר2	0: מכ-אלר2~1: מרפאה אוטואימונית-אלר2
מע-מיקרו	0: מע-מיקרו~1: מעבדה - מיקרוביולוגיה
מ-הריוןס	0: מ-הריוןס~1: מרפאת חדר לידה
מ-סרטשד	0: מ-סרטשד~1: מכון לבריאות השד
מ-ראומ	0: מ-ראומ~1: מרפאת ראומטולוגיה
מ-טראו	0: מ-טראו~1: מרפאת טראומה כירורגית
מ-עור	0: מ-עור~1: מרפאת עור ומין
מ-אולט	0: מ-אולט~1: יחידת האולטרה-סאונד
מ-צפיפות	0: מ-צפיפות~1: יחידה לצפיפות עצם
מכ-רעפס	0: מכ-רעפס~1: מכון לריפוי בעיסוק
מ-פהסט	0: מ-פהסט~1: מרפאת שיניים מחלות סיסטמיות
מ-הולטר	0: מ-הולטר~1: מרפאת הולטר
מ-דופלר	0: מ-דופלר~1: בדיקות דופלר
מ-המטיום	0: מ-המטיום~1: מרפאת טיפול יום המטולוגיה
מ-כירא	0: מ-כירא~1: מרפאה כירורגיהא
מכ-תעסמ	0: מכ-תעסמ~1: מרפאה תעסוקתית
מ-אפוטו	0: מ-אפוטו~1: מרפאת טיפול יום פוטותרפיה עור
מכ-תעסוק	0: מכ-תעסוק~1: מכון לרפואה תעסוקתית
מכ-מלת	0: מכ-מלת~1: מכון לבדיקות תקופתיות
מכ-אי.גי	0: מכ-אי.גי~1: מכון EEG (אי.אי.גי)
מ-מפרקלס	"0: מ-מפרקלס~1: ביה""ס לרפואת שיניים- מפרק הלסת"
מ-אודיו	0: מ-אודיו~1: מכון שמיעה ודיבור-מרפאה
מ-אורדיא	0: מ-אורדיא~1: מרפאת אורודינמיקה
מ-טראומ1	0: מ-טראומ1~1: אורתופדיה כללית ט מרפאה
מ-ארטא	0: מ-ארטא~1: מרפאת אורתופדיה א'
מ-נויקוג	0: מ-נויקוג~1: מרפאת נוירולוגיה קוגנטיבית
מ-ארגו	0: מ-ארגו~1: מרפאת ארגומטריה
מ-רצאאג	0: מ-רצאאג~1: מרפאת ראש צואר אאג
מע-מעבדה	0: מע-מעבדה~1: מעבדות - בדיקות לגורמי חוץ
מכ-אלר4	0: מכ-אלר4~1: מרפאת אלרגיה - סריקה
מכ-אלר5	0: מכ-אלר5~1: מרפאת אלרגיה - תשובות
מ-תאלחץ	0: מ-תאלחץ~1: מרפאת ריפוי פצע
מ-נפרו	0: מ-נפרו~1: מרפאת נפרולוגיה ויתר לחץ דם
מ-כבד	0: מ-כבד~1: מרפאה למחלות כבד
מ-ארטי	0: מ-ארטי~1: מרפאת אורטופדיה ילדים
מ-גנאנד	0: מ-גנאנד~1: מרפאת גינקו-אנדוקרינולוגיה
מ-אתומך	0: מ-אתומך~1: מרפאת אונקולוגיה- טיפול תומך
מ-פנ.אגף	0: מ-פנ.אגף~1: מרפאת האגף הפנימי
מ-טראיז	0: מ-טראיז~1: מרפאת תכנוני קרינה
מכ-מכצי	0: מכ-מכצי~1: מכון לציטופתולוגיה
מ-כירלב	0: מ-כירלב~1: מרפאת כירורגית לב
מ-קוצב	0: מ-קוצב~1: יחידת אלקטרופיזיולוגיה
מכ-דיאלז	0: מכ-דיאלז~1: יחידת דיאליזה
מע-מעסכר	0: מע-מעסכר~1: מעבדה - סוכרת (אנדו)
מ-סכריל	0: מ-סכריל~1: מרפאת סכרת ילדים
מ-קרד	0: מ-קרד~1: מרפאה קרדיולוגית
מ-כלידם	0: מ-כלידם~1: מרפאה כירורגית כלי דם
מ-ברךא	0: מ-ברךא~1: מרפאת ברך-ארתרוסקופיה-אורת' א'
מ-כףרגל1	0: מ-כףרגל1~1: אורתופדיה כללית כ מרפאה
מ-פלמוס	0: מ-פלמוס~1: מרפאת מוס כירורגית פלסטית
מ-סורקכ	0: מ-סורקכ~1: פעולות כאב תחת סי טי
מ-נורפ	0: מ-נורפ~1: יחידת נוירורדיולוגיה פולשנית
מע-פרזיס	0: מע-פרזיס~1: מעבדה - פרזיס (בנק הדם)
מ-אולטנ	0: מ-אולטנ~1: יחידת ניקור תחת US
מ-כירמק	0: מ-כירמק~1: מרפאה לכירורגיה מקצועית
מ-גב1	0: מ-גב1~1: מרפאת גב
מ-כתף1	0: מ-כתף1~1: מרפאת כתף
מ-ארטאנק	0: מ-ארטאנק~1: מרפאה אורתופדית-אונקולוגית
מ-פוריות	0: מ-פוריות~1: מרפאת פיריון
מכ-אלר	0: מכ-אלר~1: מרפאת אלרגיה ואימונולוגיה
מ-גנאנא	0: מ-גנאנא~1: מרפאת נשים פעולות
מ-כאב	0: מ-כאב~1: מכון לרפואת כאב
מ-סורקא	0: מ-סורקא~1: יחידת סי טי אנגיו (CT ANGIO)
מ-ועדה	0: מ-ועדה~1: מרפאת נשים
מ-כףרגלב	0: מ-כףרגלב~1: מרפאת אורתופדיה כללית כ
מ-סקול	0: מ-סקול~1: מרפאת גב
מ-ערשת	0: מ-ערשת~1: מרפאת עיניים - רשתית
אחז-אמב	0: אחז-אמב~1: מדור תיעוד - מרפאות חוץ
אחז-אשפז	0: אחז-אשפז~1: רשומות ומידע רפואי-מדור תיעוד
מ-פנ.ד	0: מ-פנ.ד~1: מרפאת פנימית ד
מ-ליפיד	0: מ-ליפיד~1: מרפאת ליפידים
מ-פנ.ג	0: מ-פנ.ג~1: מרפאת פנימית ג
מע-מעדחפ	0: מע-מעדחפ~1: מעבדה - דחופה וגזים בדם
מ-כףרגלא	0: מ-כףרגלא~1: מרפאת רגל (אורתופדית א')
מ-אלזרוב	0: מ-אלזרוב~1: מרפאת אלזרוב (אורתופדית א')
מ-גנאנב	0: מ-גנאנב~1: מרפאת גינקו-אנדוקרינולוגיה
מ-גנאנק	0: מ-גנאנק~1: מרפאת צוואר הרחם
מ-מנורכ	0: מ-מנורכ~1: נוירוכירורגיה- מעבדה פוטנציאלי
מ-ילדנ	0: מ-ילדנ~1: מרפאת לחץ דם
מ-ברך	0: מ-ברך~1: מרפאת אורתופדיה כללית כ
מ-גב	0: מ-גב~1: מרפאת גב
מ-קרדאש	0: מ-קרדאש~1: מרפאת לב האשה
מע-מזרע	0: מע-מזרע~1: בנק הזרע-מע
מ-המטימא	0: מ-המטימא~1: מרפאת טיפול יום המטו-אונקולוגי
מ-גנקאור	0: מ-גנקאור~1: מרפאת גינקו-אורולוגיה
מ-אונגנ	0: מ-אונגנ~1: מרפאת אונקו-גינקולוגיה
מ-ברכי	0: מ-ברכי~1: מרפאת ברכיתרפיה
מ-גניא	0: מ-גניא~1: מרפאת טיפולים גניקו-אונקולוגיה
אחז-פסכ	0: אחז-פסכ~1: אחזור מידע - פסיכיאטריה
מע-מציטו	0: מע-מציטו~1: מעבדה - ציטולוגיה
מ-פדיאל	0: מ-פדיאל~1: מרפאת פרה דיאליזה
מכ-דיאלק	0: מכ-דיאלק~1: דיאליזה מכון קהילה
מ-דופלמח	0: מ-דופלמח~1: דופלר כלידם- מרפאת מחלקה
מכ-סגל	"0: מכ-סגל~1: מרכז בריאות לעובדי רמב""ם"
מ-כתףא	0: מ-כתףא~1: מרפאת כתף (אורתופדית א')
מ-כוויה	0: מ-כוויה~1: מרפאת כוויות כירורגית פלסטית
מ-כיראנק	0: מ-כיראנק~1: מרפאת כיר' כבד, לבלב ודרכי מרה
מ-אוסטופ	0: מ-אוסטופ~1: מרפאה למחלות עצם
מ-סכרת	0: מ-סכרת~1: מרפאת סכרת
מ-נשטי	0: מ-נשטי~1: טיפול יום נשים
מ-ניראור	0: מ-ניראור~1: מרפאת נוירו-אורולוגיה
מ-אנדודנ	0: מ-אנדודנ~1: מרפאת אנדודנטיה וטראומה דנטלית
מ-פריאוד	"0: מ-פריאוד~1: ביה""ס לרפואת שיניים-פריודונטיה"
מע-בנקדם	0: מע-בנקדם~1: בנק הדם-מעבדה
מ-אגןאט	0: מ-אגןאט~1: מרפאת מפרקים (אורתופדית א')
מ-מפרק1	0: מ-מפרק1~1: אורתופדית י מרפאה
מ-ברך1	0: מ-ברך1~1: אורתופדיה כללית כ מרפאה
מ-כיריל	0: מ-כיריל~1: מרפאת כירורגיה ילדים
מ-אולטב	0: מ-אולטב~1: מרפאת ביופסיות אולטרה-סאונד
מ-דחק	0: מ-דחק~1: מרפאת דחק-חרדה
מ-פסכאט	0: מ-פסכאט~1: מרפאת טיפול יום נפש
מ-פאורול	0: מ-פאורול~1: מרפאת אורלוגיה- פעולות
מ-אורמח	0: מ-אורמח~1: אורולוגיה מרפאת מחלקה
מ-כירלפ	0: מ-כירלפ~1: כירורגיה לפרוסקופית ובריאטריה
מ-הרדמה	0: מ-הרדמה~1: מרפאת הרדמה בסיכון גבוה
מכ-גסתזמ	0: מכ-גסתזמ~1: גסטרו- מרפאת תזונה מורכבת
מ-אנגיו	0: מ-אנגיו~1: יחידה להדמיה פולשנית
מ-כתף	0: מ-כתף~1: מרפאת כתף
מ-ניגוד	0: מ-ניגוד~1: מכון רנטגן
מכ-גסטממ	0: מכ-גסטממ~1: גסטרו- מניעת ממאירות עיכול
מ-פלסטמ	0: מ-פלסטמ~1: מרפאת כירורגיה פלסטית שחזור שד
מ-פל.אס	0: מ-פל.אס~1: מרפאת אסטתיקה כירורגית פלסטית
מ-פרמק	0: מ-פרמק~1: מרפאת פרמקולוגיה קלינית
מ-לשדעצם	0: מ-לשדעצם~1: המטולוגיה -לשד עצם
מ-בנקדם	0: מ-בנקדם~1: מרפאת בנק הדם
מ-מחלים	0: מ-מחלים~1: אונקולוגיה מחלימים-מרפאה
מ-שנטים	0: מ-שנטים~1: כרורגית נצור ורידי-עורקי-מרפאה
מכ-אלר1	0: מכ-אלר1~1: אימונולוגיה-1
מע-שוירו	"0: מע-שוירו~1: מעבדה - וירולוגיה שר""ן"
מ-פסכנ	0: מ-פסכנ~1: מרפאת פסיכיאטריה לנוער
מ-תזונה	0: מ-תזונה~1: מרפאת תזונה קלינית
מ-ארתאנ1	0: מ-ארתאנ1~1: אורתופדית-אונקולוגית מרפאה
מכ-חדרנא	0: מכ-חדרנא~1: שיכוך כאב בהרדמה
מ-טסאימ	0: מ-טסאימ~1: מרפאת אימונולוגיה טסיות
מ-גניט	0: מ-גניט~1: מרפאת גינקו-אונקולוגיה
מ-אחתומך	0: מ-אחתומך~1: כאב טיפול תומך-מרפאה
מ-תינוק	0: מ-תינוק~1: ילודים ותינוקות-מרפאה
מ-אנדיל	0: מ-אנדיל~1: מרפאת אנדוקרינולוגיה ילדים
מע-מהתאש	0: מע-מהתאש~1: התאוששות-מעבדה
מ-נורכי	0: מ-נורכי~1: מרפאת נוירוכירורגיה-ילדים
מ-משלים	0: מ-משלים~1: מרפאה לדיקור סיני
מ-אורמין	0: מ-אורמין~1: מרפאת בריאות מינית לגבר ולאישה
מכ-פתול	0: מכ-פתול~1: מכון פתולוגי
מ-גדלשד	0: מ-גדלשד~1: מרפאת ייעוץ גידולי שד
מ-פנ.ח	0: מ-פנ.ח~1: מרפאת פנימית ח
מ-קראיס	0: מ-קראיס~1: מרפאת אי ספיקת לב
מ-רופרדי	0: מ-רופרדי~1: רדיותרפיה רופא-מרפאה
מ-פ.גבר	0: מ-פ.גבר~1: מרפאת פוריות הגבר
מכ-אלר8	0: מכ-אלר8~1: אימונולוגיה-8
מ-הולטרי	0: מ-הולטרי~1: מרפאת הולטר ילדים
מ-עיןספ	0: מ-עיןספ~1: מרפאת עיניים-פלסטיקה
מ-רעלים	0: מ-רעלים~1: מידע  בהרעלות
מ-פנ.ה	0: מ-פנ.ה~1: מרפאת פנימית ה
מ-טרשת	0: מ-טרשת~1: טיפול יום נירולוגי-מרפאה
מ-פלפצע	0: מ-פלפצע~1: מרפאת כירורגיה פלסטית- פצע
מ-אנקי	0: מ-אנקי~1: יחידת טיפול יום(אונקולוגי)ילד
מ-גנט	0: מ-גנט~1: מרפאת טרום לידה
מ-ראותש	0: מ-ראותש~1: מרפאת שיקום ריאות
מ-קרדיוג	0: מ-קרדיוג~1: הפרעות קצב תורשתיות-מרפאה
מ-גסטי	0: מ-גסטי~1: מרפאת דרכי עיכול ותזונה בילדים
מ-ראומיל	0: מ-ראומיל~1: מרפאת ראומטולוגיה ילדים
מ-יופ	0: מ-יופ~1: מרפאת הפריה חוץ-גופית
מ-כיראש	0: מ-כיראש~1: מרפאה שד א
מ-השמנה	0: מ-השמנה~1: מרפאת השמנה
מ-ארטמ	"0: מ-ארטמ~1: מרפאת אורתופדיה ב'- משהב""ט"
