	code0	desc0
0	R55691	TRANSPLANT CADAVER KIDNEY NEC
1	1399394	צילום בית חזה
2	1396641	USD - US דופלר כליות מושתל
3	1597494	מפוי כליות
4	1396167	CT מח
5	545350	אקוקרדיוגרפיה
6	1396140	CT בטן ואגן
7	1396470	US בטן, כבד, לבלב, דרכי מרה
8	1398663	מילוי כיס שתן (ציסטוגרפיה)
9	1399322	צילום בטן ריקה
10	1396506	US  כליות
11	1396122	CT חזה רגיל
12	1395843	CT לרזולוציה גבוהה - HRCT
13	1397352	USD - US  דופלר כליות
14	3995	HEMODIALYSIS
15	8876	DX ULTRASOUND-ABDOMEN
16	8802	ABDOMINAL TOMOGRAPHY NEC
17	8742	THORACIC TOMOGRAPHY NEC
18	8872	DX ULTRASOUND-HEART
19	8704	HEAD TOMOGRAPHY NEC
20	5019	DX PROC ON LIVER NEC
21	1396542	USD-US דופלר בטן, לבלב, כבד, מרה
22	4413	GASTROSCOPY NEC
23	4414	ENDOSCOPIC BIOPSY OF STOMACH (BRUSH / WASH)
24	711609	גסטרוסקופיה
25	5013	TRANSJUGULAR LIVER BIOPSY
26	1467851	ביופסיה טרנסיוגולרית לכבד
27	4523	COLONOSCOPY FIBEROPTIC
28	712432	קולונסקופיה
29	712151	אולטראסאונד אנדוסקופי –EUS
30	1587180	PET-CT
31	2115406	US  בטן בחדר הלם
32	1399574	צילום צלעות צד ימין
33	1488985	צילום בטן בעמידה - דקוביטוס
34	863	EXC / DESTR LESION SKIN/SUBCUTANEOUS TISSUE - OTHER
35	81512	TOTAL HIP REPLACEMENT CEMENTED
36	1823786	ממוגרפיה לשני השדיים
37	1823726	ביופסיה מלעורית של השד בהנחיית ממוגרפיה
38	9962	ELECTRIC COUNTERSHOCK OF HEART
39	1580192	הרדמה
40	1341	CATARACT PHACOEMULSIFICATION AND ASPIRATION
41	1371	INSERT LENS AT CATAR EXTRACTION
42	1399520	צילום פרק הירך צד ימין
43	1467707	צילום פרק ירך שמאל
44	8151	TOTAL HIP REPLACEMENT
45	R81513	TOTAL HIP REPLACEMENT, CEMENTLESS
46		
47	1399448	צילום אגן
48	R86224	EXCISIONAL DEBRIDEMENT DOWN TO FASCIA
49	8015	ARTHROTOMY / ARTHROSTOMY OF HIP
50	1467680	צילום ירך שמאל
51	1396275	CTA בית חזה (לא עבור PE)
52	1467860	החדרת PICC
53	R86221	DEBRIDEMENT OF WOUND / INFECTION (NOT BURN) (EXCISIONAL)
54	R86592	SUTURE SKIN / SUBCUTANEOUS TISSUE, PRIMARY, DELAYED (DPS).
55	8622	EXCIS DEBRIDEMENT WOUND,  INFECTION, BURN
56	1467797	צילום צלעות צד שמאל
57	5878262	אקג קרדיו
58	1399421	צילום אצבע
59	1596266	התרוקנות קיבה
60	R21691	COBLATION OF NASAL TURBINATES
61	R98510	ESWL KIDNEY, URETER & / BLADDER NOS
62	1594650	מפוי עצם + ספקט
63	2632908	אולטרסאונד נשים
64	3054530	ברונכוסקופיה עם ביופסיה
65	1397550	US שדיים
66	9904	TRANSFUSION PACKED CELLS
67	1396050	CT ארובות עיניים
68	4901	INCIS PERIANAL ABSCESS
69	1396452	US לאבר בנפרד
70	R86043	INCISION & DRAINAGE OF SKIN & SUBCUT ABSCESS
71	1467914	CT אנגיו קורונרי
72	8857	CORONARY ARTERIOGRAPHY NEC
73	545343	צנתור לב
74	689	HYSTERECTOMY, NOS
75	8542	MASTECTOMY SIMPLE BILAT
76	R36014	PTCA SINGLE VESSEL W INTRACORONARY GAMMA IRRADIATION
77	0040	PROCEDURE ON SINGLE VESSEL
78	0046	INSERTION OF TWO VASCULAR STENTS
79	3607	INSERTION OF DRUG ELUTING CORONARY ARTERY STENT(S)
80	1065338	אנגיופלסטיה כלילית בהמשך לצנתור
81	1595275	מפוי פרפוזיה של הלב - מבחן פרמקולוגי
82	933902	EMG
83	1496343	תהודה מגנטית  (MRI) - מח
84	0114	BIOPSY BRAIN - OPEN
85	0124	CRANIOTOMY-OTHER
86	979585	אולטרסאונד
87	1598121	מפוי ריאות
88	7569	REPAIR OTHER CURRENT OBSTETRIC LACERATION NEC
89	03915	EPIDURAL ANESTHESIA / BLOCK
90	1396239	CT אנגיו בטן - CTA
91	1395726	CT עש צווארי
92	1396551	USD- US דופלר  וריד רגל ימין
93	4131	BONE MARROW BIOPSY
94	1399610	צילום כף רגל ימין
95	1399493	"צילום ע""""ש מותני (ע""""ש לומברי)"
96	2633635	פרופיל ביופיזיקלי והערכת משקל עובר
97	2680023	בדיקת אקו-לב עובר
98	2640948	בדיקת מי שפיר-עובר
99	4633404	אולטרסאונד
100	1595273	מפוי פרפוזיה של הלב - מבחן מאמץ
101	2614816	ברונכוסקופיה אבחנתית
102	R36067	PTCA + STENT
103	712209	אנטרוסקופיה
104	4513	ENDOSCOPY SM BOWEL NEC
105	4502	INCISION OF SMALL BOWEL  NEC
106	R43422	WEDGE RESECTON OF STOMACH
107	450	ENTEROTOMY
108	5789	REP OF BLADDER NOS
109	1397334	US אשכים
110	3505	ENDOVASCULR REPLACEMENT OF AORTIC VALVE
111	1399637	צילום דנס
112	1399259	"צילום ע""""ש צווארי (ע""""ש צרוויקלי)"
113	9671	CONTINUOUS INVASIVE MECHANICAL VENTILATION LESS THEN 96 HR
114	4709	APPENDECTOMY OPEN
115	5411	EXPLORATORY LAPAROTOMY
116	741	CESAREAN SECTION, LOW CERVICAL
117	8632	LOCAL EXC LESION OR TISSUE OF SKIN BY LASER
118	1396614	US צואר, ב. תריס, יתרת תריס
119	2630576	בדיקת אקו-לב עובר
120	8737	MAMMOGRAPHY NEC
121	1823784	ממוגרפיה יחיד
122	R3112	PERCUTANEOUS TRACHEOSTOMY
123	1396371	USD - US דופלר  וריד יד ימין
124	4311	PERCUTANTOUS GASTROSTOMY (PEG
125	711832	גסטרוסטומיה
126	1467698	צילום כף רגל שמאל
127	1399556	"צילום ע""""ש גבי (ע""""ש דורסלי)"
128	2712869	פענוח לשד עצם
129	735970	דוח הולטר קצב הלב
130	1397514	USD-US דופלר קרוטיס
131	2984484	MRA של עורקי הצוואר והמח
132	5122	CHOLECYSTECTOMY, OPEN
133	1396650	US ברך
134	1399349	US ניקוז - לאבר נפרד
135	1396380	USD - US דופלר וריד רגל שמאל
136	932933	EEG בעירנות
137	1395645	CT בטן לאבנים בכליות
138	1496289	תהודה מגנטית (MRI) - כף רגל ימין
139	3607401	EMG SINGLE FIBER
140	1399547	צילום עקב (קלקניאוס) מימין
141	1399466	צילום כתף ימין
142	1399223	צילום קרסול  ימין
143	1399286	צילום ירך ימין
144	1399457	צילום שורש כף יד - ימין
145	R79152	CLOSED REDUCTION FX INTERNAL FIX (PLATE) OF FEMUR
146	1398951	שיקוף בחדר ניתוח
147	598	CATHETERIZATION URETERAL
148	5631	URETEROSCOPY
149	1399819	אורתרוגרפיה
150	1399619	צילום ברך ימין
151	9903	WHOLE BLOOD TRANSFUS NEC
152	1359	LENS EXTRACAPSULAR EXTRACTION, NEC
153	0331	SPINAL TAP (LUMBAR PUNCTURE / LP)
154	1399250	צילום שוק ימין
155	R79161	CLOSED REDUCTION FX INTERNAL FIX (NAIL) OF TIBIA / FIBULA
156	3722	LT HEART CARDIAC CATHETERIZATION
157	8856	CORONARY ARTERIOGR-2 CATH
158	8853	LT HEART ANGIOCARDIOGRAM
159	1467959	ברונכוגרפיה/סקופיה
160	3054531	ברונכוסקופיה עם TBB
161	3096415	CT מח פרוטוקול נוויגציה
162	R98511	ESWL KIDNEY, URETER & / OR BLADDER (SIMPLE STONE)
163	2382399	בדיקת DUPLEX של עורקי הצוואר
164	1508527	US דופן בטן
165	8604	INCISION & DRAINAGE OF SKIN / SUBCUTANEOUS TISSUE
166	1398072	FNB - אבר בנפרד
167	1496307	"תהודה מגנטית (MRI) - ע""ש גבי"
168	1496334	"תהודה מגנטית (MRI) - ע""ש צוארי"
169	80501	EXC I.V. DISC ANTER APPROACH
170	9921	INJECT ANTIBIOTIC
171	777	EXCIS BONE FOR GRAFT
172	93411	SPINAL TRACTION USING HALO DEVICE
173	7770	EXCISION OF BONE FOR GRAFT
174	8026	ARTHROSCOPY OF KNEE
175	1396362	US ביופסית כבד
176	1396407	US פרקים ורקמות רכות
177	4011	BIOPSY LYMPHATIC STRUCTURE
178	1398198	FNB- US צואר ובלוטת התריס
179	0449	ADHESIOLYSIS PERIPH NERVE NEC
180	9326	MANUAL RUPT JOINT ADHES
181	270	DRAINAGE OF FACE & MOUTH FLOOR
182	9205	C-VASC SCAN / ISOTOP FUNCT
183	R88742	ENDOSCOPIC ULTRASOUND (EUS
184	2980581	תוספת ביופסיה ל EUS לא כולל EUS
185	7933	ORIF OF METAC / CAR FX
186	7869	REMOVAL IMPLANTED DEVICE FROM BONE - NEC
187	3356139	תכנון בלי חומר ניגוד
188	1399484	צילום צוואר
189	3727961	צילום חזה - קורא מוסמך
190	3524	OPEN AND OTHER REPLACE MITRAL VALVE NEC
191	3522	OPEN AND OTHER REPLACEMENT AORTIC VALVE NEC
192	2608816	מפוי לב במנוחה MIBI
193	1395861	CT סינוסים
194	2241	FRONTAL SINUSOTOMY
195	R22191	FESS OPERATION
196	2263	ETHMOIDECTOMY
197	2252	SPHENOIDOTOMY
198	3794	IMPLANTATION / REPLACEMENT OF AICD, TOTAL SYSTEM
199	2646098	השתלת ICD
200	3780	INSERTION / REPLACEMENT OF CARDIAC PACEMAKER
201	3726	CATHETER BASED ELECTROPHYSIOLOGICAL STUDIES OF HEART (EPS)
202	0066	PERCUTAN TRANSLUM CORONARY ANGIOPLAST (PTCA)
203	2620176	החלפת קוצב לב
204	81542	TOTAL KNEE REPLACEMENT, TRICOMPARTMENT
205	1369	CATARACT EXTRACTION NEC
206	1468040	צילום ברך שמאל
207	1467770	צילום מרפק שמאל
208	2309	EXTRACTION OF TOOTH NEC
209	8716	FACIAL BONE X-RAY NEC
210	1399439	צילום גתות אף (סינוסים)
211	1395897	CTA של עורקי המוח
212	5300	REPAIR INGUINAL HERNIA, UNILAT
213	1597495	כליות DMSA
214	R86241	MOHS' PROCEDURE
215	1395735	CT בלוק פצטלי
216	2677365	"CT  ע""ש עם שיכוך כאב (1162 )"
217	8621	EXC OF PILONIDAL SINUS
218	1399196	צילום אמה  ימין
219	1396149	CT פנים/בסיס גולגולת
220	1396005	CT לסת
221	7676	OPEN REDUCT MANDIBLE FX
222	1467815	צילום שוק שמאל
