code	desc
10040	None
2269	0: 2269~1: ייעוץ קרדיולוג
13200	None
2295	0: 2295~1: ייעוץ אורולוג
230	None
2568	0: 2568~1: ייעוץ רופא - ראות
10300	None
2243	0: 2243~1: ייעוץ נוירולוגי
118	None
2255	0: 2255~1: ייעוץ רופא-כבד
191	None
2244	0: 2244~1: ייעוץ עיניים
226	None
3015	0: 3015~1: ייעוץ  קרישה
26	None
3001	0: 3001~1: ייעוץ אונקולוגי
13410	None
2247	0: 2247~1: ייעוץ  כירורגיה חזה
3079097	0: 3079097~1: אורתופדיה~2: אורתופדיה
Null	None
60710	None
4516	0: 4516~1: אישור תרופה Tienam
2914	0: 2914~1: ייעוץ זיהומולוג
10012	None
2263	0: 2263~1: ייעוץ פנימית ב
4471	0: 4471~1: אישור תרופה Ertapenem
459	None
3024	0: 3024~1: ייעוץ פנימית מייעצת
10700	None
2543	0: 2543~1: ייעוץ טיפול נמרץ כללי
74430	None
3241	0: 3241~1: ייעוץ תזונה  (דיאטנית)
4473	0: 4473~1: אישור תרופה Fluconazole
4515	0: 4515~1: אישור תרופה Tazocin
4494	0: 4494~1: אישור תרופה Imipenem
3079098	0: 3079098~1: כירורגיה~2: כירורגיה
3079096	0: 3079096~1: פנימית~2: פנימית
10500	None
3028	0: 3028~1: ייעוץ עור
3079225	0: 3079225~1: כירורגית חזה~2: כירורגית חזה 
3079227	0: 3079227~1: אונקולוגיה ~2: אונקולוגיה 
13800	None
2245	0: 2245~1: ייעוץ אאג
10022	None
2268	0: 2268~1: ייעוץ שיכוך כאב
13000	None
4733	0: 4733~1: ייעוץ מערך כירורגיה כללית
50000	None
3445	0: 3445~1: ייעוץ מיון נוירולוג 
10070	None
2270	0: 2270~1: ייעוץ נפרולוגי
3026	0: 3026~1: ייעוץ נוירולוגיה -נוירואונקולוגי
217	None
3030	0: 3030~1: ייעוץ פרמקולוגי
3079099	0: 3079099~1: נשים~2: נשים
17000	None
3050	0: 3050~1: ייעוץ פסיכולוגי
10090	None
2271	0: 2271~1: ייעוץ המטולוגי
13101	None
2292	0: 2292~1: ייעוץ אורטופד א
3079100	0: 3079100~1: עיניים~2: עיניים
3079228	0: 3079228~1: המטולוגיה~2: המטולוגיה
10015	None
2266	0: 2266~1: ייעוץ פנימית ה
3079169	0: 3079169~1: נוירוכירורגיה~2: נוירוכירורגיה
3213818	0: 3213818~1: טיפול נמרץ כללי~2: טיפול נמרץ כללי
4505	0: 4505~1: אישור תרופה Meropenem
4524	0: 4524~1: אישור תרופה Vancomycin
4465	0: 4465~1: אישור תרופה Coliracin
13300	None
2297	0: 2297~1: ייעוץ נוירוכירורג
13600	None
2300	0: 2300~1: ייעוץ כירורגית פלסטיקה
351	None
2343	0: 2343~1: ייעוץ רופא - גסטרו
24	None
2567	0: 2567~1: ייעוץ אנדוקרינולוגי
4518	0: 4518~1: אישור תרופה Trican
3079101	0: 3079101~1: אף אוזן גרון~2: אף אוזן גרון 
3079106	0: 3079106~1: נוירולוגיה~2: נוירולוגיה
3079180	0: 3079180~1: נפרולוגיה~2: נפרולוגיה
3079102	0: 3079102~1: פה ולסת~2: פה ולסת
13900	None
2302	0: 2302~1: ייעוץ פה ולסת
3077781	0: 3077781~1: אורולוגיה~2: אורולוגיה
13333	None
31006	0: 31006~1: ייעוץ מערך אורטופדי
2306	0: 2306~1: ייעוץ פסיכיאטריה
3077779	0: 3077779~1: כירורגיה פלסטית~2: כירורגיה פלסטית
500	None
31176	0: 31176~1: ייעוץ גריאטרי
13102	None
2293	0: 2293~1: ייעוץ אורטופדית ב
10020	None
2267	0: 2267~1: ייעוץ  ראומטולוגי
46300	None
3350	0: 3350~1: ייעוץ דימות - המטולוגי
3079103	0: 3079103~1: פסיכיאטריה~2: פסיכיאטריה
39	None
3012	0: 3012~1: ייעוץ אורטופדית ב עמוד שדרה
22	None
3014	0: 3014~1: ייעוץ אלרגיה+אימנולוגיה
4514	0: 4514~1: אישור תרופה Tavanic
3077780	0: 3077780~1: עור~2: עור
13001	None
2290	0: 2290~1: ייעוץ כיר' כללית א
3079226	0: 3079226~1: קרדיולוגיה~2: קרדיולוגיה
4566013	0: 4566013~1: זיהומים~2: זיהומים
13500	None
2299	0: 2299~1: יעוץ כירורגית כלי דם
364	None
2363	0: 2363~1: ייעוץ מרדים
3217354	0: 3217354~1: רפואה דחופה~2: רפואה דחופה
200	None
3544	0: 3544~1: ייעוץ כונן פיזיותרפיה נשימתית
10704	None
2542	0: 2542~1: ייעוץ טיפול נמרץ פנימי
4474	0: 4474~1: אישור תרופה Fortum
13110	None
2294	0: 2294~1: ייעוץ רופא - כיר' כף היד
15000	None
2303	0: 2303~1: ייעוץ נשים
4512	0: 4512~1: אישור תרופה Tamiflu
4593	0: 4593~1: ייעוץ קרדיולוגיה - אי ספיקת לב
4433	0: 4433~1: אישור לתרופה Acyclovir
4528	0: 4528~1: אישור תרופה Voriconazole
4352	0: 4352~1: אישור לתרופה ZOVIRAX
4612	0: 4612~1: אישור תרופה Eraxis
4506	0: 4506~1: אישור תרופה Noxafil
4451	0: 4451~1: אישור תרופה Ambisome
75500	None
3604	0: 3604~1: ייעוץ רוקח
5733	0: 5733~1: ייעוץ דימות - אונקולוגי
13420	None
2298	0: 2298~1: ייעוץ כירורגיה לב
9	None
3022	0: 3022~1: ייעוץ מטבוליזם עצם
3079170	0: 3079170~1: כירורגית כלי דם~2: כירורגית כלי דם
10014	None
2265	0: 2265~1: ייעוץ פנימית ד
3055	0: 3055~1: ייעוץ אורטופדי(א)-אונקולוגי
3079179	0: 3079179~1: ראומטולוגיה~2: ראומטולוגיה
3031	0: 3031~1: דווח על תופעות לוואי
260	None
3065	0: 3065~1: ייעוץ מחלות זיהומיות ילדים 
3021	0: 3021~1: ייעוץ אנדוקרינולוגי סכרת
10011	None
2103	0: 2103~1: ייעוץ פנימית א
31007	0: 31007~1: ייעוץ אורתופדיה אונקולוגית
13002	None
2291	0: 2291~1: יעוץ כיר' כללית ב
4460	0: 4460~1: אישור תרופה Caspofungin
4520	0: 4520~1: אישור תרופה Unasyn
