code	desc
Null	None
50506	0: 50506~1: TAB
50487	0: 50487~1: CAP
50486	0: 50486~1: AMP
69808	0: 69808~1: I.V
50505	0: 50505~1: SYR
50499	0: 50499~1: POW
50489	0: 50489~1: DRP
50501	0: 50501~1: SOL
50493	0: 50493~1: INH
50497	0: 50497~1: OINT
50494	0: 50494~1: INJ
50495	0: 50495~1: LIQ
97832	0: 97832~1: I.M
50491	0: 50491~1: EML
50488	0: 50488~1: CRM
50498	0: 50498~1: UNG
59964	0: 59964~1: S.C
50492	0: 50492~1: GEL
50503	0: 50503~1: SUP
0	None
50502	0: 50502~1: SPR
630201	0: 630201~1: PATCH
50504	0: 50504~1: SUS
97834	0: 97834~1: P.O
50496	0: 50496~1: LOZ
