code	desc
877	0: 877~1: 1/d
1720138	0: 1720138~1: Once
3077583	0: 3077583~1: Cont_Immediate
2748014	0: 2748014~1: Once Immediate
879	0: 879~1: 3/d
878	0: 878~1: 2/d
880	0: 880~1: 4/d
2072630	0: 2072630~1: 1/D ערב
800971	0: 800971~1: Cont Drip
2071005	0: 2071005~1: SOS
3038000	0: 3038000~1: 12/d
0	None
2072627	0: 2072627~1: 1/D בוקר
3864086	0: 3864086~1: Once Immediate Doc
68952	0: 68952~1: PRN
7871	0: 7871~1: 6/d
2072629	0: 2072629~1: 1/D צהרים
881	0: 881~1: 5/d
10418	None
2769145	0: 2769145~1: Cont_Dribble
2509114	0: 2509114~1: 8/d
733762	0: 733762~1: 3/W
Null	None
97829	0: 97829~1: 1/W
2523891	0: 2523891~1: 10/d
198576	0: 198576~1: 2/W
2708551	0: 2708551~1: מינון משתנה
1116248	0: 1116248~1: /d
2072660	0: 2072660~1: 1/D לילה
733763	0: 733763~1: 1/M
2072659	0: 2072659~1: 3/D בוקר-צהרים-ערב
733765	0: 733765~1: 3/M
2072657	0: 2072657~1: 2/D בוקר-צהרים
2761315	0: 2761315~1: 4/W
733764	0: 733764~1: 2/M
3280202	0: 3280202~1: 6/W
