code	desc
7858	0: 7858~1: mg
7859	0: 7859~1: cc
10416	0: 10416~1: U
7862	0: 7862~1: gr
2696909	0: 2696909~1: Tab
798394	0: 798394~1: cc/h
805152	0: 805152~1: mg/h
Null	None
10417	0: 10417~1: Gutt
7857	0: 7857~1: ml
2616119	0: 2616119~1: U/h
7861	0: 7861~1: Lit
3019334	0: 3019334~1: Ampula
0	None
1173082	0: 1173082~1: PUFFS
2330074	0: 2330074~1: mln
7860	0: 7860~1: MCG
6475390	None
2982631	0: 2982631~1: Cap
4106941	0: 4106941~1: %
2090373	0: 2090373~1: mEq
2066659	0: 2066659~1: mg/cc
2066661	0: 2066661~1: mcg/cc
3331137	0: 3331137~1: MIU
