code	desc
R55691	0: R55691~1: TRANSPLANT CADAVER KIDNEY NEC
1399394	0: 1399394~1: צילום בית חזה
1396641	0: 1396641~1: USD - US דופלר כליות מושתל
1597494	0: 1597494~1: מפוי כליות
1396167	0: 1396167~1: CT מח
545350	0: 545350~1: אקוקרדיוגרפיה
1396140	0: 1396140~1: CT בטן ואגן
1396470	0: 1396470~1: US בטן, כבד, לבלב, דרכי מרה
1398663	0: 1398663~1: מילוי כיס שתן (ציסטוגרפיה)
1399322	0: 1399322~1: צילום בטן ריקה
1396506	0: 1396506~1: US  כליות
1396122	0: 1396122~1: CT חזה רגיל
1395843	0: 1395843~1: CT לרזולוציה גבוהה - HRCT
1397352	0: 1397352~1: USD - US  דופלר כליות
3995	0: 3995~1: HEMODIALYSIS
8876	0: 8876~1: DX ULTRASOUND-ABDOMEN
8802	0: 8802~1: ABDOMINAL TOMOGRAPHY NEC
8742	0: 8742~1: THORACIC TOMOGRAPHY NEC
8872	0: 8872~1: DX ULTRASOUND-HEART
8704	0: 8704~1: HEAD TOMOGRAPHY NEC
5019	0: 5019~1: DX PROC ON LIVER NEC
1396542	0: 1396542~1: USD-US דופלר בטן, לבלב, כבד, מרה 
4413	0: 4413~1: GASTROSCOPY NEC
4414	0: 4414~1: ENDOSCOPIC BIOPSY OF STOMACH (BRUSH / WASH)
711609	0: 711609~1: גסטרוסקופיה
5013	0: 5013~1: TRANSJUGULAR LIVER BIOPSY
1467851	0: 1467851~1: ביופסיה טרנסיוגולרית לכבד
4523	0: 4523~1: COLONOSCOPY FIBEROPTIC
712432	0: 712432~1: קולונסקופיה
712151	0: 712151~1: אולטראסאונד אנדוסקופי –EUS
1587180	0: 1587180~1: PET-CT
2115406	0: 2115406~1: US  בטן בחדר הלם
1399574	0: 1399574~1: צילום צלעות צד ימין
1488985	0: 1488985~1: צילום בטן בעמידה - דקוביטוס
863	0: 863~1: EXC / DESTR LESION SKIN/SUBCUTANEOUS TISSUE - OTHER
81512	0: 81512~1: TOTAL HIP REPLACEMENT CEMENTED
1823786	0: 1823786~1: ממוגרפיה לשני השדיים
1823726	0: 1823726~1: ביופסיה מלעורית של השד בהנחיית ממוגרפיה
9962	0: 9962~1: ELECTRIC COUNTERSHOCK OF HEART
1580192	0: 1580192~1: הרדמה
1341	0: 1341~1: CATARACT PHACOEMULSIFICATION AND ASPIRATION
1371	0: 1371~1: INSERT LENS AT CATAR EXTRACTION
1399520	0: 1399520~1: צילום פרק הירך צד ימין
1467707	0: 1467707~1: צילום פרק ירך שמאל
8151	0: 8151~1: TOTAL HIP REPLACEMENT
R81513	0: R81513~1: TOTAL HIP REPLACEMENT, CEMENTLESS
Null	None
1399448	0: 1399448~1: צילום אגן
R86224	0: R86224~1: EXCISIONAL DEBRIDEMENT DOWN TO FASCIA
8015	0: 8015~1: ARTHROTOMY / ARTHROSTOMY OF HIP
1467680	0: 1467680~1: צילום ירך שמאל
1396275	0: 1396275~1: CTA בית חזה (לא עבור PE)
1467860	0: 1467860~1: החדרת PICC
R86221	0: R86221~1: DEBRIDEMENT OF WOUND / INFECTION (NOT BURN) (EXCISIONAL)
R86592	0: R86592~1: SUTURE SKIN / SUBCUTANEOUS TISSUE, PRIMARY, DELAYED (DPS).
8622	0: 8622~1: EXCIS DEBRIDEMENT WOUND,  INFECTION, BURN
1467797	0: 1467797~1: צילום צלעות צד שמאל
5878262	0: 5878262~1: אקג קרדיו
1399421	0: 1399421~1: צילום אצבע
1596266	0: 1596266~1: התרוקנות קיבה
R21691	0: R21691~1: COBLATION OF NASAL TURBINATES
R98510	0: R98510~1: ESWL KIDNEY, URETER & / BLADDER NOS
1594650	0: 1594650~1: מפוי עצם + ספקט
2632908	0: 2632908~1: אולטרסאונד נשים
3054530	0: 3054530~1: ברונכוסקופיה עם ביופסיה
1397550	0: 1397550~1: US שדיים
9904	0: 9904~1: TRANSFUSION PACKED CELLS
1396050	0: 1396050~1: CT ארובות עיניים
4901	0: 4901~1: INCIS PERIANAL ABSCESS
1396452	0: 1396452~1: US לאבר בנפרד
R86043	0: R86043~1: INCISION & DRAINAGE OF SKIN & SUBCUT ABSCESS
1467914	0: 1467914~1: CT אנגיו קורונרי
8857	0: 8857~1: CORONARY ARTERIOGRAPHY NEC
545343	0: 545343~1: צנתור לב
689	0: 689~1: HYSTERECTOMY, NOS
8542	0: 8542~1: MASTECTOMY SIMPLE BILAT
R36014	0: R36014~1: PTCA SINGLE VESSEL W INTRACORONARY GAMMA IRRADIATION
40	0: 0040~1: PROCEDURE ON SINGLE VESSEL
46	0: 0046~1: INSERTION OF TWO VASCULAR STENTS
3607	0: 3607~1: INSERTION OF DRUG ELUTING CORONARY ARTERY STENT(S)
1065338	0: 1065338~1: אנגיופלסטיה כלילית בהמשך לצנתור
1595275	0: 1595275~1: מפוי פרפוזיה של הלב - מבחן פרמקולוגי
933902	0: 933902~1: EMG
1496343	0: 1496343~1: תהודה מגנטית  (MRI) - מח
114	0: 0114~1: BIOPSY BRAIN - OPEN
124	0: 0124~1: CRANIOTOMY-OTHER
979585	0: 979585~1: אולטרסאונד
1598121	0: 1598121~1: מפוי ריאות
7569	0: 7569~1: REPAIR OTHER CURRENT OBSTETRIC LACERATION NEC
3915	0: 03915~1: EPIDURAL ANESTHESIA / BLOCK
1396239	0: 1396239~1: CT אנגיו בטן - CTA
1395726	0: 1395726~1: CT עש צווארי
1396551	0: 1396551~1: USD- US דופלר  וריד רגל ימין
4131	0: 4131~1: BONE MARROW BIOPSY
