signal_id	frequency_per_signal	signal_unit_id	frequency_per_signal_unit	rambam_signal_name	rambam_unit	empty	first_val	ignore_me1	medial_signal_name	medial_unit	rambam_resolution	conversion_factor	medial_resolution	SpecialRule	ignore_me2	ignore_me3
	91079	250@MM/HG 	91079	0: 250~1: לחץ עורקי  	MM/HG 		-20000	2	ABP	MM/HG	10	1	10			TRUE
802006010	16949	802006010@% 	16798	0: 802006010~1: Albumin (ELCP)-BL % 	% 		3.4	1	AlbuminELCP%	g/dL	0.1	1	0.1			TRUE
802006010	16949	802006010@NULL 	151	0: 802006010~1: Albumin (ELCP)-BL % 	NULL 		0	1	AlbuminELCP%	g/dL	0.1	1	0.1			TRUE
882040010	709738	882040010@G/DL 	705486	0: 882040010~1: Albumin-BL 	G/DL 		0	32	Albumin	g/dL	0.1	1	0.1			TRUE
882040010	709738	882040010@NULL 	4252	0: 882040010~1: Albumin-BL 	NULL 		0.19	1	Albumin	g/dL	0.1	1	0.1			TRUE
884075010	660192	884075010@NULL 	4800	0: 884075010~1: Alkaline Phosphatase-BL 	NULL 		0.55	1	ALP	IU/L	1	1	1			TRUE
884075010	660192	884075010@U/L 	655391	0: 884075010~1: Alkaline Phosphatase-BL 	U/L 		0	2	ALP	IU/L	1	1	1			TRUE
802007010	17070	802007010@% 	17010	0: 802007010~1: alpha1-globulin % (EP) - blood 	% 		0.1	1	Alpha1Globulin	%	0.1	1	0.1			TRUE
802009010	17036	802009010@% 	16976	0: 802009010~1: alpha2-globulin % (EP) - blood 	% 		1.3	1	Alpha2Globulin	%	0.1	1	0.1			TRUE
884460010	664430	884460010@NULL 	5105	0: 884460010~1: ALT (GPT)-BL 	NULL 		1	1	ALT	U/L	1	1	1			TRUE
884460010	664430	884460010@U/L 	659325	0: 884460010~1: ALT (GPT)-BL 	U/L 		-20	1	ALT	U/L	1	1	1			TRUE
882150010	485289	882150010@U/L 	485114	0: 882150010~1: Amylase-BL 	U/L 		0	26	Amylase	U/L 	1	1	1			TRUE
882150040	34513	882150040@U/L 	34513	0: 882150040~1: Amylase-UR 	U/L 		0	3	Amylase-UR	U/L 	1	1	1			TRUE
884450010	811222	884450010@NULL 	5073	0: 884450010~1: AST(GOT)-BL 	NULL 		0	1	AST	IU/L	1	1	1			TRUE
884450010	811222	884450010@U/L 	806149	0: 884450010~1: AST(GOT)-BL 	U/L 		-4	1	AST	IU/L	1	1	1			TRUE
805116010	11906	805116010@% 	11906	0: 805116010~1: Atypical Lymphocytes (manual)  % 	% 		0	29	Atyp_Lymphocytes	%	1	1	1			TRUE
882607010	17949	882607010@NULL 	788	0: 882607010~1: Vitamin B12 	NULL 		4.82	1	B12	ng/L	1	1	1			TRUE
882607010	17949	882607010@PG/ML 	17159	0: 882607010~1: Vitamin B12 	PG/ML 		3.56	1	B12	ng/L	1	1	1			TRUE
805111010	83637	805111010@% 	83625	0: 805111010~1: Band (manual) % 	% 		0	142	Band	%	1	1	1			TRUE
805111010	83637	805111010@NULL 	12	0: 805111010~1: Band (manual) % 	NULL 		3	1	Band	%	1	1	1			TRUE
805985010	12681	805985010@X10^3/µL 	12680	0: 805985010~1: Bands (manual) - abs 	X10^3/µL 		0	3	Bands_abs	10^9/L 	0.01	1	0.01			TRUE
1001305	71191	1001305@NULL 	71191	0: 1001305~1: Base excess (POC) 	NULL 		-30	3	Base_excess	mEq/L	0.1	1	0.1			TRUE
803558140	585619	803558140@MMOL/L 	87859	0: 803558140~1: Base excess 	MMOL/L 		-91	1	Base_excess	mEq/L	0.1	1	0.1			TRUE
803558140	585619	803558140@NULL 	497760	0: 803558140~1: Base excess 	NULL 		-31.8	1	Base_excess	mEq/L	0.1	1	0.1			TRUE
805025010	842495	805025010@X10^3/µL 	777165	0: 805025010~1: Basophils - abs 	X10^3/µL 		87	1	BasNum	10*9/L	0.1	1	0.1			FALSE
805025010	842495	805025010@X10^3/MCRL 	65241	0: 805025010~1: Basophils - abs 	X10^3/MCRL 		0	3067	BasNum	10*9/L	0.1	1	0.1			TRUE
805989010	12991	805989010@X10^3/µL 	12990	0: 805989010~1: Basophils[unsupported character] (manual) - abs 	X10^3/µL 		0	4995	BasNum	10*9/L	0.01	1	0.01			TRUE
805019010	1029034	805019010@% 	1028885	0: 805019010~1: Basophils % 	% 		0	61257	BasPerc	%	1	1	1			TRUE
805019010	1029034	805019010@NULL 	149	0: 805019010~1: Basophils % 	NULL 		0	1	BasPerc	%	1	1	1			TRUE
805105010	22540	805105010@% 	22540	0: 805105010~1: Basophils (manual) % 	% 		0	5134	BasPerc	%	1	1	1			TRUE
802015010	15957	802015010@% 	15897	0: 802015010~1: beta-globulin % (EP) - blood 	% 		1.7	1	BetaGlobulin	%	0.1	1	0.1			TRUE
802015010	15957	802015010@NULL 	60	0: 802015010~1: beta-globulin % (EP) - blood 	NULL 		0.8	2	BetaGlobulin	%	0.1	1	0.1			TRUE
1001304	71276	1001304@MMOL/L 	71276	0: 1001304~1: Bicarbonate (HCO3) (POC) 	MMOL/L 		3	33	Bicarbonate	mmol/L	1	0.1	0.1			TRUE
803556140	585813	803556140@MMOL/L 	585801	0: 803556140~1: Bicarbonate (HCO3) 	MMOL/L 		-3	1	Bicarbonate	mmol/L	0.1	1	0.1			TRUE
882247010	870420	882247010@MG/DL 	866415	0: 882247010~1: Bilirubin Total-BL 	MG/DL 		154.24	1	Bilirubin	mg/dL	0.1	1	0.1			FALSE
882247010	870420	882247010@NULL 	4005	0: 882247010~1: Bilirubin Total-BL 	NULL 		157	1	Bilirubin	mg/dL	0.1	1	0.1			FALSE
882248010	800885	882248010@MG/DL 	798573	0: 882248010~1: Bilirubin Direct-BL 	MG/DL 		-0.19	1	Bilirubin_Direct-BL	MG/DL 	0.1	1	0.1			TRUE
882248010	800885	882248010@NULL 	2312	0: 882248010~1: Bilirubin Direct-BL 	NULL 		0	19	Bilirubin_Direct-BL	MG/DL 	0.1	1	0.1			TRUE
BLAF 	134719	BLAF@NULL 	134719	0: BLAF~1: BLASTS FLAG 	NULL 		0	3882	BLASTS	NULL	0.1	1	0.1			TRUE
801019400	24888	801019400@ERY/µL 	24290	0: 801019400~1: Blood-UR-Strip 	ERY/µL 		0	136	Blood-UR	ERY/uL 	1	1	1			TRUE
801019400	24888	801019400@NULL 	597	0: 801019400~1: Blood-UR-Strip 	NULL 		0	540	Blood-UR	ERY/uL 	1	1	1			TRUE
122	73230	122@KG/M2 	73230	0: 122~1: BMI 	KG/M2 		0	2	BMI	kg/m2	0.1	1	0.1			TRUE
282	19437	282@KG/M2 	19437	0: 282~1: BMI אישפוז 	KG/M2 		0	2	BMI	kg/m2	0.1	1	0.1			TRUE
803176010	24109	803176010@PG/ML 	24109	0: 803176010~1: B-Type Natriuretic Peptide (BNP)-BL 	PG/ML 		0	19	BNP	PG/ML 	1	1	1			TRUE
73	150324	73@פעמים 	150324	0: 73~1: יציאות מס' 	פעמים 		0	83203	BOWEL_MOV_COUNT	NULL	1	1	1			TRUE
882310010	975980	882310010@MG/DL 	972845	0: 882310010~1: Calcium-BL 	MG/DL 		-0.11	1	Calcium	mg/dL	0.1	1	0.1			TRUE
882310010	975980	882310010@NULL 	3135	0: 882310010~1: Calcium-BL 	NULL 		97	1	Calcium	mg/dL	0.1	1	0.1			FALSE
1001306	72101	1001306@MMOL/L 	72101	0: 1001306~1: Calcium++ (POC) 	MMOL/L 		0.1	3	Calcium++	MMOL/L 	0.01	0.1	0.001			TRUE
882330140	583162	882330140@MMOL/L 	583155	0: 882330140~1: Calcium++ 	MMOL/L 		0	4	Calcium++	MMOL/L 	0.01	1	0.01			TRUE
8	15134	8@NULL 	15134	0: 8~1: CVP 	NULL 		0	226	CentralVenousPressure	NULL	1	1	1			TRUE
882435010	1263918	882435010@MMOL/L 	1263585	0: 882435010~1: Chloride-BL 	MMOL/L 		0	14	Chloride	mmol/L	1	1	1			TRUE
882435010	1263918	882435010@NULL 	333	0: 882435010~1: Chloride-BL 	NULL 		4.2	1	Chloride	mmol/L	1	1	1			TRUE
882465010	211158	882465010@MG/DL 	206298	0: 882465010~1: Cholesterol-BL 	MG/DL 		0	8	Cholesterol	mg/dL	1	1	1			TRUE
882465010	211158	882465010@NULL 	4860	0: 882465010~1: Cholesterol-BL 	NULL 		0.81	1	Cholesterol	mg/dL	1	1	1			TRUE
886160010	15535	886160010@MG/DL 	15531	0: 886160010~1: Complement C3-BL 	MG/DL 		6	1	ComplC3	MG/DL	1	1	1			TRUE
805853010	15458	805853010@MG/DL 	15454	0: 805853010~1: Complement C4-BL 	MG/DL 		0.27	1	ComplC4	MG/DL	0.1	1	0.1			TRUE
855	51365	855@NULL 	51365	"0: 855~1: CPOT סכ""ה "	NULL 		0	48416	CPOT	NULL	1	1	1			TRUE
88	24085	88@NULL 	24085	0: 88~1: CPOT 	NULL 		0	17148	CPOT	NULL	1	1	1			TRUE
882565010	1449939	882565010@MG/DL 	1442309	0: 882565010~1: Creatinine-BL 	MG/DL 		0	19	Creatinine-BL	mg/dL	0.1	1	0.1			TRUE
882565010	1449939	882565010@NULL 	7629	0: 882565010~1: Creatinine-BL 	NULL 		-0.55	1	Creatinine-BL	mg/dL	0.1	1	0.1			TRUE
882550010	290616	882550010@U/L 	289494	0: 882550010~1: Creatine Kinase (CK)-BL 	U/L 		0	58	CreatinineKinase	IU/L	1	1	1			TRUE
882570950	20391	882570950@MG/24H 	14112	0: 882570950~1: Creatinine-UR/24h 	MG/24H 		0.53	1	Creatinine-UR_24h	MG/24H 	0.1	1	0.1			TRUE
882570950	20391	882570950@MG/24HRS 	6229	0: 882570950~1: Creatinine-UR/24h 	MG/24HRS 		0	9	Creatinine-UR_24h	MG/24H 	0.1	1	0.1			TRUE
802076010	95855	802076010@MG/DL 	27973	0: 802076010~1: C-Reactive Protein-BL 	MG/DL 		0.02	66	CRP	mg/dL	0.01	1	0.01			TRUE
802076010	95855	802076010@MG/L 	67840	0: 802076010~1: C-Reactive Protein-BL 	MG/L 		0	14	CRP	mg/dL	0.1	0.1	0.01			TRUE
