code	desc
VMX	0: VMX~1: VANCOMICIN LEVEL
VMT	0: VMT~1: VANCOMICIN LEVEL - BEFORE
VR_EBNA	0: VR_EBNA~1: EBV EBNA IGG .......
VR_CMV-M	0: VR_CMV-M~1: CMV-IGM
882947010	0: 882947010~1: Glucose-BL
882565010	0: 882565010~1: Creatinine-BL
802021010	0: 802021010~1: Blood Urea Nitrogen-BL
884132010	0: 884132010~1: Potassium-BL
884295010	0: 884295010~1: Sodium-BL
805017010	0: 805017010~1: Monocytes %
885018010	0: 885018010~1: HGB
806469010	0: 806469010~1: PT
805004010	0: 805004010~1: HCT
805018010	0: 805018010~1: Eosinophils %
885730010	0: 885730010~1: A-PTT
805016010	0: 805016010~1: Lymphocytes %
805005010	0: 805005010~1: MCV
805015010	0: 805015010~1: Neutrophils %
805019010	0: 805019010~1: Basophils %
885049010	0: 885049010~1: PLATELET
805001010	0: 805001010~1: WBC
806468010	0: 806468010~1: INR
885041010	0: 885041010~1: RBC
803555140	0: 803555140~1: PO2
803558140	0: 803558140~1: Base excess
883605140	0: 883605140~1: Lactate
803554140	0: 803554140~1: PCO2
882435010	0: 882435010~1: Chloride-BL
803556140	0: 803556140~1: Bicarbonate (HCO3)
803553140	0: 803553140~1: PH
882330140	0: 882330140~1: Calcium++
Null	None
VR_AUSR	0: VR_AUSR~1: HBSAG
VR_HCV	0: VR_HCV~1: ANTI-HCV
884478010	0: 884478010~1: Triglycerides-BL
882310010	0: 882310010~1: Calcium-BL
882465010	0: 882465010~1: Cholesterol-BL
884100010	0: 884100010~1: Inorganic Phosphate-BL
884550010	0: 884550010~1: Uric Acid-BL
882247010	0: 882247010~1: Bilirubin Total-BL
883615010	0: 883615010~1: Lactate Dehydrogenase (LDH)-BL
882040010	0: 882040010~1: Albumin-BL
882248010	0: 882248010~1: Bilirubin Direct-BL
882977010	0: 882977010~1: Gamma Glutamyl Transpeptidase (GGT)-BL
884075010	0: 884075010~1: Alkaline Phosphatase-BL
884155010	0: 884155010~1: Total Protein-BL
884460010	0: 884460010~1: ALT (GPT)-BL
882150010	0: 882150010~1: Amylase-BL
884450010	0: 884450010~1: AST(GOT)-BL
805012010	0: 805012010~1: MPV
805037010	0: 805037010~1: Microcytosis
805038010	0: 805038010~1: Macrocytosis
805010010	0: 805010010~1: HDW
805020010	0: 805020010~1: Large unstained cells%
805009010	0: 805009010~1: RDW
805007010	0: 805007010~1: MCHC
LOBI	0: LOBI~1: LOBULARITY INDEX
BLAF	0: BLAF~1: BLASTS FLAG
IGFL	0: IGFL~1: IG
805006010	0: 805006010~1: MCH
805041010	0: 805041010~1: Hypochromia
805042010	0: 805042010~1: Hyperchromia
801028410	0: 801028410~1: Bacteria-UR sediment
801019400	0: 801019400~1: Blood-UR-Strip
805001410	0: 805001410~1: Leucocytes-UR-Sed
801032400	0: 801032400~1: Specific Gravity-UR Strip
801012400	0: 801012400~1: Protein-UR-Strip
801010400	0: 801010400~1: Nitrite-UR Strip
801018400	0: 801018400~1: Bilirubin- UR-Strip
884583400	0: 884583400~1: Urobilinogen-UR Strip
801007410	0: 801007410~1: Crystals-UR Sediment
805001400	0: 805001400~1: Leucocytes-UR-Strip
801067400	0: 801067400~1: pH-UR Strip
801073410	0: 801073410~1: Epithelial Cells-UR Sediment
801031410	0: 801031410~1: Casts-UR Sediment
801045410	0: 801045410~1: Erythrocytes-UR Sediment
ACET	0: ACET~1: ACETONE
801030400	0: 801030400~1: Glucose-UR-Strip
882550010	0: 882550010~1: Creatine Kinase (CK)-BL
883735010	0: 883735010~1: Magnesium-BL
884484010	0: 884484010~1: Troponine-I
805110010	0: 805110010~1: Myelocytes (manual) %
805111010	0: 805111010~1: Band (manual) %
884155040	0: 884155040~1: Protein-UR
882570040	0: 882570040~1: Creatinine-UR
884155950	0: 884155950~1: Protein-UR/24 h
882570950	0: 882570950~1: Creatinine-UR/24h
CYA	0: CYA~1: CYA-CYCLOSPORINE PARENT DRUG
805117010	0: 805117010~1: Basophils stippling
805136010	0: 805136010~1: Polychromasia
805139010	0: 805139010~1: Rouleaux formation
805021010	0: 805021010~1: Neutrophils - abs
805023010	0: 805023010~1: Monocytes - abs
ALUC	0: ALUC~1: LARGE UNSTAINED CELLS (ABS)
805025010	0: 805025010~1: Basophils - abs
ALMP	0: ALMP~1: LYMHOCYTES (ABS)
MPXI	0: MPXI~1: MYELOPEROXIDASE INDEX
805024010	0: 805024010~1: Eosinophils - abs
882270060	0: 882270060~1: Occult Blood-Feces
VR_CMVAG	0: VR_CMVAG~1: CMV ANTIGEN
VR_CMDNA	0: VR_CMDNA~1: CMV DNA
882009400	0: 882009400~1: Ketones-UR strip
883718010	0: 883718010~1: HDL-Cholesterol-BL
CRYU	0: CRYU~1: CRYSTALS IN SEDIMENT
801063410	0: 801063410~1: Miscellaneous-UR Sediment
883935040	0: 883935040~1: Osmolarity-UR
884133040	0: 884133040~1: Potassium-UR
884300040	0: 884300040~1: Sodium-UR
883930010	0: 883930010~1: Osmolarity-BL
803559140	0: 803559140~1: SO2
WAPC	0: WAPC~1: BRONCHIAL LAVAGE
WASH	0: WASH~1: שטיפה
VR_ADDNA	0: VR_ADDNA~1: ADENOVIRUS DNA
VR_RSIFA	0: VR_RSIFA~1: RESPIRATORY VIRUSES ....
VR_CMVIS	0: VR_CMVIS~1: CMV SHELL VIAL CULTURE
VR_IS	0: VR_IS~1: ISOLATION OF VIRUS
802021040	0: 802021040~1: Urea Nitrogen-UR
VR_CMVAX	0: VR_CMVAX~1: CMV IGG AXSYM
TACR	0: TACR~1: TACROLIMUS
802455010	0: 802455010~1: Magnesium++
805026010	0: 805026010~1: Large unstained cells- abs
805022010	0: 805022010~1: Lymphocytes - abs
801064410	0: 801064410~1: Mucus-UR-Sediment
802152970	0: 802152970~1: LDL Cholesterol (Calc)-BL
805104010	0: 805104010~1: Eosinophils (manual) %
805103010	0: 805103010~1: Monocytes (manual) %
805102010	0: 805102010~1: Lymphocytes (manual) %
805101010	0: 805101010~1: Neutrophils (manual) %
805116010	0: 805116010~1: Atypical Lymphocytes (manual)  %
805105010	0: 805105010~1: Basophils (manual) %
882728010	0: 882728010~1: Ferritin-BL
883540010	0: 883540010~1: Iron-BL
884466970	0: 884466970~1: Transferrin, Saturation-BL
884466010	0: 884466010~1: Transferrin-BL
805056010	0: 805056010~1: Reticulocytes %
805057010	0: 805057010~1: Reticulocytes abs
802076010	0: 802076010~1: C-Reactive Protein-BL
882575970	0: 882575970~1: Creatinine Clearance Test-CCT
802021940	0: 802021940~1: Urea Nitrogen-UR/Creatinine
802021950	0: 802021950~1: Urea Nitrogen/24h
884155940	0: 884155940~1: Protein-UR/Creatinine
805221010	0: 805221010~1: Crenated cells
805140010	0: 805140010~1: Schistocytes cells
VR_COR	0: VR_COR~1: ANTI-HBC
VR_CRNAQ	0: VR_CRNAQ~1: QUANTITATIVE HCV-RNA
882140010	0: 882140010~1: Ammonia-BL
803179010	0: 803179010~1: beta-hCG, qant
882105010	0: 882105010~1: Alpha-Feto Protein
886301010	0: 886301010~1: CA 19-9
882378010	0: 882378010~1: CEA
882164010	0: 882164010~1: Angiotensin Converting Enzyme-BL
886304010	0: 886304010~1: CA 125
806534010	0: 806534010~1: Anti Beta2-glycoprotein IgM
806533010	0: 806533010~1: Anti Beta2-glycoprotein IgG
805411010	0: 805411010~1: IgM
802147010	0: 802147010~1: Albumin / globulin (EP) - blood
802007010	0: 802007010~1: alpha1-globulin % (EP) - blood
802015010	0: 802015010~1: beta-globulin % (EP) - blood
802042010	0: 802042010~1: gamma-Globulin (ELCP)-BL %
882595010	0: 882595010~1: Cryoglobulin
802006010	0: 802006010~1: Albumin (ELCP)-BL %
805410010	0: 805410010~1: IgG
802009010	0: 802009010~1: alpha2-globulin % (EP) - blood
805412010	0: 805412010~1: IgA
802041010	0: 802041010~1: gamma-globulin (EP)-Blood
886038010	0: 886038010~1: ANA (Antinuclear Ab)-BL
886160010	0: 886160010~1: Complement C3-BL
806008010	0: 806008010~1: Anti-dsDNA Ab-BL
802005010	0: 802005010~1: Albumin (EP) -Blood
805853010	0: 805853010~1: Complement C4-BL
802014010	0: 802014010~1: beta Globulin (ELCP)-BL
802010010	0: 802010010~1: alpha2-Globulin (ELCP)-BL
802008010	0: 802008010~1: alpha1-Globulin (ELCP)-BL
886147810	0: 886147810~1: Anti-Cardiolipin Ab-BL
MTCH	0: MTCH~1: ANTI-MITOCHONDRIA
MUSC	0: MUSC~1: ANTI-SMOOTH MUSCLE
805118010	0: 805118010~1: Burr-cells
885303010	0: 885303010~1: Protein C, activity
885306010	0: 885306010~1: Protein S Ag, free
806324010	0: 806324010~1: RVVT (sensitive to LAC)
885525010	0: 885525010~1: antiXa (LMWH)
805645010	0: 805645010~1: Jak2 V617F mutation - blood
884153970	0: 884153970~1: PSA free/total ratio-BL
882232010	0: 882232010~1: BETA2 Microglobulin-BL
884153010	0: 884153010~1: PSA, Total-BL
805011010	0: 805011010~1: MID%
882150040	0: 882150040~1: Amylase-UR
808291550	0: 808291550~1: paraffin block
808006800	0: 808006800~1: Hemotoxylin and Eosin histochemistr
888305000	0: 888305000~1: Surgical pathology, gross and microscopic examination
WBCM	0: WBCM~1: LABFLEGS
807699010	0: 807699010~1: סקר
807615010	0: 807615010~1: RH
807610010	0: 807610010~1: ABO
802211010	0: 802211010~1: Non HDL cholesterol - blood
885384010	0: 885384010~1: Fibrinogen
883874010	0: 883874010~1: Myoglobin-BL
805323010	0: 805323010~1: ERYTHROCYTE SEDIMENTATION RATE
805014010	0: 805014010~1: PCT
805980010	0: 805980010~1: Immature Granulocytes %
1002000	0: 1002000~1: REMARKS
805979010	0: 805979010~1: Immature Granulocytes - abs
805013010	0: 805013010~1: PDW
1002006	0: 1002006~1: Dif REMARKS
MID	0: MID~1: MID
NEAB	0: NEAB~1: Neutrophils (absolute)
FING	0: FING~1: לקיחת דם מאצבע
806331010	0: 806331010~1: D-Dimer (FEU)
805135010	0: 805135010~1: Poikilocytosis
805985010	0: 805985010~1: Bands (manual) - abs
805994010	0: 805994010~1: Plasma cells (manual) -  abs
1002008	0: 1002008~1: CBC REMARKS
805133010	0: 805133010~1: Plasma cells (manual) %
805989010	0: 805989010~1: Basophils[unsupported character] (manual) - abs
805986010	0: 805986010~1: Lymphocytes (manual)  - abs
805992010	0: 805992010~1: Myelocytes (manual) - abs
805988010	0: 805988010~1: Eosinophils (manual) - abs
1002007	0: 1002007~1: Man Dif REMARKS
805987010	0: 805987010~1: Monocytes (manual) - abs
805115010	0: 805115010~1: Anisocytosis
804997010	0: 804997010~1: Atypical Lymphocytes (manual) - abs
805021970	0: 805021970~1: Neutrophils (manual) #
884443010	0: 884443010~1: TSH-Thyroid stimulating horm
884439010	0: 884439010~1: FT4 (thyroxine), free
805699010	0: 805699010~1: NRBC %
805701010	0: 805701010~1: NRBC - abs
803176010	0: 803176010~1: B-Type Natriuretic Peptide (BNP)-BL
885007810	0: 885007810~1: Unidentified cells (manual) %
805092010	0: 805092010~1: Platelets screening
808817630	0: 808817630~1: Sputum
1001214	0: 1001214~1: Cyt PAP
808500630	0: 808500630~1: Wash
1001210	0: 1001210~1: Brushing
805897010	0: 805897010~1: Unidentified cells (manual) - abs
802194140	0: 802194140~1: Glucose (glucometer) - whole blood
805673010	0: 805673010~1: PT control
806470810	0: 806470810~1: PT mix 1:1 with normal plasma
808380800	0: 808380800~1: EGFR (Epidermal Growth Factor Receptor) mutation
882247210	0: 882247210~1: Bilirubin, total-Body Fluids
CELU	0: CELU~1: CELLS IN URINE
VR_CON-M	0: VR_CON-M~1: R.CONORI IGM
VR_CORM	0: VR_CORM~1: ANTI-HBC IGM
VR_Q-M	0: VR_Q-M~1: Q FEVER II IGM
VR_HAVM	0: VR_HAVM~1: ANTI-HAV IGM
VR_Q	0: VR_Q~1: Q FEVER
VR_CON-G	0: VR_CON-G~1: R.CONORI IGG
VR_Q-G	0: VR_Q-G~1: Q FEVER II IGG
882145040	0: 882145040~1: Amphetamines/Metamphetamine-urine
883925040	0: 883925040~1: Opiates - urine
882520040	0: 882520040~1: Cocaine-urine
800180040	0: 800180040~1: Cannabinoid - urine
884481010	0: 884481010~1: T3 (triiodothyronin), free
882607010	0: 882607010~1: Vitamin B12
886803010	0: 886803010~1: Hepatitis C Ab - blood
887340010	0: 887340010~1: HBsAg (Hepatitis B surface Ag) - blood
880164010	0: 880164010~1: Valproic Acid - serum
FNA	0: FNA~1: FNA
806013010	0: 806013010~1: Endomysial IgA - blood
806045010	0: 806045010~1: Transglutaminase, anti tissue, ATTG, IgA Ab - blood
1001308	0: 1001308~1: Glucose-BL (POC)
1001310	0: 1001310~1: Potassium-BL (POC)
1001303	0: 1001303~1: PO2 (POC)
