code	desc
11	0: 11~1: חום PO
6	0: 6~1: סיסטולי
7	0: 7~1: דיאסטולי
17	0: 17~1: סטורציה אוויר חדר
2	0: 2~1: דופק
73	0: 73~1: יציאות מס'
14	0: 14~1: עקומת סוכר
36	0: 36~1: אמדן כאב VAS
32	0: 32~1: משקל
55	0: 55~1: יציאות
9	0: 9~1: כמות שתן
53	0: 53~1: אמדן כאב VAS במנוחה
54	0: 54~1: אמדן כאב בתנועה VAS
107	0: 107~1: סיקור CRE
4	0: 4~1: מס נשימות
16	0: 16~1: סטורציה עם חמצן 
105	0: 105~1: מצב הכרה
8	0: 8~1: CVP
122	0: 122~1: BMI
33	0: 33~1: גובה
10	0: 10~1: חום PR
61	0: 61~1: סיסטולי בעמידה
62	0: 62~1: דיאסטולי בעמידה
60	0: 60~1: דיאסטולי בישיבה 
93	0: 93~1: דופק בשכיבה
86	0: 86~1: דיאסטולי בשכיבה
84	0: 84~1: סיסטולי בשכיבה
92	0: 92~1: דופק בעמידה
59	0: 59~1: סיסטולי בישיבה
94	0: 94~1: דופק ישיבה
329	0: 329~1: BMI שנה
18	0: 18~1: אמדן כאב FLACC
282	0: 282~1: BMI אישפוז
700	0: 700~1: בטן
137	0: 137~1: יציאות סוג
927	None
840	0: 840~1: תדירות הכאב
839	0: 839~1: אופי הכאב
838	0: 838~1: מיקום הכאב 
841	0: 841~1: ג.מקלים לכאב
435	"0: 435~1: מאזן נוזלים סה""כ 4"
225	0: 225~1: נוזלים IV
129	0: 129~1: MAP
88	0: 88~1: CPOT
12	0: 12~1: חום PA
79	0: 79~1: PV-מחיקה
77	0: 77~1: PV-פתיחה
81	0: 81~1: חלבון בשתן
78	0: 78~1: PV-גובה חלק מתקדם
257	0: 257~1: דימום וגינלי
259	0: 259~1: קטטר אפידורלי
104	0: 104~1: ניתן שתן
256	0: 256~1: רחם
267	0: 267~1: מתן מכווצים
260	0: 260~1: הרגשה כללית
82	0: 82~1: דם בשתן
118	0: 118~1: קטונים בשתן
109	0: 109~1: לויקוציטים בשתן
80	0: 80~1: סוכר בשתן
117	0: 117~1: ניטריט בשתן
836	0: 836~1: שמירת חום גוף
681	0: 681~1: מעוניינת בהנקה
719	0: 719~1: מגע עור לעור
735	0: 735~1: ילוד
834	0: 834~1: נשימת ילוד
835	0: 835~1: צבע ילוד
683	0: 683~1: הנקה בחדר לידה
842	0: 842~1: ג.מחמירים לכאב
100	0: 100~1: סטורציה למונשם
20	0: 20~1: ETCO2
893	None
87	0: 87~1: דיאסטולי עמידה 3 דקות
95	0: 95~1: דופק 3עמידה
85	0: 85~1: סיסטולי עמידה3דקות
325	0: 325~1: לחץ דם מחושב
326	0: 326~1: אמדן כאב מחושב
222	0: 222~1: סטורציה
230	0: 230~1: חום כללי
99	0: 99~1: סטורציה עם CPAP
48	0: 48~1: כח גס רגל ימין
49	0: 49~1: כח גס רגל שמאל
47	0: 47~1: כח גס יד שמאל
46	0: 46~1: כח גס יד ימין
473	0: 473~1: alderete הכרה
477	0: 477~1: alderete תנועת גפיים
478	"0: 478~1: alderete סה""כ"
475	0: 475~1: alderete רווי חמצן בדם עורקי
474	0: 474~1: alderete נתיב אויר
476	0: 476~1: alderete לחץ דם סיסטולי
205	0: 205~1: כלכלה נוזלית
233	0: 233~1: זונדה מנקזת-
234	0: 234~1: נוזלים P.Z
433	0: 433~1: שטיפת נקז 1
131	0: 131~1: הפרעות קצב ממקור עלייתי
130	0: 130~1: מקצב 
58	0: 58~1: לחץ ורידי
250	0: 250~1: לחץ עורקי 
45	0: 45~1: UF
253	0: 253~1: HDF-דיאליזה
348	0: 348~1: אומדן פצע ניתוח
75	0: 75~1: PH בשתן
226	0: 226~1: נוזלים P.O
261	0: 261~1: קוצב
931	None
930	None
850	0: 850~1: ניקוד אמדן כאב FLACC
855	"0: 855~1: CPOT סכ""ה"
847	0: 847~1: אמדן כאב FLACC בכי
848	0: 848~1: אמדן כאב FLACC הרגעה
846	0: 846~1: אמדן כאב FLACC פעילות
845	0: 845~1: אמדן כאב FLACC רגליים
844	0: 844~1: אמדן כאב FLACC פנים
133	0: 133~1: הפרעות הולכה
853	0: 853~1: CPOTמתח שרירים
852	0: 852~1: CPOTתנועות גוף 
851	0: 851~1: CPOT פנים
854	0: 854~1: CPOT מנשם
57	0: 57~1: משקל סיום
56	0: 56~1: משקל התחלתי
98	0: 98~1: שקיעת דם
172	0: 172~1: הפרש משקל
787	0: 787~1: RECERCULATION
887	None
898	None
888	None
892	None
891	None
902	None
901	None
900	None
899	None
97	0: 97~1: היקף מותניים
15	0: 15~1: סדירות הדופק
485	0: 485~1: RASS
273	0: 273~1: תנועת גפיים
837	0: 837~1: כמות נוזלים בכניסה
330	0: 330~1: מצב העור לאחר ניתוח
312	0: 312~1: מצב נשימה
268	0: 268~1: אמצעי מתן חמצן
313	0: 313~1: כמות חמצן
354	0: 354~1: אופי הנשימה
355	0: 355~1: קולות הנשימה
89	0: 89~1: ירידת מים
90	0: 90~1: ירידת מים צבע
244	0: 244~1: שלפוחית מי שפיר
629	0: 629~1: נקז 1
235	0: 235~1: הפרשה מנקז 1
237	0: 237~1: הפרשה מנקז 3
258	0: 258~1: אפיזוטומיה
480	0: 480~1: padss-ניידות
479	0: 479~1: padss-סימנים חיוניים
486	0: 486~1: padss-דימום
482	0: 482~1: padss-בחילות והקאות
481	0: 481~1: padss-כאב
91	0: 91~1: ICP
106	0: 106~1: חום משלפוחית השתן
423	0: 423~1: ביקור משפחה
294	0: 294~1: RT גפה תחתונה דופק
298	0: 298~1: RT גפה תחתונה צבע
302	0: 302~1: RT גפה תחתונה חום
306	0: 306~1: RT גפה תחתונה סטורציה
50	0: 50~1: גודל ותגובה אישון ימין
316	0: 316~1: ביצוע פקודות
320	0: 320~1: התמצאות במקום
315	0: 315~1: התמצאות בזמן 
51	0: 51~1: גודל ותגובה אישון שמאל
756	0: 756~1: BSA שטח גוף
126	0: 126~1: דיאסטולי יד שמאל
115	0: 115~1: BAI
128	0: 128~1: היקף אגן ירכיים
174	0: 174~1: גודל גרב
123	0: 123~1: סיסטולי יד ימין
124	0: 124~1: סיסטולי יד שמאל
125	0: 125~1: דיאסטולי יד ימין
429	0: 429~1: חולשה גפיים
788	0: 788~1: תגובה לגירוי כאב
524	0: 524~1:  זונדה כמות
309	0: 309~1: שתן- דרך מתן
437	0: 437~1: שתן ראשון לאחר פעולה
654	0: 654~1: תאור שטיפה
310	0: 310~1: שתן- שטיפות קטטר
350	0: 350~1: דימום מפצע ניתוח
349	0: 349~1: כיסוי פצע ניתוחי
218	0: 218~1: שינוי תנוחה
194	0: 194~1: הפרשת סקשן
281	0: 281~1: סקשן
335	0: 335~1: שינוי במצב העור
424	0: 424~1: שרוולי שוקיים
293	0: 293~1: LT גפה עליונה דופק
297	0: 297~1: LT גפה עליונה צבע
