read_codes	type	quantity	desc	freq_medical	freq_ahd
136..00	3	-9	Alcohol consumption                                         	47023	9321560.0
1362.12	3	-9	Drinks occasionally                                         	924	1634561.0
1362.11	2	1	Drinks rarely                                               	669	1336668.0
1362.00	2	1	Trivial drinker - <1u/day                                   	4985	1139574.0
1363.00	2	7	Light drinker - 1-2u/day                                    	2402	811403.0
38D4.00	6	-9	Alcohol use disorder identificatn test consumptn questionnre	32437	690662.0
136L.00	2	7	Alcohol intake within recommended sensible limits           	8481	602912.0
388u.00	6	-9	Fast alcohol screening test                                 	38106	562366.0
1367.00	1	-9	Stopped drinking alcohol                                    	3809	483342.0
6792.00	2	-9	Health ed. - alcohol                                        	80406	455336.0
1364.00	2	30	Moderate drinker - 3-6u/day                                 	2074	438490.0
1361.12	4	0	Non-drinker alcohol                                         	266	364578.0
1361.11	4	0	Non drinker alcohol                                         	675	305138.0
136M.00	5	0	Current non drinker                                         	1349	235267.0
136Z.00	2	-9	Alcohol consumption NOS                                     	2184	197611.0
136J.00	3	-9	Social drinker                                              	435	194911.0
38D3.00	6	-9	Alcohol use disorders identification test                   	7444	136065.0
136K.00	7	-9	Alcohol intake above recommended sensible limits            	4599	93104.0
8CAM.00	2	-9	Patient advised about alcohol                               	50654	87156.0
136V.00	3	-9	Alcohol units per week                                      	13	75066.0
136G.00	3	-9	Beer drinker                                                	352	70481.0
136I.00	3	-9	Drinks wine                                                 	134	65495.0
1365.00	2	56	Heavy drinker - 7-9u/day                                    	2281	64627.0
67H0.00	2	-9	Lifestyle advice regarding alcohol                          	52567	39731.0
1366.00	2	70	Very heavy drinker - >9u/day                                	781	37430.0
136N.00	2	7	Light drinker                                               	24	24124.0
136F.00	2	-9	Spirit drinker                                              	145	21504.0
136R.00	2	-9	Binge drinker                                               	2454	18218.0
E23..12	7	-9	Alcohol problem drinking                                    	99874	14844.0
136O.00	2	30	Moderate drinker                                            	37	14103.0
136H.00	2	-9	Drinks beer and spirits                                     	51	11741.0
136P.00	2	56	Heavy drinker                                               	4686	9869.0
136S.00	2	-9	Hazardous alcohol use                                       	5730	9586.0
136T.00	2	-9	Harmful alcohol use                                         	7356	8518.0
136X.00	2	-9	Alcohol units consumed on heaviest drinking day             	1148	8316.0
