Read0	Read1	Read3	Read4	Read code	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015	read_code	medical_freq	ahd_freq
O	O0	O0.	O0..	1O0..00	Cancer confirmed		Anc	na	na	tumor	anc	na	na	1O0..00	11367	21
M	M.	M..	M...	4M...00	Tumour staging		Anc	na	na	tumor	anc	na	na	4M...00	66	376
M	M0	M0.	M0..	4M0..00	Gleason grading of prostate cancer		Anc	Prostate	Prostate	tumor	anc	na	na	4M0..00	492	2080
M	M0	M00	M00.	4M00.00	Gleason prostate grade 2-4 (low)					tumor	anc	na	na	4M00.00	161	362
M	M0	M01	M01.	4M01.00	Gleason prostate grade 5-7 (medium)					tumor	anc	na	na	4M01.00	381	915
M	M0	M02	M02.	4M02.00	Gleason prostate grade 8-10 (high)					tumor	anc	na	na	4M02.00	131	314
M	M1	M1.	M1..	4M1..00	Dukes staging system		Anc	CRC	Colon	tumor	cancer	crc	rectum;colon	4M1..00	109	153
M	M1	M10	M10.	4M10.00	Dukes stage A					tumor	cancer	crc	rectum;colon	4M10.00	69	154
M	M1	M11	M11.	4M11.00	Dukes stage B					tumor	cancer	crc	rectum;colon	4M11.00	165	346
M	M1	M12	M12.	4M12.00	Dukes stage C1					tumor	cancer	crc	rectum;colon	4M12.00	92	220
M	M1	M13	M13.	4M13.00	Dukes stage C2					tumor	cancer	crc	rectum;colon	4M13.00	16	33
M	M2	M2.	M2..	4M2..00	Lymphoma staging system					tumor	anc	na	na	4M2..00	55	42
M	M2	M23	M23.	4M23.00	Lymphoma stage IV					tumor	anc	na	na	4M23.00	6	33
M	M4	M4.	M4..	4M4..00	FIGO staging of gynaecological malignancy					tumor	anc	na	na	4M4..00	27	99
M	M5	M5.	M5..	4M5..00	TNM tumour staging					tumor	anc	na	na	4M5..00	15	35
B	B3	B3p	B3p.	8B3p.00	Administration of cancer treatment		Anc	na	na	tumor	anc	na	na	8B3p.00	2206	
B	BA	BAD	BAD0	8BAD000	Cancer chemotherapy		Anc	na	na	tumor	anc	na	na	8BAD000	8029	
B	BA	BAV	BAV.	8BAV.00	Cancer care review		Anc	na	na	rev	anc	na	na	8BAV.00	547488	1
B	BC	BC6	BC6.	8BC6.00	Cancer treatment started		Anc	na	na	tumor	anc	na	na	8BC6.00	683	
h	h8	h81	h81.	9h81.00	Excepted from cancer quality indicators: Patient unsuitable		Anc	na	na	tumor	anc	na	na	9h81.00	3560	
h	h8	h82	h82.	9h82.00	Excepted from cancer quality indicators: Informed dissent		Anc	na	na	tumor	anc	na	na	9h82.00	992	
O	Ow	Ow1	Ow1.	9Ow1.00	Bowel cancer detected by national screening programme		Anc	CRC	Colon	tumor;crc	cancer	crc	colon	9Ow1.00	164	
.	..	...	....	B....00	Neoplasms		Cancer	na	na	medr_tumor;tumor;benign	morph	na	na	B....00	8947	33
.	..	...	....	B....11	Cancers		Cancer	na	na	medr_tumor;tumor	morph	na	na	B....11	14170	198
0	0	0..	0...	B0...00	"Malignant neoplasm of lip, oral cavity and pharynx"		Cancer	na	na	tumor	cancer	na	na	B0...00	727	12
0	0	0..	0...	B0...11	"Carcinoma of lip, oral cavity and pharynx"					tumor	cancer	na	na	B0...11	420	7
0	0	0	00..	B00..00	Malignant neoplasm of lip					tumor	cancer	na	na	B00..00	520	
0	0	0	00..	B00..11	Carcinoma of lip					tumor	cancer	na	na	B00..11	141	1
0	0	1	10	B001000	"Malignant neoplasm of lower lip, external"					tumor	cancer	na	na	B001000	26	
0	0	1	001z	B001z00	"Malignant neoplasm of lower lip, vermilion border NOS"					tumor	cancer	na	na	B001z00	5	
0	0	3	003z	B003z00	"Malignant neoplasm of lower lip, inner aspect NOS"					tumor	cancer	na	na	B003z00	7	
0	0	6	6	B006.00	Malignant neoplasm of overlapping lesion of lip					tumor	cancer	na	na	B006.00	37	1
0	0	7	7	B007.00	"Malignant neoplasm of lip, unspecified"					tumor	cancer	na	na	B007.00	17	
0	1	1	01..	B01..00	Malignant neoplasm of tongue					tumor	cancer	na	na	B01..00	2734	39
0	1	10	10	B010.00	Malignant neoplasm of base of tongue					tumor	cancer	na	na	B010.00	304	2
0	1	10	100	B010000	Malignant neoplasm of base of tongue dorsal surface					tumor	cancer	na	na	B010000	8	
0	1	11	11	B011.00	Malignant neoplasm of dorsal surface of tongue					tumor	cancer	na	na	B011.00	9	
0	1	13	13	B013.00	Malignant neoplasm of ventral surface of tongue					tumor	cancer	na	na	B013.00	18	
0	1	13	130	B013000	Malignant neoplasm of anterior 2/3 of tongue ventral surface					tumor	cancer	na	na	B013000	2	
0	1	16	16	B016.00	Malignant neoplasm of lingual tonsil					tumor	cancer	na	na	B016.00	91	1
0	1	17	17	B017.00	Malignant overlapping lesion of tongue					tumor	cancer	na	na	B017.00	21	
0	1	01y	01y.	B01y.00	Malignant neoplasm of other sites of tongue					tumor	cancer	na	na	B01y.00	7	
0	1	01z	01z.	B01z.00	Malignant neoplasm of tongue NOS					tumor	cancer	na	na	B01z.00	114	2
0	2	2	02..	B02..00	Malignant neoplasm of major salivary glands					tumor	cancer	na	na	B02..00	277	
0	2	20	20	B020.00	Malignant neoplasm of parotid gland					tumor	cancer	na	na	B020.00	777	12
0	2	21	21	B021.00	Malignant neoplasm of submandibular gland					tumor	cancer	na	na	B021.00	102	2
0	2	22	22	B022.00	Malignant neoplasm of sublingual gland					tumor	cancer	na	na	B022.00	11	
0	2	02z	02z.	B02z.00	Malignant neoplasm of major salivary gland NOS					tumor	cancer	na	na	B02z.00	10	1
0	3	3	03..	B03..00	Malignant neoplasm of gum					tumor	cancer	na	na	B03..00	186	1
0	3	31	31	B031.00	Malignant neoplasm of lower gum					tumor	cancer	na	na	B031.00	20	
0	4	4	04..	B04..00	Malignant neoplasm of floor of mouth					tumor	cancer	na	na	B04..00	521	9
0	4	40	40	B040.00	Malignant neoplasm of anterior portion of floor of mouth					tumor	cancer	na	na	B040.00	32	
0	4	41	41	B041.00	Malignant neoplasm of lateral portion of floor of mouth					tumor	cancer	na	na	B041.00	11	
0	4	42	42	B042.00	"Malignant neoplasm, overlapping lesion of floor of mouth"					tumor	cancer	na	na	B042.00	20	
0	4	04z	04z.	B04z.00	Malignant neoplasm of floor of mouth NOS					tumor	cancer	na	na	B04z.00	72	
0	5	5	05..	B05..00	Malignant neoplasm of other and unspecified parts of mouth					tumor	cancer	na	na	B05..00	524	2
0	5	50	50	B050.00	Malignant neoplasm of cheek mucosa					tumor	cancer	na	na	B050.00	108	2
0	5	50	50	B050.11	Malignant neoplasm of buccal mucosa					tumor	cancer	na	na	B050.11	69	2
0	5	51	51	B051.00	Malignant neoplasm of vestibule of mouth					tumor	cancer	na	na	B051.00	2	
0	5	51	511	B051100	Malignant neoplasm of lower buccal sulcus					tumor	cancer	na	na	B051100	7	
