Read code	# records	# patients	description	internal comment	status	type	organ
B7...00	-1	-1	 	 	ignore	na	na
B33..11	16234	10938	Basal cell carcinoma	medr_tumor;tumor	morph	na	na
B76..14	12411	9129	Mole of skin	medr_tumor;medr_benign	ignore	na	na
B74..00	5950	4369	Lipoma	medr_tumor;medr_benign	ignore	na	na
B46..00	5950	4663	Malignant neoplasm of prostate	medr_tumor;tumor	cancer	prostate	prostate
B34..00	5599	4591	Malignant neoplasm of female breast	medr_tumor;tumor	cancer	breast	breast
B76..15	2588	2231	Papilloma of skin	medr_tumor;medr_benign	ignore	na	na
B8...11	2291	1707	Bowen's disease	medr_tumor;tumor;medr_benign	cancer	na	na
BB2A.00	2011	1639	[M]Squamous cell carcinoma NOS	medr_tumor;tumor;medr_benign	morph	na	na
BBE0.12	1631	1490	[M]Naevus NOS	medr_tumor;tumor;medr_benign	ignore	na	na
B78..11	1490	1182	Fibroids	medr_tumor;medr_benign	ignore	na	na
B49..00	1450	1191	Malignant neoplasm of urinary bladder	tumor	cancer	bladder	bladder
B338.00	1411	1146	Squamous cell carcinoma of skin	tumor	cancer	na	na
B32..00	1301	1042	Malignant melanoma of skin	medr_tumor;tumor	cancer	na	na
BB5..11	1195	1035	[M]Adenocarcinomas	medr_tumor;tumor;medr_benign	morph	na	na
B76..00	1135	934	Benign neoplasm of skin	medr_tumor;medr_benign	ignore	na	na
B78..00	1118	941	Uterine leiomyoma - fibroids	medr_tumor;medr_benign	ignore	na	na
B76..13	1048	908	Dermatofibroma	medr_tumor;medr_benign	ignore	na	na
B34..11	1034	873	Ca female breast	medr_tumor;tumor	cancer	breast	breast
B7J0.00	1023	846	Haemangioma	medr_tumor;medr_benign	ignore	na	na
BBEJ.00	1013	946	[M]Intradermal naevus	medr_tumor;tumor;medr_benign	ignore	na	na
B141.00	991	812	Malignant neoplasm of rectum	tumor	cancer	crc	rectum
B77..11	916	805	Fibroadenoma of breast	medr_tumor;medr_benign	ignore	na	na
BBK0011	904	811	[M]Fibroid uterus	medr_tumor;tumor;medr_benign	ignore	na	na
1O0..00	871	800	Cancer confirmed	tumor	anc	na	na
B10..00	774	596	Malignant neoplasm of oesophagus	tumor;oeso	cancer	oeso	oeso
B76..11	734	666	Benign naevus of skin	medr_tumor;medr_benign	ignore	na	na
BB31.00	725	548	[M]Basal cell carcinoma NOS	tumor	morph	na	na
B713.11	718	635	Colon polyp	medr_tumor;medr_benign	ignore	na	na
B17..00	705	559	Malignant neoplasm of pancreas	medr_tumor;tumor	cancer	pancreas	pancreas
B577.11	665	581	Liver metastases	medr_tumor;tumor	cancer	liver	meta
B641.00	635	449	Chronic lymphoid leukaemia	medr_tumor;tumor	cancer	blood	CLL
B627.00	620	485	Non - Hodgkin's lymphoma	medr_tumor;tumor	cancer	blood	NHL
B22..00	604	509	Malignant neoplasm of trachea, bronchus and lung	tumor;lung	cancer	lung	lung
B33..13	598	522	Rodent ulcer	medr_tumor;tumor	cancer	na	na
B76..16	545	469	Pigmented naevus	medr_tumor;medr_benign	ignore	na	na
B934.00	539	380	Polycythaemia vera	tumor;benign	benign	na	na
BBe8.00	532	473	[M]Neuroma NOS	medr_tumor;tumor;medr_benign	ca_bg	na	na
BB5U300	522	493	[M]Tubulovillous adenoma	tumor	morph	na	na
B440.00	519	436	Malignant neoplasm of ovary	medr_tumor;tumor	cancer	ovary	ovary
BB03.00	519	471	[M]Neoplasm, metastatic	medr_tumor;tumor;medr_benign	morph	na	na
B630.00	504	353	Multiple myeloma	medr_tumor;tumor	cancer	blood	MM
B34z.00	501	468	Malignant neoplasm of female breast NOS	tumor	cancer	breast	breast
BB4..00	451	388	[M]Transitional cell papillomas and carcinomas	tumor	morph	na	na
BBg1.11	437	355	[M]Lymphoma NOS	medr_tumor;tumor;medr_benign	cancer	blood	NHL
8BAD000	430	301	Cancer chemotherapy	tumor	anc	na	na
