Read code	# records	# patients	description	internal comment 2015	status 2016	type 2016	organ 2016
1O0..00	871	800	Cancer confirmed	tumor	anc	na	na
4M...00	5	5	Tumour staging	tumor	anc	na	na
4M0..00	53	52	Gleason grading of prostate cancer	tumor	cancer	prostate	prostate
4M00.00	13	13	Gleason prostate grade 2-4 (low)	tumor	benign	prostate	prostate
4M1..00	10	9	Dukes staging system	tumor	cancer	crc	rectum;colon
8B3p.00	99	27	Administration of cancer treatment	tumor	anc	na	na
8BAD000	430	301	Cancer chemotherapy	tumor	anc	na	na
8BAV.00	0	0	Cancer care review	rev	anc	na	na
8BC6.00	19	18	Cancer treatment started	tumor	anc	na	na
9h81.00	154	143	Excepted from cancer quality indicators: Patient unsuitable	tumor	anc	na	na
9h82.00	72	68	Excepted from cancer quality indicators: Informed dissent	tumor	anc	na	na
9Ow1.00	0	0	Bowel cancer detected by national screening programme	tumor;crc	cancer	crc	colon
B....00	186	174	Neoplasms	medr_tumor;tumor;benign	cancer	na	na
B....11	154	146	Cancers	medr_tumor;tumor	cancer	na	na
B0...00	38	36	Malignant neoplasm of lip, oral cavity and pharynx	tumor	cancer	oral	na
B1...00	208	194	Malignant neoplasm of digestive organs and peritoneum	tumor	cancer	digestive organs and peritoneum	na
B1...11	21	20	Carcinoma of digestive organs and peritoneum	tumor	cancer	digestive organs and peritoneum	na
B10..00	774	596	Malignant neoplasm of oesophagus	tumor;oeso	cancer	oeso	oeso
B101.00	4	4	Malignant neoplasm of thoracic oesophagus	tumor;oeso	cancer	?	?
B102.00	2	2	Malignant neoplasm of abdominal oesophagus	tumor;stom	cancer	?	?
B11..00	0	0	Malignant neoplasm of stomach	tumor;stom	cancer	stom	stom
B11..11	0	0	Gastric neoplasm	tumor;stom;benign	benign	stom	stom
B118.00	3	3	Siewert type II adenocarcinoma	tumor;oeso	cancer	?	?
B119.00	6	5	Siewert type III adenocarcinoma	tumor;stom	cancer	?	?
B12..00	6	6	Malignant neoplasm of small intestine and duodenum	tumor	cancer	small intestine	small intestine
B13..00	0	0	Malignant neoplasm of colon	tumor;crc	cancer	crc	colon
B14..00	51	45	Malignant neoplasm of rectum, rectosigmoid junction and anus	tumor	cancer	crc	rectum;colon
B141.00	991	812	Malignant neoplasm of rectum	tumor	cancer	crc	rectum
B142.00	44	37	Malignant neoplasm of anal canal	tumor	cancer	na	na
B142.11	47	43	Anal carcinoma	tumor	cancer	na	na
B143.00	21	20	Malignant neoplasm of anus unspecified	tumor	cancer	na	na
B14y.00	4	4	Malig neop other site rectum, rectosigmoid junction and anus	tumor	cancer	crc	rectum
B14z.00	1	1	Malignant neoplasm rectum,rectosigmoid junction and anus NOS	tumor	cancer	crc	rectum
B15..00	20	18	Malignant neoplasm of liver and intrahepatic bile ducts	tumor;liver	cancer	liver	liver
B153.00	62	57	Secondary malignant neoplasm of liver	tumor;liver	Metastases to	Digestive System	liver
B16..00	11	9	Malignant neoplasm gallbladder and extrahepatic bile ducts	tumor	cancer	gallbladder	na
B161100	3	3	Malignant neoplasm of hepatic duct	tumor;liver	cancer	liver	liver
B162.00	25	24	Malignant neoplasm of ampulla of Vater	tumor	cancer	pancreas	pancreas
B17..00	705	559	Malignant neoplasm of pancreas	medr_tumor;tumor	cancer	pancreas	pancreas
B18..00	9	9	Malignant neoplasm of retroperitoneum and peritoneum	tumor	cancer	peritoneum	na
B18y000	1	1	Malignant neoplasm of mesocolon	tumor;crc	cancer	crc	colon
B1z..00	2	2	Malig neop oth/ill-defined sites digestive tract/peritoneum	tumor	cancer	na	na
B1z0.11	0	0	Cancer of bowel	tumor;crc	cancer	crc	colon
B2...00	68	63	Malig neop of respiratory tract and intrathoracic organs	tumor	cancer	respiratory tract and intrathoracic organs	respiratory
B22..00	604	509	Malignant neoplasm of trachea, bronchus and lung	tumor;lung	cancer	lung	lung
