Read0	Read1	Read3	Read4	Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015
O	O0	O0.	O0..	1O0..00	871	800	Cancer confirmed		Anc	na	na	tumor	anc	na	na
M	M.	M..	M...	4M...00	5	5	Tumour staging		Anc	na	na	tumor	anc	na	na
M	M0	M0.	M0..	4M0..00	53	52	Gleason grading of prostate cancer		Anc	Prostate	Prostate	tumor	anc	na	na
M	M0	M00	M00.	4M00.00	13	13	Gleason prostate grade 2-4 (low)					tumor	anc	na	na
M	M0	M01	M01.	4M01.00	36	36	Gleason prostate grade 5-7 (medium)					tumor	anc	na	na
M	M0	M02	M02.	4M02.00	9	9	Gleason prostate grade 8-10 (high)					tumor	anc	na	na
M	M1	M1.	M1..	4M1..00	10	9	Dukes staging system		Anc	CRC	Colon	tumor	cancer	crc	rectum;colon
M	M1	M10	M10.	4M10.00	7	7	Dukes stage A					tumor	cancer	crc	rectum;colon
M	M1	M11	M11.	4M11.00	8	8	Dukes stage B					tumor	cancer	crc	rectum;colon
M	M1	M12	M12.	4M12.00	10	10	Dukes stage C1					tumor	cancer	crc	rectum;colon
M	M1	M13	M13.	4M13.00	2	2	Dukes stage C2					tumor	cancer	crc	rectum;colon
M	M2	M2.	M2..	4M2..00	1	1	Lymphoma staging system					tumor	anc	na	na
M	M2	M23	M23.	4M23.00	1	1	Lymphoma stage IV					tumor	anc	na	na
M	M4	M4.	M4..	4M4..00	2	2	FIGO staging of gynaecological malignancy					tumor	anc	na	na
M	M5	M5.	M5..	4M5..00	1	1	TNM tumour staging					tumor	anc	na	na
B	B3	B3p	B3p.	8B3p.00	99	27	Administration of cancer treatment		Anc	na	na	tumor	anc	na	na
B	BA	BAD	BAD0	8BAD000	430	301	Cancer chemotherapy		Anc	na	na	tumor	anc	na	na
B	BA	BAV	BAV.	8BAV.00	0	0	Cancer care review		Anc	na	na	rev	anc	na	na
B	BC	BC6	BC6.	8BC6.00	19	18	Cancer treatment started		Anc	na	na	tumor	anc	na	na
h	h8	h81	h81.	9h81.00	154	143	Excepted from cancer quality indicators: Patient unsuitable		Anc	na	na	tumor	anc	na	na
