Common name	syn_list
LEPIRUDIN	['HIRUDIN VARIANT-1', 'LEPIRUDIN RECOMBINANT']
CETUXIMAB	['CETUXIMAB', 'CÉTUXIMAB', 'CETUXIMABUM', 'IMMUNOGLOBULIN G 1 (HUMAN-MOUSE MONOCLONAL C 225 GAMMA 1 - CHAIN ANTI-HUMAN EPIDERMAL GROWT FACTOR RECEPTOR), DISULFIDE WIT HUMAN-MOUSE MONOCLONAL C 225 KAPPA - CHAIN, DIMER']
DORNASE ALFA	['DEOXYRIBONUCLEASE (HUMAN CLONE 18-1 PROTEIN MOIETY)', 'DORNASA ALFA', 'DORNASE ALFA, RECOMBINANT', 'DORNASE ALPHA', 'RECOMBINANT DEOXYRIBONUCLEASE (DNASE)']
DENILEUKIN DIFTITOX	['DENILEUKIN', 'INTERLEUKIN-2/DIPTHERIA TOXIN FUSION PROTEIN']
ETANERCEPT	['ETANERCEPT', 'ETANERCEPT-SZZS', 'ETANERCEPT-YKRO', 'RECOMBINANT HUMAN TNF', 'RHU TNFR:FC', 'RHU-TNFR:FC', 'TNFR-IMMUNOADHESIN']
BIVALIRUDIN	['BIVALIRUDIN', 'BIVALIRUDINA', 'BIVALIRUDINUM']
LEUPROLIDE	['LEUPRORELIN', 'LEUPRORELINA', 'LEUPRORELINE', 'LEUPRORELINUM']
PEGINTERFERON ALFA-2A	['PEG-IFN ALFA-2A', 'PEG-INTERFERON ALFA-2A', 'PEGINTERFERON ALFA-2A', 'PEGYLATED INTERFEAON ALFA-2A', 'PEGYLATED INTERFERON ALFA-2A', 'PEGYLATED INTERFERON ALPHA-2A', 'PEGYLATED-INTERFERON ALFA 2A']
ALTEPLASE	['ALTEPLASA', 'ALTEPLASE (GENETICAL RECOMBINATION)', 'ALTEPLASE, RECOMBINANT', 'ALTEPLASE,RECOMBINANT', 'PLASMINOGEN ACTIVATOR (HUMAN TISSUE-TYPE PROTEIN MOIETY)', 'RT-PA', 'T-PA', 'T-PLASMINOGEN ACTIVATOR', 'TISSUE PLASMINOGEN ACTIVATOR', 'TISSUE PLASMINOGEN ACTIVATOR ALTEPLASE', 'TISSUE PLASMINOGEN ACTIVATOR, RECOMBINANT', 'TPA']
INTERFERON ALFA-N1	['INTERFERON ALPHA-N1 (INS)']
DARBEPOETIN ALFA	['DARBEPOETIN', 'DARBEPOETIN ALFA,RECOMBINANT', 'DARBEPOETINA ALFA']
UROKINASE	['KINASE (ENZYME-ACTIVATING), URO-UROKINASE', 'TCUK', 'TISSUE CULTURE UROKINASE', 'TWO-CHAIN UROKINASE', 'UROCHINASI', 'UROKINASE', 'UROKINASUM', 'UROQUINASA']
GOSERELIN	['GOSERELIN', 'GOSERELINA']
RETEPLASE	['HUMAN T-PA (RESIDUES 1-3 AND 176-527)', 'RETEPLASA', 'RETEPLASE, RECOMBINANT', 'RETEPLASE,RECOMBINANT']
ERYTHROPOIETIN	['E.P.O.', 'EPOETIN ALFA', 'EPOETIN ALFA RDNA', 'EPOETIN ALFA-EPBX', 'EPOETIN ALFA, RECOMBINANT', 'EPOETIN BETA', 'EPOETIN BETA RDNA', 'EPOETIN EPSILON', 'EPOETIN GAMMA', 'EPOETIN GAMMA RDNA', 'EPOETIN KAPPA', 'EPOETIN OMEGA', 'EPOETIN THETA', 'EPOETIN ZETA', 'EPOETINA ALFA', 'EPOETINA BETA', 'EPOETINA DSETA', 'EPOETINA ZETA', 'EPOÉTINE ZÊTA', 'EPOETINUM ZETA', 'ERYTHROPOIESIS STIMULATING FACTOR', 'ERYTHROPOIETIN (HUMAN, RECOMBINANT)', 'ERYTHROPOIETIN (RECOMBINANT HUMAN)', 'ESF', 'SH-POLYPEPTIDE-72']
SALMON CALCITONIN	['CALCITONIN (SALMON SYNTHETIC)', 'CALCITONIN SALMON', 'CALCITONIN SALMON RECOMBINANT', 'CALCITONIN-SALMON', 'CALCITONIN, SALMON', 'CALCITONINA SALMÓN SINTÉTICA', 'RECOMBINANT SALMON CALCITONIN', 'SALMON CALCITONIN']
PEGFILGRASTIM	['GRANULOCYTE COLONY-STIMULATING FACTOR PEGFILGRASTIM', 'PEG-FILGRASTIM', 'PEGFILGRASTIM-CBQV', 'PEGFILGRASTIM-JMDB']
SARGRAMOSTIM	['RECOMBINANT HUMAN GRANULOCYTE-MACROPHAGE COLONY STIMULATING FACTOR', 'RGM-CSF', 'RHU GM-CSF', 'SARGRAMOSTIM']
ASPARAGINASE ESCHERICHIA COLI	['ASPARAGINASE', 'ASPARAGINASE (E. COLI)', 'COLASPASE', 'ESCHERICHIA COLI L-ASPARAGINASE', 'L-ASPARAGINASE', 'L-ASPARAGINE AMIDOHYDROLASE']
THYROTROPIN ALFA	['RECOMBINANT HUMAN THYROID STIMULATING HORMONE', 'RECOMBINANT THYROTROPIN ALFA', 'RHTSH', 'RTSH', 'THYROTROPIN ALPHA']
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	['ANTIHEMOPHILIC FACTOR (RECOMBINANT)', 'ANTIHEMOPHILIC FACTOR RECOMBINANT', 'ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT', 'ANTIHEMOPHILIC FACTOR, RECOMBINANT', 'FACTOR VIII (RDNA)', 'FACTOR VIII (RECOMBINANT)', 'FACTOR VIII RECOMBIN', 'FACTOR VIII, RECOMBINANT', 'HUMAN FACTOR VIII (RECOMBINANT)', 'HUMAN FACTOR VIII RECOMBINANT', 'OCTOCOG ALFA', 'RAHF', 'RECOMBINANT ANTIHEMOPHILIC FACTOR VIII']
ANAKINRA	['ANAKINRA', 'IL-1RA', 'INTERLEUKIN-1 RECEPTOR ANTAGONIST ANAKINRA']
GRAMICIDIN D	['BACILLUS BREVIS GRAMICIDIN D', 'GRAMICIDIN', 'GRAMICIDIN A', 'GRAMICIDIN B', 'GRAMICIDIN C', 'GRAMICIDINA', 'GRAMICIDINE']
IMMUNE GLOBULIN HUMAN	['HUMAN IGG', 'HUMAN IMMUNOGLOBULIN G', 'HUMAN NORMAL IMMUNOGLOBULIN', 'IMMUNE GLOBULIN (HUMAN)', 'IMMUNE GLOBULIN INTRAVENOUS', 'IMMUNE GLOBULIN SUBCUTANEOUS', 'IMMUNOGLOBULIN G (HUMAN)', 'IMMUNOGLOBULIN G, HUMAN', 'INTRAVENOUS IMMUNOGLOBULIN', 'IVIG']
ANISTREPLASE	['ANISOYLATED PLASMINOGEN STREPTOKINASE ACTIVATOR COMPLEX', 'APSAC']
INSULIN HUMAN	['HIGH MOLECULAR WEIGHT INSULIN HUMAN', 'HUMAN INSULIN', 'HUMAN INSULIN (RDNA)', 'INSULIN (HUMAN)', 'INSULIN HUMAN [RDNA ORIGIN]', 'INSULIN HUMAN REGULAR', 'INSULIN HUMAN REGULAR (RDNA)', 'INSULIN HUMAN, RDNA ORIGIN', 'INSULIN RECOMBINANT HUMAN', 'INSULIN RECOMBINANT PURIFIED HUMAN', 'INSULIN REGULAR', 'INSULIN, HUMAN', 'INSULINA REGULAR', 'REGULAR INSULIN, HUMAN']
TENECTEPLASE	['TENECTEPLASA', 'TNK-TPA']
MENOTROPINS	['HUMAN MENOPAUSAL GONADOTROPHIN', 'MENOTROPHIN', 'MENOTROPIN', 'MENOTROPINA', 'MENOTROPINS (FSH;LH)']
