match_type	ndc	count	score	code	words
NDC2ATC4+Score	10702:189	1355279	10.4	ATC_N02B_E01	['PARACETAMOL']
NDC2ATC4+Score	10702:189	1355279	10.4	ATC_R05D_A03	['HYDROCODONE']
NDC2ATC4+Score	10702:18	1203135	10.4	ATC_N02A_A05	['OXYCODONE']
NDC2ATC4+Score	17478:30	1175127	9.9	ATC_N01A_H01	['FENTANYL']
NDC2ATC4+Score	17478:30	1175127	9.9	ATC_N01A_H51	['FENTANYL']
NDC2ATC4+Score	17478:30	1175127	9.9	ATC_N02A_B03	['FENTANYL']
NDC2ATC4+Score	264:7750	1062277	9.875	ATC_A12A_A05	['CALCIUM', 'LACTATE']
NDC2ATC4+Score	264:7750	1062277	9.642156862745098	ATC_A12B_A01	['CHLORIDE', 'POTASSIUM']
NDC2ATC4+Score	264:7750	1062277	9.642156862745098	ATC_A12B_A51	['CHLORIDE', 'POTASSIUM']
NDC2ATC4+Score	264:7750	1062277	9.595860566448803	ATC_A12C_A01	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	264:7750	1062277	9.595860566448803	ATC_B05C_B01	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	264:7750	1062277	9.916666666666668	ATC_B05X_A15	['LACTATE', 'POTASSIUM']
NDC2ATC4+Score	264:7750	1062277	9.600490196078432	ATC_G04B_A03	['CALCIUM', 'CHLORIDE']
NDC2ATC4+Score	16729:297	950104	10.4	ATC_A04A_A01	['ONDANSETRON']
NDC2ATC4+Score	10702:185	848001	10.4	ATC_N02A_A05	['OXYCODONE']
NDC2ATC4+Score	10702:185	848001	10.4	ATC_N02B_E01	['PARACETAMOL']
NDC2ATC4+Score	17271:701	804450	9.627946127946128	ATC_A12C_A02	['SODIUM', 'SULFATE']
NDC2ATC4+Score	17271:701	804450	9.595860566448803	ATC_B05C_B01	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	17271:701	804450	9.702020202020202	ATC_B05X_A05	['MAGNESIUM', 'SULFATE']
ScoreOnly	63807:100	802751	2.5958605664488017	ATC_A12C_A01	['CHLORIDE', 'SODIUM']
ScoreOnly	63807:100	802751	2.5958605664488017	ATC_B05C_B01	['CHLORIDE', 'SODIUM']
ScoreOnly	63807:100	802751	2.5958605664488017	ATC_B05X_A03	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	17478:41	758188	9.733333333333334	ATC_A06A_H04	['NALOXONE']
NDC2ATC4+Score	17478:41	758188	9.733333333333334	ATC_V03A_B15	['NALOXONE']
ScoreOnly	179:1026	742557	3.4	ATC_N02B_E01	['PARACETAMOL']
ScoreOnly	179:1026	742557	3.4	ATC_R05D_A03	['HYDROCODONE']
NDC2ATC4+Score	10135:123	664741	10.4	ATC_N02B_E01	['PARACETAMOL']
ScoreOnly	35356:197	520990	3.4	ATC_A04A_A01	['ONDANSETRON']
NDC2ATC4+Score	10544:878	504309	10.4	ATC_A02B_C01	['OMEPRAZOLE']
NDC2ATC4+Score	63323:259	471229	9.595860566448803	ATC_A12C_A01	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	63323:259	471229	9.595860566448803	ATC_B05C_B01	['CHLORIDE', 'SODIUM']
NDC2ATC4+Score	63323:259	471229	9.595860566448803	ATC_B05X_A03	['CHLORIDE', 'SODIUM']
ScoreOnly	11917:182	453435	3.123214285714286	ATC_S01A_X10	['PROPIONATE']
NDC2ATC4+Score	49999:908	437806	10.4	ATC_R03A_C01	['SALBUTAMOL']
NDC2ATC4+Score	49999:908	437806	10.4	ATC_R03A_C02	['SALBUTAMOL']
NDC2ATC4+Score	49999:908	437806	10.4	ATC_R03C_C02	['SALBUTAMOL']
ScoreOnly	25021:655	432868	3.4	ATC_N05C_D08	['MIDAZOLAM']
ScoreOnly	10006:700	379268	4.1909090909090905	ATC_B03A_D03	['FERROUS', 'FOLIC', 'SULFATE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_C01B_B01	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_C05A_D01	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_D04A_B01	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_N01B_B02	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_N01B_B52	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_R02A_D02	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_S01H_A07	['LIDOCAINE']
ScoreOnly	54569:1415	367400	2.542857142857143	ATC_S02D_A01	['LIDOCAINE']
NDC2ATC4+Score	15749:825	365326	9.9	ATC_J01C_A04	['AMOXICILLIN']
NDC2ATC4+Score	13107:83	364085	10.4	ATC_N05B_A06	['LORAZEPAM']
NDC2ATC4+Score	13107:83	364085	10.4	ATC_N05B_A56	['LORAZEPAM']
NDC2ATC4+Score	33358:40	363797	9.9	ATC_J01F_A10	['AZITHROMYCIN']
NDC2ATC4+Score	33358:40	363797	9.9	ATC_S01A_A26	['AZITHROMYCIN']
NDC2ATC4+Score	10135:173	351775	9.566666666666666	ATC_A01A_D05	['ACETYLSALICYLIC']
NDC2ATC4+Score	10135:173	351775	9.566666666666666	ATC_B01A_C06	['ACETYLSALICYLIC']
NDC2ATC4+Score	10135:173	351775	9.566666666666666	ATC_N02B_A01	['ACETYLSALICYLIC']
NDC2ATC4+Score	10544:940	327371	10.4	ATC_J01E_A01	['TRIMETHOPRIM']
NDC2ATC4+Score	10544:940	327371	10.4	ATC_J01E_C01	['SULFAMETHOXAZOLE']
NDC2ATC4+Score	10544:940	327371	11.5	ATC_J01E_E01	['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']
ScoreOnly	54868:6	326691	2.9	ATC_A03B_A01	['ATROPINE']
ScoreOnly	54868:6	326691	2.9	ATC_S01F_A01	['ATROPINE']
NDC2ATC4+Score	10544:473	324229	9.9	ATC_A07E_A03	['PREDNISONE']
NDC2ATC4+Score	10544:473	324229	9.9	ATC_H02A_B07	['PREDNISONE']
NDC2ATC4+Score	13107:84	322456	10.4	ATC_N05B_A06	['LORAZEPAM']
NDC2ATC4+Score	13107:84	322456	10.4	ATC_N05B_A56	['LORAZEPAM']
ScoreOnly	10135:595	313463	3.4	ATC_M03B_X08	['CYCLOBENZAPRINE']
NDC2ATC4+Score	10544:57	295952	10.4	ATC_J01D_B01	['CEFALEXIN']
NDC2ATC4+Score	35356:836	281259	9.733333333333334	ATC_N02A_A01	['MORPHINE']
NDC2ATC4+Score	35356:836	281259	9.733333333333334	ATC_N02A_A51	['MORPHINE']
ScoreOnly	50428:1663	277686	3.4	ATC_A06A_B02	['BISACODYL']
ScoreOnly	50428:1663	277686	3.4	ATC_A06A_G02	['BISACODYL']
NDC2ATC4+Score	16714:684	273738	9.733333333333334	ATC_C10A_A01	['SIMVASTATIN']
NDC2ATC4+Score	16714:684	273738	9.733333333333334	ATC_C10A_A51	['SIMVASTATIN']
NDC2ATC4+Score	49999:711	271863	9.9	ATC_A06A_B06	['SENNA']
NDC2ATC4+Score	49999:711	271863	9.9	ATC_A06A_B56	['SENNA']
NDC2ATC4+Score	23155:600	267851	10.4	ATC_N05C_D08	['MIDAZOLAM']
ScoreOnly	10135:136	266208	3.537037037037037	ATC_A06A_A02	['DOCUSATE', 'SODIUM']
NDC2ATC4+Score	13668:330	264752	10.4	ATC_N06A_X05	['TRAZODONE']
NDC2ATC4+Score	603:1075	262498	10.4	ATC_R05C_A03	['GUAIFENESIN']
NDC2ATC4+Score	603:1075	262498	9.9	ATC_R05D_A04	['CODEINE']
NDC2ATC4+Score	10544:630	261779	10.4	ATC_A10B_A02	['METFORMIN']
NDC2ATC4+Score	35356:166	259609	10.4	ATC_R03A_C01	['SALBUTAMOL']
NDC2ATC4+Score	35356:166	259609	10.4	ATC_R03A_C02	['SALBUTAMOL']
NDC2ATC4+Score	35356:166	259609	10.4	ATC_R03C_C02	['SALBUTAMOL']
NDC2ATC4+Score	10544:486	259053	9.733333333333334	ATC_C10A_A01	['SIMVASTATIN']
NDC2ATC4+Score	10544:486	259053	9.733333333333334	ATC_C10A_A51	['SIMVASTATIN']
NDC2ATC4+Score	10544:129	244229	10.4	ATC_R05D_B01	['BENZONATATE']
NDC2ATC4+Score	10544:531	242743	10.4	ATC_N02A_X02	['TRAMADOL']
NDC2ATC4+Score	10544:531	242743	10.4	ATC_N02A_X52	['TRAMADOL']
ScoreOnly	44778:7006	240662	3.4	ATC_B01A_A03	['WARFARIN']
NDC2ATC4+Score	23155:135	240217	9.542857142857143	ATC_A01A_B13	['TETRACYCLINE']
NDC2ATC4+Score	23155:135	240217	10.4	ATC_J01A_A02	['DOXYCYCLINE']
NDC2ATC4+Score	23155:135	240217	10.4	ATC_J01A_A20	['TETRACYCLINES']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_C01E_B16	['IBUPROFEN']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_G02C_C01	['IBUPROFEN']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_M01A_E01	['IBUPROFEN']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_M01A_E51	['IBUPROFEN']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_M02A_A13	['IBUPROFEN']
NDC2ATC4+Score	10544:71	240129	9.566666666666666	ATC_R02A_X02	['IBUPROFEN']
NDC2ATC4+Score	10544:47	238433	9.9	ATC_C03A_A03	['HYDROCHLOROTHIAZIDE']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_C01E_B16	['IBUPROFEN']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_G02C_C01	['IBUPROFEN']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_M01A_E01	['IBUPROFEN']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_M01A_E51	['IBUPROFEN']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_M02A_A13	['IBUPROFEN']
NDC2ATC4+Score	10544:430	232343	9.566666666666666	ATC_R02A_X02	['IBUPROFEN']
NDC2ATC4+Score	10544:65	229224	10.4	ATC_N06A_B03	['FLUOXETINE']
NDC2ATC4+Score	904:5125	225852	10.4	ATC_R01B_A02	['PSEUDOEPHEDRINE']
NDC2ATC4+Score	904:5125	225852	10.4	ATC_R01B_A52	['PSEUDOEPHEDRINE']
ScoreOnly	58864:801	219438	2.6421568627450984	ATC_A12B_A01	['CHLORIDE', 'POTASSIUM']
ScoreOnly	58864:801	219438	2.6421568627450984	ATC_A12B_A51	['CHLORIDE', 'POTASSIUM']
ScoreOnly	58864:801	219438	2.6421568627450984	ATC_B05X_A01	['CHLORIDE', 'POTASSIUM']
ScoreOnly	54569:6390	212808	2.65	ATC_A07E_A07	['BECLOMETASONE']
ScoreOnly	54569:6390	212808	2.65	ATC_D07A_C15	['BECLOMETASONE']
ScoreOnly	54569:6390	212808	2.65	ATC_R01A_D01	['BECLOMETASONE']
ScoreOnly	54569:6390	212808	2.65	ATC_R03B_A01	['BECLOMETASONE']
NDC2ATC4+Score	10544:44	209207	9.733333333333334	ATC_G02C_C02	['NAPROXEN']
NDC2ATC4+Score	10544:44	209207	9.733333333333334	ATC_M01A_E02	['NAPROXEN']
NDC2ATC4+Score	10544:44	209207	9.733333333333334	ATC_M02A_A12	['NAPROXEN']
NDC2ATC4+Score	45802:730	208486	10.4	ATC_N02B_E01	['PARACETAMOL']
ScoreOnly	16729:197	207857	2.7333333333333334	ATC_C02E_A03	['LISINOPRIL']
ScoreOnly	16729:197	207857	2.7333333333333334	ATC_C02L_M03	['LISINOPRIL']
ScoreOnly	16729:197	207857	2.7333333333333334	ATC_C09A_A03	['LISINOPRIL']
ScoreOnly	16729:197	207857	2.7333333333333334	ATC_C09B_A03	['LISINOPRIL']
ScoreOnly	54569:5608	205647	2.9	ATC_D04A_A32	['DIPHENHYDRAMINE']
ScoreOnly	54569:5608	205647	2.9	ATC_R06A_A02	['DIPHENHYDRAMINE']
ScoreOnly	54569:5608	205647	2.9	ATC_R06A_A52	['DIPHENHYDRAMINE']
NDC2ATC4+Score	66689:56	201163	10.4	ATC_N02B_E01	['PARACETAMOL']
ScoreOnly	43353:716	200996	2.566666666666667	ATC_A01A_D05	['ACETYLSALICYLIC']
ScoreOnly	43353:716	200996	2.566666666666667	ATC_B01A_C06	['ACETYLSALICYLIC']
ScoreOnly	43353:716	200996	2.566666666666667	ATC_N02B_A01	['ACETYLSALICYLIC']
NDC2ATC4+Score	23155:240	199321	10.4	ATC_A03F_A01	['METOCLOPRAMIDE']
NDC2ATC4+Score	42543:1	194476	10.4	ATC_C07A_B02	['METOPROLOL']
NDC2ATC4+Score	42543:1	194476	10.4	ATC_C07A_B52	['METOPROLOL']
ScoreOnly	16729:196	194434	2.7333333333333334	ATC_C02E_A03	['LISINOPRIL']
ScoreOnly	16729:196	194434	2.7333333333333334	ATC_C02L_M03	['LISINOPRIL']
ScoreOnly	16729:196	194434	2.7333333333333334	ATC_C09A_A03	['LISINOPRIL']
ScoreOnly	16729:196	194434	2.7333333333333334	ATC_C09B_A03	['LISINOPRIL']
NDC2ATC4+Score	25021:608	193533	10.4	ATC_N01A_X10	['PROPOFOL']
NDC2ATC4+Score	10544:127	193335	10.4	ATC_C07A_B03	['ATENOLOL']
NDC2ATC4+Score	10544:127	193335	10.4	ATC_C07A_B11	['ATENOLOL']
NoMatch	4351:797	189612	-1.0	NONE_0	['ATENOLOL']
ScoreOnly	39822:5500	189592	2.7333333333333334	ATC_D04A_A10	['PROMETHAZINE']
ScoreOnly	39822:5500	189592	2.7333333333333334	ATC_R06A_D02	['PROMETHAZINE']
ScoreOnly	39822:5500	189592	2.7333333333333334	ATC_R06A_D52	['PROMETHAZINE']
ScoreOnly	10135:475	189345	2.65	ATC_J01M_A02	['CIPROFLOXACIN']
ScoreOnly	10135:475	189345	2.65	ATC_S01A_E03	['CIPROFLOXACIN']
ScoreOnly	10135:475	189345	2.65	ATC_S01A_X13	['CIPROFLOXACIN']
ScoreOnly	10135:475	189345	2.65	ATC_S02A_A15	['CIPROFLOXACIN']
ScoreOnly	10135:475	189345	2.65	ATC_S03A_A07	['CIPROFLOXACIN']
NDC2ATC4+Score	409:1283	186990	10.4	ATC_N02A_A03	['HYDROMORPHONE']
NDC2ATC4+Score	25021:701	186444	9.9	ATC_M01A_B15	['KETOROLAC']
NDC2ATC4+Score	25021:701	186444	9.9	ATC_S01B_C05	['KETOROLAC']
NDC2ATC4+Score	10544:167	182110	10.4	ATC_C07A_B03	['ATENOLOL']
NDC2ATC4+Score	10544:167	182110	10.4	ATC_C07A_B11	['ATENOLOL']
NDC2ATC4+Score	10135:645	178663	10.4	ATC_N03A_X12	['GABAPENTIN']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_C01B_B01	['LIDOCAINE']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_C05A_D01	['LIDOCAINE']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_D04A_B01	['LIDOCAINE']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_N01B_B02	['LIDOCAINE']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_N01B_B52	['LIDOCAINE']
NDC2ATC4+Score	55150:158	172285	9.542857142857143	ATC_R02A_D02	['LIDOCAINE']
