signal	source	code	description	type
GENDER	medial_flu_pat	GENDER	GENDER	string
BYEAR	medial_flu_pat	YR_OF_BIRTH	YR_OF_BIRTH	numeric
DEATH	medial_flu_pat	DCSD_DT_GEN	DCSD_DT_GEN	date
DEAD	medial_flu_pat	DCSD_FLG	DCSD_FLG	date
ETHNICITY	medial_flu_pat	ETHNCT	ETHNCT	string
RACE	medial_flu_pat	RACE	RACE	string
ZIP3	medial_flu_pat	ZIP_FIRST_THREE	ZIP_FIRST_THREE	string
OCCUPATION	medial_flu_pat	OCCUPATION	OCCUPATION	string
Albumin	kpnwlabs	18842116	Albumin	numeric
Albumin	kpnwlabs2	cs	Albumin	numeric
ALKP	kpnwlabs	18842494	Alk Phos	numeric
ALKP	kpnwlabs2	cw	Alkaline Phos	numeric
ALT	kpnwlabs	18840588	ALT	numeric
ALT	kpnwlabs2	cv	ALT (SGPT)	numeric
AST	kpnwlabs	18840946	AST	numeric
AST	kpnwlabs2	cu	AST (GOT)	numeric
B12	kpnwlabs	18842130	Vitamin B12	numeric
B12	kpnwlabs2	f1	B12	numeric
Bands#	kpnwlabs	18824417	Bands Abs Man	numeric
Bands#	kpnwlabs2	bd	# Band	numeric
Bands%	kpnwlabs	18824415	Band Man	numeric
Bands%	kpnwlabs2	b1	percent Bands	numeric
Basophils#	kpnwlabs	18824419	Baso Abs Auto	numeric
Basophils#	kpnwlabs2	ba	# Basophils	numeric
Basophils%	kpnwlabs	18824423	Basophil Auto	numeric
Basophils%	kpnwlabs2	b.	percent Basophils	numeric
Bilirubin	kpnwlabs	18842282	Bili Total	numeric
Bilirubin	kpnwlabs2	cn	Total Bilirubin	numeric
Bilirubin_Direct	kpnwlabs	18840938	Bili Direct	numeric
Bilirubin_Direct	kpnwlabs2	co	Direct Bili	numeric
Blood_Type	kpnwlabs	18876154	ABO Type	string
Blood_Type	kpnwlabs2	HD	ABO Type	string
BUN	kpnwlabs	18840364	BUN	numeric
BUN	kpnwlabs2	cj	BUN	numeric
Ca	kpnwlabs	18840316	Calcium	numeric
Ca	kpnwlabs2	ck	Calcium	numeric
Cholesterol	kpnwlabs	18824757	Chol	numeric
Cholesterol	kpnwlabs2	ee	Cholesterol	numeric
CK	kpnwlabs	18843216	Total CK	numeric
CK	kpnwlabs2	cE	CK,Cardiac	numeric
Cl	kpnwlabs	18824751	Chloride	numeric
Cl	kpnwlabs2	cc	Chloride	numeric
CO2	kpnwlabs	18824753	CO2	numeric
CO2	kpnwlabs2	cd	CO2	numeric
Creatinine	kpnwlabs	2700655	Creatinine	numeric
Creatinine	kpnwlabs2	ci	Creatinine Ser	numeric
CRP	kpnwlabs	18843142	CRP	numeric
Eosinophils#	kpnwlabs	18824429	Eos Abs Auto	numeric
Eosinophils#	kpnwlabs2	eo	# Eosinophils	numeric
Eosinophils%	kpnwlabs	18824433	Eos Auto	numeric
Eosinophils%	kpnwlabs2	e.	percent Eosinophils	numeric
Ferritin	kpnwlabs	18842014	Ferritin	numeric
Ferritin	kpnwlabs2	ej	Ferritin	numeric
FreeT4	kpnwlabs	18842976	T4 Free	numeric
Glucose	kpnwlabs	18846272	Glucose	numeric
Glucose	kpnwlabs2	ch	Glu, Nonfasting	numeric
Glucose	kpnwlabs2	cg	Glu, Fasting	numeric
HbA1C	kpnwlabs	18841130	Hgb A1c	numeric
HbA1C	kpnwlabs	22897436	HbA1c Screen	numeric
HbA1C	kpnwlabs	22897433	HbA1c Monitor	numeric
HbA1C	kpnwlabs2	ii	HbA1c	numeric
HDL	kpnwlabs	18824759	HDL	numeric
HDL	kpnwlabs2	gG	HDL Chol	numeric
Hematocrit	kpnwlabs	18824369	Hct	numeric
Hematocrit	kpnwlabs2	ht	Hematocrit	numeric
Hemoglobin	kpnwlabs	18824371	Hgb	numeric
Hemoglobin	kpnwlabs2	hb	Hemoglobin	numeric
HepatitisC	kpnwlabs2	ra	Hepatitis C Ab	string
HepatitisC	kpnwlabs	18840374	Hep C Ab	string
Immature_Granulocytes#	kpnwlabs	23080503	Imm Gran Abs Auto	numeric
Immature_Granulocytes%	kpnwlabs	23080506	Imm Gran Auto	numeric
INR	kpnwlabs	18840528	INR	numeric
INR	kpnwlabs2	Ac	INR	numeric
Iron_Fe	kpnwlabs	18842530	Iron	numeric
Iron_Fe	kpnwlabs2	ef	Iron	numeric
LDH	kpnwlabs	18840686	LDH	numeric
LDL	kpnwlabs	18824761	LDL Direct	numeric
LDL	kpnwlabs	18842634	LDL	numeric
LDL	kpnwlabs2	gH	LDL Chol	numeric
LDL	kpnwlabs2	If	Direct LDL Chol	numeric
Lipase	kpnwlabs	18846274	Lipase	numeric
Lipase	kpnwlabs2	lz	Serum Lipase	numeric
Lymphocytes#	kpnwlabs	18824441	Lymph Abs Auto	numeric
Lymphocytes#	kpnwlabs2	ly	# Lymphocytes	numeric
Lymphocytes%	kpnwlabs	18824443	Lymph Auto	numeric
Lymphocytes%	kpnwlabs2	l1	percent Lymphocytes	numeric
MCH	kpnwlabs	18824653	MCH	numeric
MCH	kpnwlabs2	mh	MCH	numeric
