PC	PN
CCT	CRYPTOCOCCAL TITER CSF
HGG	HEMOGLOBIN, BLOOD GAS
FIT	STOOL OCC BLOOD, IA
UIM	URINE IMMUNOFIXATION
#AM	## ACROMEGALY W/U
#AD	## ADDISON'S DISEASE W/U
#AR	## ADRENAL MASS W/U
#AN	## AMENORRHEA ALGORITHM
#AE	## ANEMIA W/U
#BD	## BLEEDING DISORDERS W/U
#CC	## CALCULUS, UR W/U
#CR	## CREATININE ALGORITHM
#FS	## CRONIC FATIGUE DIAG
#CS	## CUSHING'S SYNDROME W/U
#DU	## DUODENAL ULCER W/U
#ED	## ERECTILE DYSFUNC W/U
#GR	## GALACTORRHEA ALGORITHM
#GU	## GASTRIC ULCER W/U
#GE	## GASTROESOPHAGEAL W/U
#GT	## GOITER W/U
#GM	## GYNECOMASTIA W/U
#HR	## HIRSUTISM W/U
#HC	## HYPERCALCEMIA W/U
#HK	## HYPERKALEMIA W/U
#HP	## HYPERPROLACTINEMIA W/U
#HT	## HYPERTHYRODISM W/U
#OK	## HYPKALEMIA W/U
#HG	## HYPOGLYCEMIA W/U
#ON	## HYPONATREMIA ALGORITHM
#OT	## HYPOTHYROIDISM W/U
#ID	## IDC PANEL, NEW HIV
#LC	## LIPID SCREENING W/U
#MH	## MALIG HYPERTHERM W/U
#ND	## NONULCER DYSPEPSIA W/U
#NI	## NSAID ULCER W/U
#OP	## OSTEOPOROSIS W/U
#PP	## PORPHYRIA W/U
#TD	## THROMBOTIC W/U
#TN	## THYROID NODULE W/U
$CP	$$ CRYOPRECIPITATE
$PF	$$ PLASMA FROZEN
$PL	$$ PLATELETS
$RP	$$ RED CELLS PACKED
$RL	$$ RED CELLS, LEUKODPTD
$RW	$$ RED CELLS, WASHED
$RD	$$ RED CELLS,DEGLYCD
&AU	&& AUTOPSY
&FS	&& FROZEN SECTION, TISSUE
&GE	&& GROSS EXAM,SURG SPEC
&HP	&& HISTOPATHOLOGY
&KB	&& KIDNEY BIOPSY
&LN	&& LYMPH NODE BIOPSY
&MB	&& MUSCLE BIOPSY
&NB	&& NERVE BIOPSY
R11	11-DEOXYCORTISOL
ROH	17 HYDROXYPROGESTERONE
RBU	17 KETOGENIC STEROIDS
RKT	17 KETOSTEROIDS
R17	17-HYDROXYCORTICOSTEROIDS
R7P	17-HYDROXYPREGNENOLONE
P17	17KETO,24HR UR,PEDS
R5F	5 FLUOROCYTOSINE
R5H	5-HYDROXYINDOLACETIC ACID
A2C	A1C VALIDATION
DSO	ABBREV.DRUG SCREEN (OB)
DSA	ABBREVIATED DRUG SCREEN
ARH	ABO, RH
ABP	ABPA PANEL
ANC	ABSOLUTE NEUTROPHIL COUNT
ACE	ACETAMINOPHEN
RAC	ACETYLCHOLINE RECEPTOR AB
ACH	ACETYLCHOLINESTERASE AF
HP2	ACID FAST ID
HPL	ACID FAST IDENTIFICATION
AFM	ACID FAST SUSCEPTIBILITY
APH	ACID PHOSPHATASE (PRO)
APR	ACT.PROTEIN C RESIST.
ACT	ACTH
ACS	ACTH STIMULATION TEST
ACY	ACYLCARNITINE
XCP	ADD CRYOPRESERVATION
ADD	ADD ON LAB TEST
XTF	ADD THAW FROZEN CELLS
ADA	ADDITIONAL CELLS
ADC	ADDITIONAL CELLS
ADS	ADDITIONAL CELLS
AID	ADDITIONAL IDENTIFICATION
ADK	ADDITIONAL KARYOTYPE
ASU	ADDITIONAL SUSCEPTIBILITY
ATC	ADDITIONAL TISSUE CULT
ADM	ADENOSINE DEAMINASE PL FL
MID	AFB BIOCHEMICAL ID
AFB	AFB CULTURE
AFR	AFB CULTURE BILL PANEL
MAF	AFB MASTER
MAV	AFB MAV DNA PROBE
TBR	AFB REFERRED RESULT
AFS	AFB SMEAR ONLY
CAF	AFP TUMOR MARKER CSF
AFP	AFP, TUMOR MARKER
P14	AIR ANA SUBS
ALB	ALBUMIN
BAL	ALBUMIN, BODY FLUID
ALC	ALCOHOL
RAD	ALDOLASE
RAS	ALDOSTERONE, SERUM
RAU	ALDOSTERONE, URINE
EML	ALK FISH NSCLC(LUNG)
ALK	ALKALINE PHOSPHATASE
ALI	ALKALINE PHOSPHATASE ISOE
AL2	ALLERGEN FOOD PANEL
RAR	ALLERGENS RAST
RDZ	ALLOPURINAL
ALD	ALMOND IGE ALLERGEN
A1A	ALPHA 1 ANTITRYPSIN,QUANT
RSU	ALPHA SUB UNIT
RE2	ALPHA1-ANTITRYPSIN MA
ALT	ALT (SGPT)
AAT	ALT FROM AML
ALR	ALUMINUM
ANP	AMI/NORTRIP MASTER PANEL
AMK	AMIKACIN
AUQ	AMINO ACID QUANT-URINE
AAU	AMINO ACID SCREEN, URINE
APQ	AMINO ACID, PLASMA, QUANT
AMI	AMITRIPTYLINE/NORTRIP
RAM	AMITRIPTYLINE/REFERRED
AAM	AMMONIA ARTERIAL
AMM	AMMONIA VENOUS
RDU	AMNIOTIC FLUID BILI
AFC	AMNIOTIC FLUID CMPLT ANAL
REI	AMOXAPINE
IAM	AMPHETAMINE CONF URINE
AMO	AMPHETAMINE CONFIRM (OB)
