RC	RN
I4	Body Fl C4
es	PLT Estimate
d3	Uric Acid
bd	# Band
ba	# Basophils
eo	# Eosinophils
ly	# Lymphocytes
mt	# Meta
mx	# Mixed
mo	# Monocytes
nt	# Neutrophils
pm	# Promyelo
A0	# Sperm / 25HPF
B3	#Baso's
BJ	#Baso's
bl	#Blasts
my	#Myelo
BG	#Other Cells
iD	% Albumin
iS	% Albumin
iE	% Alpha 1
iT	% Alpha 1
iF	% Alpha 2
iU	% Alpha 2
B4	% BASOPHILS
b1	% Bands
bD	% Bands
b.	% Basophils
bA	% Basophils
iG	% Beta
iV	% Beta
b2	% Blasts
bL	% Blasts
BF	% Crenated RBC
uN	% EOS
BB	% Eosinophils
BO	% Eosinophils
e.	% Eosinophils
eO	% Eosinophils
hh	% Fetal RBC
Z7	% Free Testosterone
BE	% Fresh RBC's
iH	% Gamma
iW	% Gamma
BC	% Lg Mono Cells
BQ	% Lg Mono Cells
BA	% Lymphocytes
BN	% Lymphocytes
l1	% Lymphocytes
lY	% Lymphocytes
Hg	% M-protein
WB	% M-protein
mT	% Metamyelocyte
m2	% Metamyelos
m1	% Mixed
C4	% Mixed Cells
m.	% Monocytes
mO	% Monocytes
m3	% Myelocytes
mY	% Myelocytes
BM	% Neutrophils
Bz	% Neutrophils
n1	% Neutrophils
nT	% Neutrophils
uO	% Neuts
OB	% Parasitemia
p.	% Promyelocytes
pM	% Promyelocytes
rw	% RDW
r2	% Retic Manual
r3	% Retic auto
kv	% Sat/R
BK	%Basophils
BH	%Other Cells
BR	%Other Cells
iM	%Total Urine
fn	0.5 Hr Glucose
fo	1 Hr Glucose
fs	1 Hr Glucose
fI	1 Hr. Glucose
fJ	1.5 Hr Glucose
fp	1.5 Hr Glucose
2c	10 Min Post Ex:
t1	105 Min. GH Stim
Y4	11-Deoxycortisol
t2	120 Min.GH Glu Suppression
t3	135 Min. GH Stim
MJ	15 Min ACTH
MK	15 Min Cortisol
sS	15 Min. GH Stim
fF	15 min. Glucose
t4	150 Min. GH Stim
lD	17-Ketogenic Steroids
Xp	17-Ketosteroids
Z3	17-OH-Pregnenolone
YD	17-OH-Progesterone
UO	17-OHP Comments
Xo	17OH Corticosteroids Ur
As	1:1 Mix 0 Min.
Ak	1:1 Mix 0 min.
An	1:1 Mix 60 min.
Av	1:1 Mix, 60 Min.
fk	1:128
fh	1:16
fd	1:2
fi	1:32
fe	1:4
fj	1:64
fg	1:8
fD	2 Hr Glucose
fK	2 Hr Glucose
fq	2 Hr Glucose
ft	2 Hr Glucose
Ov	20% Bile
QT	25 Degree Growth
fu	3 Hr Glucose
fv	3 Hr Glucose
MH	30 Min ACTH
Eb	30 Min Cortisol
sT	30 min. GH Stim
fG	30 min. Glucose
QV	37 Degree Growth
fw	4 Hr Glucose
QS	42 Degree Growth
QW	45 Degree Growth
MI	45 Min ACTH
ML	45 Min Cortisol
Ml	45 Min Cortisol
sU	45 min. GH Stim
fH	45 min. Glucose
fx	5 Hr Glucose
2a	5 Min Post Ex:
QO	5% NaCl (AFB)
Xk	5'Nucleotidase
18	5-Flucytosine
Xm	5-HIAA Urine
fy	6 Hr Glucose
Pt	6.5% NaCl
MP	60 Min ACTH
Ec	60 Min Cortisol
sV	60 Min. GH Stim
su	75 Min. GH Stim
t0	90 Min. GH Stim
se	A-O Smear
gd	A1 Antitrypsin
3y	A1C Total Hgb
2i	A1C Validation
WC	A1C-2
Fh	ABO AND RH TYPING
HD	ABO Type
Fr	ACTH
0X	ADDBIO
0W	ADDDNA
ns	AER
GH	AF-AFP (ug/ml)
GJ	AF-AFP Comment
GI	AF-AFP MoM
sq	AFB Final Result
p7	AFB Sensitivities
sx	AFB Smear
QP	AFB Urease
ss	AFB............:
f3	AFP
IJ	AFP (ng/mL)
IK	AFP MoM
Ho	AFP MoM-AF
q8	AFP Tumor Marker CSF
Hn	AFP-Amniotic Fluid
ZU	AGBM Ab, EIA
QE	ALA
HM	ALT
cv	ALT (SGPT)
ms	ANA (SYNOVIAL FLUID)
jR	ANA Pattern
4R	ANA Titer:
MQ	APC Resistance Ratio
R3	API 20C
0A	APTT
Ad	APTT
Ud	APTT
k0	APTT Control
kZ	APTT Patient
1Q	ARC Ab Identification
kC	ASO Titer
cu	AST (GOT)
nu	AaDO2
ar	Absolute Retic
ax	Absolute Retic
HA	Accession Number (BB)
eF	Acet LD Date
eG	Acet LD Time
eH	Acet ND Date
eI	Acet ND Time
QU	Acetamide
eE	Acetaminophen
P5	Acetate
hE	Acetycholinesterase, Amn FLld
YH	Acetylcholine Recep Binding
=f	Acid Fast Stain
oT	Acid Hemolysis Test
lF	Acid P'tase, Prostatic
ek	Acid Phos
hP	Acute/Convalesence
Vk	Acylcarnitine
gB	Additional Notes:
