signal	unit	muliplier	addition	Round	rndf
ALT	U/L	1	0	1	
ALT	UNITS	1	0	1	
ALT	IU/L	1	0	1	
ALT	1	1	0	1	
ALT	u/l	1	0	1	
ALT	UNK	1	0	1	
ALT	unit/L	1	0	1	
ALT	NA	1	0	1	
ALT	units/L	1	0	1	
Glucose	mg/dL	1	0	1	
Glucose	MG/DL	1	0	1	
Glucose	1	1	0	1	
Glucose	UNK	1	0	1	
Glucose	mg/dl	1	0	1	
Glucose	0	1	0	1	
Glucose	NA	1	0	1	
Glucose	MEQ/L	1	0	1	
Glucose	ABN	1	0	1	
HbA1C	%	1	0	0.1	
HbA1C	% of total Hgb	1	0	0.1	
HbA1C	PERCENT	1	0	0.1	
HbA1C	% TOTAL HGB	1	0	0.1	
HbA1C	% OF TOTAL HGB	1	0	0.1	
HbA1C	%T.Hgb	1	0	0.1	
HbA1C	1	1	0	0.1	
HbA1C	UNK	1	0	0.1	
HbA1C	%HB	1	0	0.1	
HbA1C	NA	1	0	0.1	
Triglycerides	mg/dL	1	0	1	
Triglycerides	MG/DL	1	0	1	
Triglycerides	1	1	0	1	
Triglycerides	UNK	1	0	1	
Triglycerides	NA	1	0	1	
WBC	X10E3/UL	1	0	0.1	
WBC	Thous/mcL	1	0	0.1	
WBC	Thousand/uL	1	0	0.1	
WBC	THOUS/MCL	1	0	0.1	
WBC	x10(3)/uL	1	0	0.1	
WBC	K/MM3	1	0	0.1	
WBC	1	1	0	0.1	
WBC	k/mm3	1	0	0.1	
WBC	k/uL	1	0	0.1	
WBC	K/CUMM	1	0	0.1	
WBC	K/UL	1	0	0.1	
WBC	T/CMM	1	0	0.1	
WBC	K/uL	1	0	0.1	
WBC	K/CMM	1	0	0.1	
WBC	K/mm3	1	0	0.1	
WBC	10S3/uL	1	0	0.1	
WBC	K/cmm	1	0	0.1	
WBC	UNK	1	0	0.1	
WBC	/CUMM	1	0	0.1	
WBC	10*3/uL	1	0	0.1	
WBC	thous/uL	1	0	0.1	
WBC	TH/UL	1	0	0.1	
WBC	10E9/L	1	0	0.1	
WBC	0	1	0	0.1	
WBC	X10*9/L	1	0	0.1	
WBC	MM3	1	0	0.1	
WBC	10-3/UL	1	0	0.1	
WBC	K/ul	1	0	0.1	
WBC	x10e9/L	1	0	0.1	
WBC	1000/ul	1	0	0.1	
WBC	NA	1	0	0.1	
WBC	X 10(3)/UL	1	0	0.1	
WBC	/cumm	1	0	0.1	
WBC	/MM3	1	0	0.1	
WBC	TH/CMM	1	0	0.1	
WBC	Thou/uL	1	0	0.1	
WBC	THOUSAND	1	0	0.1	
WBC	X 10	1	0	0.1	
WBC	Thousand	1	0	0.1	
HDL	unitsid	1	0	1	
HDL	UNK	1	0	1	
HDL	MG/DL	1	0	1	
HDL	mg/dL	1	0	1	
HDL	1	1	0	1	
HDL	NA	1	0	1	
ALP	IUnit/L	1	0	1	
