source	count	destination
Creatinine::Kreatinin;P	264698	Creatinine
Potassium::Kalium;P	246041	K+
Sodium::Natrium;P	243053	Na
Hemoglobin::Hæmoglobin;B	227276	Hemoglobin
eGFR / 1,73m2(CKD-EPI)	212363	IGNORE
Leucocytes::Leukocytter;B	210696	WBC
CRP::C-reaktivt protein [CRP];P	199359	CRP
Albumin::Albumin;P	182357	Albumin
Trombocytter;B	128115	Platelets
Neutrophils::Neutrofilocytter;B	127791	Neutrophils#
Alanintransaminase::Alanintransaminase [ALAT];P	122266	ALT
Karbamid;P	112879	Urea
pCO2;P(aB)	110401	IGNORE
O2 sat.;Hb(aB)	110175	IGNORE
pO2;P(aB)	110086	IGNORE
pH;P(aB)	109561	IGNORE
Hydrogencarbonat (standard) ;P(aB)	107713	IGNORE
Alkaline_phosphatase::Basisk fosfatase;P	107171	ALKP
Hemoglobin::Hæmoglobin;B(aB)	106227	Hemoglobin
Laktat;P(aB)	104958	IGNORE
Potassium::Kalium;P(aB)	103602	K+
Natrium;P(aB)	103395	Na
Metamyelo.+Myelo.+Promyelocytter;B	102798	IGNORE
Glukose;P(aB)	98180	Glucose
Lymphocytes::Lymfocytter;B	95508	Lymphocytes#
Eosinophils::Eosinofilocytter;B	94586	Eosinophils#
Monocytes::Monocytter;B	93275	Monocytes#
Basophils::Basofilocytter;B	93032	Basophils#
Carbonmonoxidhæmoglobin;Hb(aB)	92617	IGNORE
Base excess (aktuel);P(aB)	88297	IGNORE
Erytrocytter, vol.fr.;B(aB)	85944	RBC
Bilirubiner;P	81570	Bilirubin
Calcium::Calcium-ion frit;P(aB)	77375	Ca
Methæmoglobin;Hb(aB)	76827	IGNORE
Calcium::Calcium-ion frit (pH=7,4);P(aB)	69042	Ca
INR::Koagulationsfaktor II+VII+X [INR];P	68803	INR
Klorid;P(aB)	60099	Cl
eGFR ml/min per 1,73 m2;Nyre	58466	IGNORE
Erytrocytter, vol.fr.;B	57259	RBC
Hba1c::Hæmoglobin A1c (IFCC);Hb(B)	53510	HbA1C
Glukose, middel (fra HbA1c);P	53486	IGNORE
Calcium::Calcium-ion frit (pH=7,4);P	50704	Ca
Thyrotropin [TSH];P	50152	TSH
Oxyhæmoglobin;Hb(tot.;aB)	50041	IGNORE
gamma-Glutamyltransferase;P	50000	IGNORE
Elektrokardiografi [EKG12];Pt	47863	IGNORE
Cholesterol::Kolesterol;P	45589	Cholesterol
Triglycerides::Triglycerid;P	44150	Triglycerides
HDL::Kolesterol HDL;P	43630	HDL
Calcium::Calcium;P	42820	Ca
Amylase, pancreatic::Amylase, pancreastype;P	40135	Amylase
O2-flow;Pt	39748	IGNORE
Thyreoideaudredning;P	39470	TSH
LDH::Laktatdehydrogenase;P	35320	LDH
Glucose::Glukose;P	35252	Glucose
LDL::Kolesterol LDL;P	34359	LDL
pH;P	31649	IGNORE
O2 (indgivet - %);Pt	29220	IGNORE
Fosfat;P	27883	IGNORE
LDH::Laktatdehydrogenase [LDH];P	27730	LDH
Glucose::Glukose;P(kB)	27454	Glucose
Vitamin B12;P	26611	B12
Glukose (POCT);P(kB)	24980	Glucose
Creatinine::Kreatinin;P(aB)	24410	Creatinine
Magnesium;P	23309	Mg
Urat;P	23081	Uric_Acid
Ferretin::Ferritin;P	23059	Ferritin
MCV::Erytrocytvolumen (middel) [MCV];B	22818	MCV
MCHC::Hæmoglobin [MCHC];Erc(B)	22470	MCHC-M
Base excess;Ecv	21236	IGNORE
pO2 (halvmætn.);Hb(aB)	20981	IGNORE
Legeme temp.;Pt	18953	IGNORE
INR::Koagulationsfaktor II+VII+X;P	17927	INR
Kreatinin;U	17404	IGNORE
25-Hydroxy-Vitamin D3;P	16683	IGNORE
Reticulocytter;B	16238	IGNORE
Jern;P	16137	IGNORE
Kreatinkinase;P	15898	Creatinine
Albumin;U	14786	IGNORE
Hydrogencarbonat (aktuel);P(aB)	14770	IGNORE
