Name	FinalUnit
AADO2	mmHg
ABP	mmHg
Acetaminophen	ug/mL
Albmin_over_Creatinine	mg/mmol
Albumin	g/dL
AlbuminELCP%	%
ALKP	IU/L
ALP	IU/L
Alpha_Fetoprotein	ng/mL
Alpha1Globulin	%
Alpha2Globulin	%
ALT	U/L
Ammonia	umol/L
Amylase	U/L
Apgar10Min	score
Apgar1Min	score
Apgar5Min	score
Apnea_Time_Interval	sec
aPTT	sec
Art_PaCO2	mmHg
Art_PaO2	mmHg
Arterial_BP_Dia	mmHg
Arterial_BP_Mean	mmHg
Arterial_BP_Sys	mmHg
Ascites_Albumin	g/dL
Ascites_Amylase	U/L
Ascites_Glucose	mg/dL
Ascites_Lactate	IU/L
Ascites_Lymphocytes%	%
Ascites_Macrophage%	%
Ascites_Monocytes%	%
Ascites_Polys%	%
Ascites_Protein_Total	g/dL
Ascites_RBC	#/uL
Ascites_WBC	#/uL
AST	IU/L
Atypical_Lymphocytes	%
B12	pg/mL
Bands#	10^9/L
Bands%	%
Base_excess	mEq/L
Basophils#	10*9/L
Basophils%	%
BetaGlobulin	%
Bicarbonate	mmol/L
Bilirubin	mg/dL
Bilirubin_Direct	MG/DL
Bilirubin_Indirect	mg/dL
BLASTS	score
Blasts%	%
Blood-UR	ERY/uL
BMI	kg/m2
BNP	PG/ML
BP	mmHg
BP_Dia_newborn	mmHg
BP_Mean_newborn	mmHg
BP_Sys_newborn	mmHg
BUN	mg/dL
C3	g/L
C4	g/L
Ca	mg/dL
CA125	kU/L
CA153	kU/L
CA199	kU/L
CA72-4	kU/L
Carboxyhemoglobin	%
CD3	#/uL
CD3%	%
CD4	#/uL
CD4%	%
CD4_Over_CD8	ratio
CD8	#/uL
CD8%	%
CEA	mmol/L
CHADS2	score
CHADS2_VASC	score
Cholesterol	mg/dL
Cholesterol_over_HDL	ratio
CK	IU/L
CK_MB_INDEX	%
Cl	mmol/L
CO2	mmol/L
CorrectedCa	mg/dL
Cortisol	ug/dL
CPOT	score
Creatine_Kinase	IU/L
Creatine_Kinase_MB	ng/mL
Creatinine	mg/dL
Creatinine-UR_24h	MG/24H
CRP	mg/dL
CSF_Glucose	mg/dL
CSF_Lymphocytes%	%
CSF_Monocytes%	%
CSF_Polys%	%
CSF_Protein_Total	g/dL
CSF_RBC	#/uL
CSF_WBC	#/uL
CVP	mmHg
Cyclosporine	NG/ML
Cyclosporine_level	ng/ml
D_DIMER	NG/ML
Digoxin	nmol/L
eGFR	mL/min/1.73m*2
eGFR_CKD_EPI	mL/min
eGFR_MDRD	mL/min
Eosinophils#	10*9/L
Eosinophils%	%
Erythrocyte	mm/h
ESR	MM/HR
ETCO2	mmHg
Ethanol	mg/dL
ExpRatio	ratio
Ferritin	ug/L
Fev1	L
Fev1_over_Fvc	%
Fibrinogen	mg/dL
FingerStick_Glucose	mg/dL
FiO2	torr
Fluid_Balance	cc
Folate	ug/L
Follic_Acid	ug/L
freeCalcium	MMOL/L
FreeT3	pmol/L
FreeT4	pmol/L
FSH	IU/L
Fvc	L
GammaGlobulin	%
GCS_Total	score
Gentamicin	ug/mL
GFR	mL/min
GGT	IU/L
Globulin	g/L
Glucose	mg/dL
Granulocytes	#/uL
Haptoglobin	mg/dL
HbA1C	%
HbA1C#	MMOL/MOL
HCG	IU/L
HDL	mg/dL
HDL_over_Cholesterol	ratio
HDL_over_LDL	ratio
HDL_over_nonHDL	ratio
HDW	G/DL
Heart_Rate	bpm
Height	cm
Hematocrit	%
Hemoglobin	g/dL
Hyperchromia	%
Hypochromia	%
I_E_Ratio	ratio
IgA	MG/DL
IGFL	unit
IgG	MG/DL
IgM	MG/DL
Immature_Granulocytes#	10*9/L
Immature_Granulocytes%	%
ImmatureReticulocyteFraction	%
INR	ratio
InspRatio	ratio
InspTime	sec
Iron_Binding_Capacity	ug/dL
Iron_Fe	ug/dL
IV_FLUIDS	cc
K+	mmol/L
Lactate	MG/DL
LDH	U/L
LDL	mg/dL
LDL_over_HDL	ratio
Lipase	U/L
Lithium	mmol/L
LOBULARITY_INDEX-	score
LUC	10*9/L
LUC%	%
LuteinisingHormone	IU/L
Lymphocytes#	10*9/L
Lymphocytes%	%
Macrocytosis	%
Macrophage%	%
MCH	pg
MCHC	%
MCHC-M	g/dL
MCV	fL
Mean_Airway_Pressure	cmH2O
Mesothelial%	%
Metamyelocytes%	%
Methemoglobin_Over_Hemoglobin	%
Mg	mmol/L
Mg++	mmol\L
Microcytosis	%
Minute_Vol	L/min
Monocytes#	10*9/L
Monocytes%	%
MPV	fL
MPXI	score
Myelocytes%	%
Myelocytes%	%
Na	mmol/L
Neutrophils#	10*9/L
Neutrophils%	%
NonHDLCholesterol	mg/dL
NonInvasive_BP_Dia	mmHg
NonInvasive_BP_Mean	mmHg
NonInvasive_BP_Sys	mmHg
NRBC	10*9/L
NRBC%	%
NTproBNP	pg/mL
Nucleated_Erythrocytes%	%
O2_Flow	L/min
Osmolality	mOsm/kg
Osmolarity-BL	MOSMOL/KG
Osmolarity-UR	MOSMOL/KG
OtherFluids_Lymphocytes%	%
OtherFluids_Macrophage%	%
OtherFluids_Monocytes%	%
OtherFluids_Polys%	%
OtherFluids_RBC	#/uL
OtherFluids_RBC	#/uL
OtherFluids_WBC	#/uL
Oxygen_Over_InspiredGas	%
Pain_FLACC	score
