NDC,RxNorm,Count_10years
0002-0819-02,7531,3
0002-0819-03,7531,3
0002-1407-01,9068,1
0002-1433-01,1551291,1271
0002-1433-80,1551291,1271
0002-1434-01,1551291,1217
0002-1434-80,1551291,1217
0002-1436-01,2058846,170
0002-1436-11,2058846,170
0002-1445-01,1745099,47
0002-1445-09,1745099,47
0002-1445-11,1745099,47
0002-1445-27,1745099,47
0002-1975-90,10379,469
0002-2377-01,2058846,6
0002-2377-11,2058846,6
0002-3004-75,4493,57
0002-3062-15,2176,1
0002-3115-01,2058846,1
0002-3115-09,2058846,1
0002-3227-30,38400,1089
0002-3228-30,38400,2318
0002-3229-30,38400,3229
0002-3230-30,4493,18
0002-3231-30,4493,15
0002-3232-30,4493,5
0002-3233-30,4493,13
0002-3234-30,4493,24
0002-3235-60,72625,3338
0002-3238-30,38400,1530
0002-3239-30,38400,1603
0002-3240-30,72625,14882
0002-3240-90,72625,14882
0002-3250-30,38400,637
0002-3251-30,38400,333
0002-3270-04,72625,19422
0002-3270-30,72625,19422
0002-4112-30,61381,978
0002-4115-30,61381,1406
0002-4116-30,61381,250
0002-4117-30,61381,1224
0002-4165-02,72143,3613
0002-4165-07,72143,3613
0002-4165-30,72143,3613
0002-4182-30,2047232,4
0002-4184-02,72143,3613
0002-4184-07,72143,3613
0002-4184-30,72143,3613
0002-4312-08,2256930,1
0002-4415-30,61381,530
0002-4420-30,61381,610
0002-4453-01,61381,46
0002-4453-85,61381,46
0002-4454-01,61381,16
0002-4454-85,61381,16
0002-4455-01,61381,17
0002-4455-85,61381,17
0002-4456-01,61381,20
0002-4456-85,61381,20
0002-4462-30,303263,6795
0002-4462-34,303263,6795
0002-4462-79,303263,6795
0002-4463-30,303263,3545
0002-4464-30,303263,8630
0002-4465-34,303263,875
0002-4465-79,303263,875
0002-4483-54,1946825,2
0002-4815-54,1946825,10
0002-5121-01,613391,119
0002-5121-30,613391,119
0002-5121-52,613391,119
0002-5123-01,613391,2472
0002-5123-30,613391,2472
0002-5123-77,613391,2472
0002-5337-54,1946825,7
0002-6145-11,4832,5
0002-6145-27,4832,14
0002-6216-54,1946825,1
0002-7335-11,61148,8
0002-7349-01,61148,8
0002-7501-01,12574,2
0002-7502-01,12574,12
0002-7510-01,86009,24487
0002-7510-17,86009,24487
0002-7511-01,86009,2247
0002-7512-01,86009,119
0002-7516-01,86009,701
0002-7516-59,,839
0002-7516-59,86009,701
0002-7597-01,61381,49
0002-7623-01,68446,5
0002-7636-11,61381,3
0002-7637-11,61381,1
0002-7640-01,68446,10
0002-7659-01,61381,3
0002-7660-01,61381,1
0002-7712-01,86009,123
0002-7712-27,86009,123
0002-7714-01,86009,26
0002-7714-59,86009,26
0002-7715-01,274783,9960
0002-7715-59,274783,9960
0002-7724-01,1745099,4
0002-7724-09,1745099,4
0002-7724-11,1745099,4
0002-7724-27,1745099,4
0002-8031-01,4832,10300
0002-8147-01,61148,73
0002-8148-01,61148,151
0002-8149-01,61148,51
0002-8215-01,92881,2543
0002-8215-17,92881,2543
0002-8315-01,92880,4552
0002-8315-17,92880,4552
0002-8400-01,32915,1164
0002-8501-01,92881,856
0002-8715-01,106892,3832
0002-8715-17,106892,3832
0002-8797-01,86009,797
0002-8797-59,86009,797
0002-8798-01,86009,153
0002-8798-59,86009,153
0002-8799-01,86009,5862
0002-8799-59,86009,5862
0002-8803-01,253182,197
0002-8803-59,253182,197
0002-8805-01,92880,230
0002-8805-59,92880,230
0002-8824-01,92881,309
0002-8824-27,92881,309
0002-9560-01,,17
0002-9561-01,,29
0002-9562-01,,14
0002-9673-01,,48
00022-34552,,1
00027-00004,,2
00027-00005,,1
00027-00009,,2
00027-00020,,1
00027-00035,,1
00027-00039,,2
0003-0208-50,7226,5
0003-0215-01,1606218,3
0003-0293-05,10759,682
0003-0293-20,10759,682
0003-0293-28,10759,682
0003-0371-13,1112973,1
0003-0466-30,7597,7
0003-0466-60,7597,7
0003-0466-65,7597,7
0003-0494-20,10759,44
0003-0496-20,10759,7
0003-0524-11,475342,22
0003-0526-20,,1
0003-0527-11,475342,30
0003-0528-11,475342,31
0003-0566-30,7597,50
0003-0566-60,7597,50
0003-0566-65,7597,50
0003-0588-60,7597,1
0003-0655-40,10395,1
0003-0655-60,10395,1
0003-0830-50,5552,1516
0003-0852-22,475342,128
0003-0855-22,475342,10
0003-0857-22,475342,5
0003-0863-50,4496,2
0003-0877-50,4496,2
0003-0893-21,1364430,2945
0003-0893-31,1364430,2945
0003-0894-21,1364430,11667
0003-0894-31,1364430,11667
0003-0894-70,1364430,11667
0003-1428-11,1486972,934
0003-1611-12,306266,87
0003-1611-13,306266,87
0003-1612-12,306266,38
0003-1614-12,306266,1
0003-1964-01,59763,2
0003-1965-01,59763,15
0003-1966-01,59763,17
0003-1967-01,59763,15
0003-1968-01,59763,18
0003-2187-10,614391,272
0003-2187-13,614391,272
0003-2188-11,614391,589
0003-2188-51,614391,77
0003-2327-11,1094833,2
0003-2328-22,1094833,5
0003-2560-16,1272,9
0003-3622-12,343047,375
0003-3624-12,343047,19
0003-3631-12,343047,49
0003-3641-11,343047,1
0003-3734-13,1597876,1
0003-3764-74,1364430,26
0003-3774-12,1597876,2
0003-5178-05,42463,4820
0003-5194-10,42463,6410
0003-5195-10,42463,2262
0003-6335-17,5552,11
0003-6337-17,5552,14
0004-0038-22,275891,1082
0004-0039-09,275891,14
0004-0058-01,2598,12766
0004-0058-32,2598,12766
0004-0068-01,2598,17663
0004-0068-32,2598,17663
0004-0086-94,9344,59
0004-0098-01,2598,2002
0004-0186-82,115264,5865
0004-0186-83,115264,5865
0004-0191-09,115264,177
0004-0244-51,83395,11
0004-0257-52,37925,299
0004-0259-01,68149,3170
0004-0259-43,68149,3170
0004-0260-01,68149,2771
0004-0260-43,68149,2771
0004-0261-29,68149,95
0004-0350-09,120608,65
0004-0357-30,120608,14
0004-0360-30,120608,55
0004-0365-30,120608,231
0004-0800-85,260101,10031
0004-0801-85,260101,53
0004-0802-85,260101,194
0004-0822-05,260101,979
0004-1100-20,194000,142
0004-1101-50,194000,1966
0004-6203-01,7258,4431
0004-6316-01,7258,21061
0004-6415-01,7258,75
0004-6416-01,7258,102
00045-242-24,20610,132
0005-0100-01,1593128,7
0005-0100-05,1593128,7
0005-0100-10,1593128,7
0005-1806-23,,83
0005-1971-01,798220,538
0005-1971-02,798220,538
0005-1971-05,798220,538
0005-2500-02,20063,1801
0005-2500-23,20063,1801
0005-2500-33,20063,1801
0005-4177-19,,12441
0005-4177-58,,12441
0005-4177-90,,12441
0005-4179-90,,3314
0005-4237-20,,1
0005-4239-16,,4549
0005-4329-20,,308
0005-4329-60,,308
0005-4343-62,,5154
0005-4344-62,,5154
0005-4365-56,,83
0005-4367-60,,37
0005-4367-95,,37
0005-4398-23,167,1
0005-4430-13,,85
0005-4430-61,,85
0005-4451-30,,3237
0005-4451-60,,3237
0005-4451-70,,3237
0005-4451-71,,3237
0005-4451-72,,3237
0005-4451-74,,3237
0005-4451-76,,3237
0005-4452-60,,70
0005-4452-70,,70
0005-4454-60,,70
0005-4454-70,,70
0005-4455-60,,70
0005-4455-70,,70
0005-4461-19,,1268
0005-4463-30,,12441
0005-4463-67,,12441
0005-4463-81,,12441
0005-4463-91,,12441
0005-4469-23,167,5
0005-4470-13,,53
0005-4470-60,,53
0005-4498-13,,89
0005-4498-60,,89
0005-4528-35,,572
0005-4528-61,,572
0005-4755-31,,164
0005-4755-50,,951
0005-4755-57,,951
0005-4755-71,,951
0005-4756-30,,2329
0005-4756-50,,2214
0005-4756-52,,2329
0005-4756-64,,2214
0005-4756-70,,2214
0005-4756-71,,2214
0005-4757-31,,255
0005-4757-56,,255
0005-4757-70,,255
0005-4758-30,,2023
0005-4758-50,,2023
0005-4758-65,,2023
0005-4758-70,,2023
0005-4760-19,,4
0005-4860-70,,203
0005-4860-90,,203
0005-4861-70,,203
0005-4861-90,,203
0005-4862-70,,203
0005-4862-90,,203
0005-4868-90,,5
0005-4900-60,,34
0005-4900-92,,34
0005-4901-92,,16
0005-4903-60,,34
0005-4903-92,,34
0005-4905-60,,60
0005-4905-92,,60
0005-4906-92,,16
0005-4910-24,,2
