ndc	atc	description
10481-3000-16	A11HA	Other plain vitamin preparations
10481-3001-16	B05BC	Solutions producing osmotic diuresis
10481-3001-16	D02AE	Carbamide products
11822-0002-30	A09AA	Enzyme preparations
11822-0011-00	R05CA	Expectorants
11822-0011-10	R05CA	Expectorants
11822-0015-20	R06AX	Other antihistamines for systemic use
11822-0017-80	A06AA	Softeners, emollients
11822-0018-20	C01EB	Other cardiac preparations
11822-0018-20	G02CC	Antiinflammatory products for vaginal administration
11822-0018-20	M01AE	Propionic acid derivatives
11822-0018-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0018-20	R02AX	Other throat preparations
11822-0020-50	D04AA	Antihistamines for topical use
11822-0020-50	R06AA	Aminoalkyl ethers
11822-0020-70	D04AA	Antihistamines for topical use
11822-0020-70	R06AA	Aminoalkyl ethers
11822-0020-90	D04AA	Antihistamines for topical use
11822-0020-90	R06AA	Aminoalkyl ethers
11822-0032-20	C01EB	Other cardiac preparations
11822-0032-20	G02CC	Antiinflammatory products for vaginal administration
11822-0032-20	M01AE	Propionic acid derivatives
11822-0032-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0032-20	R02AX	Other throat preparations
11822-0033-40	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-0033-60	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-0039-60	A06AA	Softeners, emollients
11822-0040-60	A02BC	Proton pump inhibitors
11822-0041-00	A02AC	Calcium compounds
11822-0041-00	A12AA	Calcium
11822-0041-00	A11CC	Vitamin D and analogues
11822-0056-80	C01EB	Other cardiac preparations
11822-0056-80	G02CC	Antiinflammatory products for vaginal administration
11822-0056-80	M01AE	Propionic acid derivatives
11822-0056-80	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0056-80	R02AX	Other throat preparations
11822-0070-50	B03AA	Iron bivalent, oral preparations
11822-0070-50	B03AD	Iron in combination with folic acid
11822-0080-02	D01AE	Other antifungals for topical use
11822-0080-02	D01BA	Antifungals for systemic use
11822-0081-30	C01EB	Other cardiac preparations
11822-0081-30	G02CC	Antiinflammatory products for vaginal administration
11822-0081-30	M01AE	Propionic acid derivatives
11822-0081-30	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0081-30	R02AX	Other throat preparations
11822-0086-50	C01EB	Other cardiac preparations
11822-0086-50	G02CC	Antiinflammatory products for vaginal administration
11822-0086-50	M01AE	Propionic acid derivatives
11822-0086-50	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0086-50	R02AX	Other throat preparations
11822-0098-30	R06AX	Other antihistamines for systemic use
11822-0146-10	A02AC	Calcium compounds
11822-0146-10	A12AA	Calcium
11822-0146-10	A11CC	Vitamin D and analogues
11822-0146-30	A02AC	Calcium compounds
11822-0146-30	A12AA	Calcium
11822-0146-30	A11CC	Vitamin D and analogues
11822-0177-90	C01EB	Other cardiac preparations
11822-0177-90	G02CC	Antiinflammatory products for vaginal administration
11822-0177-90	M01AE	Propionic acid derivatives
11822-0177-90	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0177-90	R02AX	Other throat preparations
11822-0236-80	B05CX	Other irrigating solutions
11822-0236-80	V04CA	Tests for diabetes
11822-0236-80	V06DC	Carbohydrates
11822-0253-48	N07BA	Drugs used in nicotine dependence
11822-0260-10	A11CC	Vitamin D and analogues
11822-0303-00	N02BE	Anilides
11822-0303-10	N02BE	Anilides
11822-0331-50	R06AX	Other antihistamines for systemic use
11822-0332-09	D04AA	Antihistamines for topical use
11822-0332-09	R06AA	Aminoalkyl ethers
11822-0336-70	A11DA	Vitamin B1, plain
11822-0357-90	B03AA	Iron bivalent, oral preparations
11822-0357-90	B03AD	Iron in combination with folic acid
11822-0372-70	A06AB	Contact laxatives
11822-0372-70	A06AA	Softeners, emollients
11822-0373-60	C01EB	Other cardiac preparations
11822-0373-60	G02CC	Antiinflammatory products for vaginal administration
11822-0373-60	M01AE	Propionic acid derivatives
11822-0373-60	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0373-60	R02AX	Other throat preparations
11822-0384-90	C01EB	Other cardiac preparations
11822-0384-90	G02CC	Antiinflammatory products for vaginal administration
11822-0384-90	M01AE	Propionic acid derivatives
11822-0384-90	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0384-90	R02AX	Other throat preparations
11822-0392-60	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-0392-60	D01AC	Imidazole and triazole derivatives
11822-0392-60	G01AF	Imidazole derivatives
11822-0392-90	D08AG	Iodine products
11822-0392-90	D09AA	Medicated dressings with antiinfectives
11822-0392-90	D11AC	Medicated shampoos
11822-0392-90	G01AX	Other antiinfectives and antiseptics
11822-0392-90	R02AA	Antiseptics
11822-0392-90	S01AX	Other antiinfectives
11822-0399-40	A02AA	Magnesium compounds
11822-0399-40	G04BX	Other urologicals
11822-0399-50	A02BA	H2-receptor antagonists
11822-0399-70	A06AB	Contact laxatives
11822-0399-70	A06AG	Enemas
11822-0402-30	R01BA	Sympathomimetics
11822-0403-10	N02BE	Anilides
11822-0403-50	D04AA	Antihistamines for topical use
11822-0403-50	R06AA	Aminoalkyl ethers
11822-0412-40	N02BE	Anilides
11822-0412-50	N02BE	Anilides
11822-0415-50	R06AB	Substituted alkylamines
11822-0415-50	C01CA	Adrenergic and dopaminergic agents
11822-0415-50	R01AA	Sympathomimetics, plain
11822-0415-50	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-0415-50	R01BA	Sympathomimetics
11822-0415-50	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0415-50	S01GA	Sympathomimetics used as decongestants
11822-0416-80	N02BE	Anilides
11822-0416-80	C01CA	Adrenergic and dopaminergic agents
11822-0416-80	R01AA	Sympathomimetics, plain
11822-0416-80	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-0416-80	R01BA	Sympathomimetics
11822-0416-80	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0416-80	S01GA	Sympathomimetics used as decongestants
11822-0417-20	R06AB	Substituted alkylamines
11822-0417-20	C01CA	Adrenergic and dopaminergic agents
11822-0417-20	R01AA	Sympathomimetics, plain
11822-0417-20	R01AB	Sympathomimetics, combinations excl. corticosteroids
