signal	source	code	description	type
Weight	VITALS	Weight	BODY WEIGHT	numeric
Height	VITALS	Height	BODY HEIGHT	numeric
SpO2	VITALS	SpO2	OXYGEN SATURATION IN ARTERIAL BLOOD BY PULSE OXIMETRY	numeric
Temperature	VITALS	Temp	BODY TEMPERATURE	numeric
BP	VITALS	BP Diastolic	DIASTOLIC BLOOD PRESSURE	numeric
BP	VITALS	BP Systolic	SYSTOLIC BLOOD PRESSURE	numeric
Acetaminophen	LAB_RESULTS	1579	ACETAMINOPHEN	numeric
Albumin	LAB_RESULTS	1525	ALBUMIN	numeric
Albumin	LAB_RESULTS	1748	ALBUMIN	numeric
Albumin	LAB_RESULTS	210219	ALBUMIN	numeric
Albumin	LAB_RESULTS	7638	ALBUMIN	numeric
Albumin	LAB_RESULTS	215048	ALBUMIN	numeric
Albumin	LAB_RESULTS	11000046	ALBUMIN	numeric
ALKP	LAB_RESULTS	1528	ALKALINE PHOSPHATASE	numeric
ALKP	LAB_RESULTS	210221	ALKALINE PHOSPHATASE	numeric
ALKP	LAB_RESULTS	215052	ALKALINE PHOSPHATASE	numeric
ALT	LAB_RESULTS	1526	ALT	numeric
ALT	LAB_RESULTS	200027	ALT	numeric
ALT	LAB_RESULTS	1001526	ALT-OUTSIDE LAB	numeric
ALT	LAB_RESULTS	200002	ALT	numeric
ALT	LAB_RESULTS	210222	ALANINE AMINOTRANSFERASE	numeric
ALT	LAB_RESULTS	215054	ALT	numeric
Amylase	LAB_RESULTS	1602	AMYLASE	numeric
aPTT	LAB_RESULTS	1583	APTT-PATIENT	numeric
AST	LAB_RESULTS	1527	AST	numeric
AST	LAB_RESULTS	200028	AST	numeric
AST	LAB_RESULTS	200005	AST	numeric
AST	LAB_RESULTS	210224	ASPAR AMINOTRANSFERASE	numeric
AST	LAB_RESULTS	215053	AST	numeric
B12	LAB_RESULTS	1827	VITAMIN B12	numeric
Bands#	LAB_RESULTS	3250	ABS. BANDS	numeric
Bands%	LAB_RESULTS	1507	BANDS	numeric
Base_excess	LAB_RESULTS	1638	BASE DEFICIT, ART	numeric
Base_excess	LAB_RESULTS	1656	BASE EXCESS, ART	numeric
Base_excess	LAB_RESULTS	2035	BASE DEFICIT ISTAT	numeric
Base_excess	LAB_RESULTS	2003	BASE EXCESS ISTAT	numeric
Basophils#	LAB_RESULTS	3254	ABS. BASOS	numeric
Basophils#	LAB_RESULTS	210374	BASO NUMBER	numeric
Basophils#	LAB_RESULTS	11000180	BASO#	numeric
Basophils%	LAB_RESULTS	1515	BASOS	numeric
Basophils%	LAB_RESULTS	210378	BASO PERCENT	numeric
Basophils%	LAB_RESULTS	11000181	BASO%	numeric
Bicarbonate	LAB_RESULTS	1637	BICARBONATE, ART	numeric
Bicarbonate	LAB_RESULTS	2002	BICARBONATE ISTAT	numeric
Bicarbonate	LAB_RESULTS	1611	BICARBONATE, VEN	numeric
Bicarbonate	LAB_RESULTS	1650	BICARBONATE, CAP	numeric
Bicarbonate	LAB_RESULTS	9844	BICARBONATE EPOC	numeric
Bilirubin	LAB_RESULTS	1529	BILIRUBIN, TOTAL	numeric
Bilirubin	LAB_RESULTS	200036	BILIRUBIN, TOTAL	numeric
Bilirubin	LAB_RESULTS	210295	BILIRUBIN, TOTAL	numeric
Bilirubin	LAB_RESULTS	215051	BILIRUBIN, TOTAL	numeric
Bilirubin_Direct	LAB_RESULTS	1563	BILIRUBIN, DIRECT	numeric
BLASTS	LAB_RESULTS	3275	ABS. BLASTS	numeric
Blasts%	LAB_RESULTS	1679	BLASTS	numeric
BNP	LAB_RESULTS	4431	NATRIURETIC PEPTIDE	numeric
BUN	LAB_RESULTS	1518	BUN	numeric
BUN	LAB_RESULTS	210017	UREA-N, BLOOD	numeric
BUN	LAB_RESULTS	2039	BUN ISTAT	numeric
BUN	LAB_RESULTS	215037	UREA NITROGEN (BUN)	numeric
BUN	LAB_RESULTS	11000220	BUN	numeric
C3	LAB_RESULTS	1946	COMPLEMENT C3	numeric
C4	LAB_RESULTS	1947	COMPLEMENT C4	numeric
Ca	LAB_RESULTS	1554	CALCIUM	numeric
Ca	LAB_RESULTS	210016	CALCIUM	numeric
Ca	LAB_RESULTS	215046	CALCIUM	numeric
Ca	LAB_RESULTS	11000235	CALCIUM	numeric
CA125	LAB_RESULTS	2120	CA 125	numeric
CA199	LAB_RESULTS	2075	CA 19-9	numeric
CEA	LAB_RESULTS	1811	CEA	numeric
Chloride	LAB_RESULTS	215044	CHLORIDE	numeric
Cholesterol	LAB_RESULTS	1532	CHOLESTEROL	numeric
Cholesterol	LAB_RESULTS	1001532	CHOLESTEROL-OUTSIDE LAB	numeric
Cholesterol	LAB_RESULTS	210228	CHOLESTEROL	numeric
Cholesterol	LAB_RESULTS	215064	CHOLESTEROL, TOTAL	numeric
Cholesterol	LAB_RESULTS	215067	LDL-CHOLESTEROL	numeric
Cholesterol_over_HDL	LAB_RESULTS	1534	CHOL/HDL RATIO	numeric
Cholesterol_over_HDL	LAB_RESULTS	1001534	CHOL/HDL RATIO-OUTSIDE LAB	numeric
Cholesterol_over_HDL	LAB_RESULTS	210227	CHOL:HDL RATIO	numeric
Cholesterol_over_HDL	LAB_RESULTS	215068	CHOL/HDLC RATIO	numeric
CK	LAB_RESULTS	1558	CK	numeric
CK_MB_INDEX	LAB_RESULTS	1643	RELATIVE INDEX	numeric
Cl	LAB_RESULTS	1521	CHLORIDE	numeric
Cl	LAB_RESULTS	210012	CHLORIDES	numeric
