A	ALIMENTARY TRACT AND METABOLISM
A01	STOMATOLOGICAL PREPARATIONS
A01A	STOMATOLOGICAL PREPARATIONS
A01A A	CARIES PROPHYLACTIC AGENTS
A01A A01	SODIUM FLUORIDE
A01A A02	SODIUM MONOFLUOROPHOSPHATE
A01A A03	OLAFLUR
A01A A04	STANNOUS FLUORIDE
A01A A30	COMBINATIONS
A01A A51	"SODIUM FLUORIDE, COMBINATIONS"
A01A B	ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT
A01A B02	HYDROGEN PEROXIDE
A01A B03	CHLORHEXIDINE
A01A B04	AMPHOTERICIN
A01A B05	POLYNOXYLIN
A01A B06	DOMIPHEN
A01A B07	OXYQUINOLINE
A01A B08	NEOMYCIN
A01A B09	MICONAZOLE
A01A B10	NATAMYCIN
A01A B11	VARIOUS
A01A B12	HEXETIDINE
A01A B13	TETRACYCLINE
A01A B14	BENZOXONIUM CHLORIDE
A01A B15	TIBEZONIUM IODIDE
A01A B16	MEPARTRICIN
A01A B17	METRONIDAZOLE
A01A B18	CLOTRIMAZOLE
A01A B19	SODIUM PERBORATE
A01A B21	CHLORTETRACYCLINE
A01A B22	DOXYCYLINE
A01A B23	MINOCYCLINE
A01A C	CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT
A01A C01	TRIAMCINOLONE
A01A C02	DEXAMETHASONE
A01A C03	HYDROCORTISONE
A01A C54	"PREDNISOLONE, COMBINATIONS"
A01A D	OTHER AGENTS FOR LOCAL ORAL TREATMENT
A01A D01	EPINEPHRINE
A01A D02	BENZYDAMINE - OLD CODE
A01A D05	ACETYLSALICYLIC ACID
A01A D06	ADRENALONE
A01A D08	BECAPLERMIN
A01A D11	VARIOUS
A02	"ANTACIDS, DRUGS FOR TREATMENT OF PEPTIC ULCER AND FLATULENCE"
A02A	ANTACIDS
A02A A	MAGNESIUM COMPOUNDS
A02A A01	MAGNESIUM CARBONATE
A02A A02	MAGNESIUM OXIDE
A02A A03	MAGNESIUM PEROXIDE
A02A A04	MAGNESIUM HYDROXIDE
A02A A05	MAGNESIUM SILICATE
A02A A10	COMBINATIONS
A02A B	ALUMINIUM COMPOUNDS
A02A B01	ALUMINIUM HYDROXIDE
A02A B02	ALGELDRATE
A02A B03	ALUMINIUM PHOSPHATE
A02A B04	DIHYDROXIALUMINI SODIUM CARBONATE
A02A B05	ALUMINIUM ACETOACETATE
A02A B06	ALOGLUTAMOL
A02A B07	ALUMINIUM GLYCINATE
A02A B10	COMBINATIONS
A02A C	CALCIUM COMPOUNDS
A02A C01	CALCIUM CARBONATE
A02A C02	CALCIUM SILICATE
A02A C10	COMBINATIONS
A02A D	"COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS"
A02A D01	ORDINARY SALT COMBINATIONS
A02A D02	MAGALDRATE
A02A D03	ALMAGATE
A02A D04	HYDROTALCITE
A02A D05	ALMASILATE
A02A F	ANTACIDS WITH ANTIFLATULENTS
