signal	source	code	description	type
Albumin	laboratory	2039	Albumin (B) Urgent	numeric
Albumin	laboratory	2040	lAlbumin (B)	numeric
Amylase	laboratory	2150	lAmylase (B)	numeric
Amylase	laboratory	2151	Amylase (B) Urgent	numeric
Bilirubin	laboratory	2247	Bilirubin Total Urgent	numeric
Bilirubin	laboratory	2250	Bilirubin Total	numeric
VitaminD_25	laboratory	2306	Vitamin D 25 (OH)	numeric
Ca	laboratory	2310	Ca-Calcium (B)	numeric
Ca	laboratory	2313	Ca-Calcium (B) Urgent	numeric
Cl	laboratory	2435	Cl- Chloride (B)	numeric
Cholesterol	laboratory	2465	Cholesterol	numeric
CK	laboratory	2550	CK	numeric
CK	laboratory	2551	CK Urgent	numeric
Creatinine	laboratory	2565	Creatinine (B)	numeric
B12	laboratory	2607	Vitamin B12	numeric
Ferritin	laboratory	2728	Ferritin	numeric
Follic_Acid	laboratory	2746	Folic Acid	numeric
Glucose	laboratory	2947	Glucose (B)	numeric
Glucose	laboratory	2948	Glucose (B) Urgent	numeric
GGT	laboratory	2977	GGT	numeric
HbA1C	laboratory	3037	HbA1C	numeric
Iron_Fe	laboratory	3540	Fe - Iron	numeric
LDH	laboratory	3615	LDH-Lactic Dehydrogenase	numeric
HDL	laboratory	3718	HDL-Cholesterol	numeric
LDL	laboratory	3719	LDL-Cholesterol	numeric
Urine_Osmolality	laboratory	3935	Osmolality (U)	numeric
ALKP	laboratory	4075	ALKP-Alkaline Phosphatase	numeric
Phosphore	laboratory	4100	Phosphore (B) (PO4)	numeric
K+	laboratory	4132	K+ Potassium (B)	numeric
PSA	laboratory	4153	PSA Prostatic Specific Ag	numeric
Protein_Total	laboratory	4155	Protein Total (B)	numeric
Protein_Total	laboratory	4157	Protein Total (B) Urgent	numeric
Na	laboratory	4295	Na- Sodium (B)	numeric
FreeT4	laboratory	4439	Free Thyroxine (FT4)	numeric
TSH	laboratory	4443	TSH	numeric
AST	laboratory	4450	AST (GOT)	numeric
AST	laboratory	4451	AST (GOT) Urgent	numeric
ALT	laboratory	4460	ALT (GPT)	numeric
ALT	laboratory	4461	ALT (GPT) Urgent	numeric
Transferrin	laboratory	4466	Transferrin	numeric
Triglycerides	laboratory	4478	Triglycerides	numeric
TotalT3	laboratory	4480	Triiodothyronine T. (TT3)	numeric
Urea	laboratory	4520	Urea (B)	numeric
Urea	laboratory	4521	Urea (B) Urgent	numeric
Uric_Acid	laboratory	4550	Uric Acid  (B)	numeric
RBC	laboratory	5041	RBC-Red Blood Cells	numeric
WBC	laboratory	5048	WBC-Leucocytes	numeric
Urine_Leucocytes	laboratory	10000	Leucocytes (U)	category
