signal	unit	muliplier	addition
Albumin	None	1	0
Albumin	g/dl	1	0
Amylase	u/l	1	0
Bilirubin	mg/dl	1	0
VitaminD_25	ng/ml	2.5	0
Ca	mg/dl	1	0
Cl	mmol/l	1	0
Cholesterol	mg/dL	1	0
CK	u/l	1	0
Creatinine	mg/dl	1	0
B12	pg/ml	1	0
Ferritin	ng/ml	1	0
Follic_Acid	ng/ml	1	0
Glucose	mg/dl	1	0
GGT	U/l	1	0
HbA1C	% Total Hb.	1	0
Iron_Fe	micg/dl	1	0
LDH	u/l	1	0
HDL	mg/dl	1	0
LDL	mg/dl	1	0
ALKP	u/l	1	0
Phosphore	mg/dl	1	0
K+	mmol/l	1	0
Protein_Total	g/dl	1	0
Urine_Protein	mg/dL	1	0
Na	mmol/l	1	0
AST	U/l	1	0
ALT	U/l	1	0
Transferrin	mg/dl	1	0
Triglycerides	mg/dl	1	0
Urea	mg/dl	1	0
Uric_Acid	mg/dl	1	0
RBC	10*6/micl	1	0
WBC	10*3/micl	1	0
eGFR	ml/min/1.73m²	1	0
Bands%	%	1	0
MPV	mic*3	1	0
Hemoglobin	g/dl	1	0
Hematocrit	%	1	0
MCV	fl	1	0
MCH	pg/cell	1	0
MCHC-M	pg/cell	1	0
RDW	%	1	0
Platelets	10*3/micl	1	0
Eosinophils#	#	1	0
Neutrophils%	%	1	0
Lymphocytes%	%	1	0
Monocytes%	%	1	0
Eosinophils%	%	1	0
Basophils%	%	1	0
Neutrophils#	#	1	0
Lymphocytes#	#	1	0
Monocytes#	#	1	0
Basophils#	#	1	0
PT%	%	1	0
PT	Sec.	1	0
INR	None	1	0
PTT	sec.	1	0
PSA	ng/ml	1	0
PSA	None	1	0
Urine_Osmolality	mOsm/kg/H2O	1	0
FreeT4	pmol/l	1	0
TSH	mIu/l	1	0
TotalT3	nmol/l	1	0
Urine_Leucocytes	leuco/micl	1	0
Urine_Total_Protein	mg/dl	0.01	0
Urine_Glucose	mg/dL	1	0
Urine_Nitrit	None	1	0
Urine_Urobilinogen	mg/dL	1	0
Urine_Ketone	mg/dL	1	0
Urine_Bilirubin	mg/dL	1	0
Urine_Erythrocytes	cell/l	1	0
Urine_Erythrocytes	ery/micl	1	0
Urine_Spec_Gravity	gr/ml	1	0
Free_PSA	None	0	1
Urine_Protein_24hr	mg/day	1	0
NonInvasive_BP_Sys	None	1	0
NonInvasive_BP_Dia	None	1	0
Urine_PH	None	1	0
BMI	None	1	0
Height	None	1	0
Weight	None	1	0
Temperature	None	1	0
Heart_Rate	None	1	0
Resp_Rate	None	1	0
SaO2	None	1	0
