code	description	count
16809990	HCO3 Art	3484
16810007	HCO3 Cap	1
16810018	O2 Sat Art	3484
16810024	O2 Sat Cap	1
16810031	pCO2 Art	3484
16810037	pCO2 Cap	1
16810044	pH Art	3484
16810050	pH Cap	1
16810057	pO2 Art	3484
16810063	pO2 Cap	1
18745132	Cephalothin	2788
18745133	Cefuroxime	1
18745135	Cefotaxime	4
18745136	Cefepime	15023
18745137	Cefazolin	187667
18745139	P-A-S Acid	22
18745140	Ethionamide	17
18745141	PZA	38
18745142	Ethambutol	39
18745143	Ison	38
18745144	Tig	16
18745147	Pen Oral	366
18745148	Pen IV (meningitis)	371
18745149	Linezolid	801
18745152	Erta	2212
18745153	Dzone	4
18745154	Dori	1
18745155	Dapto	279
18745156	Cro Non-meningitis	380
18745157	Cro meningitis	384
18745158	Colistin	22
18745159	Ceftaroline	74
18745160	5-Flucytosine	296
18745161	Voriconazole	176
18745162	Posaconazole	281
18745163	Micafungin	299
18745164	Itraconazole	296
18745165	Fluconazole	293
18745166	Caspofungin	300
18745167	Anidulafungin	285
18745208	Review	3
18746503	Pinworm Exam	1251
18823566	Blood Culture Gram Stain Report	14483
18824187	WBC	2789714
18824195	UA Appear	238378
18824197	UA Bacteria	688635
18824201	UA Bili	36976
18824203	UA Blood	1042827
18824205	UA Bud Yeast	8233
18824207	UA Broad Cast	93
18824209	UA Ca Carb Crys	62
18824211	UA CA Ox Crystal	28836
18824213	UA Ca Phos Crys	121
18824219	UA Color	196428
18824221	UA Comment	17161
18824223	UA Cystine Crys	13
18824225	UA Epi Cast	420
18824227	UA Fatty Cast	255
18824231	UA Glucose	1043037
18824233	UA Gran Cast	15400
18824235	UA Hyal Cast	337061
18824237	UA Hyph Yeast	3096
18824239	UA Ketones	1042826
18824241	UA Leucine Crys	6
18824243	UA Leuk Est	1042817
18824247	UA Microscopic Comment	6913
18824251	UA Nitrite	1042821
18824253	UA Oval Fat	827
18824255	UA pH	1042817
18824257	UA Protein	1045514
18824259	UA RBC	688634
18824261	UA RBC Casts	538
18824263	UA Renal Epi	10954
18824265	UA Spec Grav	1043838
18824267	UA Sperm	3386
18824269	UA Squam Epithelial	688635
18824271	UA Trans Epi	46238
18824273	UA Trichomonas	353
18824275	UA Trip Pho Crys	2166
18824277	UA Tyrosine Crys	8
18824279	UA Uric Ac Crys	1769
18824281	UA Urobilinogen	36
18824283	UA Waxy Cast	263
18824285	UA WBC	688643
18824287	UA WBC Cast	3622
18824289	UA WBC Clump	54218
18824291	U Barb Scr	342695
18824293	U Benzodia Scr	342711
18824297	U Barb	4126
18824299	U Barb Scr EDS	29786
18824301	U Benzodia EDS	29786
18824307	U Cannab Scr	137853
18824309	U Cannab Scr EDS	29785
18824313	U Cocaine Scr	344900
18824315	U Cocain Scr EDS	29786
18824319	U Ethanol Scr	341000
18824325	U Methadone Scr	340785
18824327	U Methadone Scr EDS	29786
18824329	U Methamp Scr EDS	29786
18824331	U Opiate Scr EDS	29786
18824335	U Opiates Scr	344906
18824339	U Oxycodone Scr	344901
18824341	U Oxycodone Scr EDS	29786
18824345	U Phencyclidine Scr EDS	29786
18824353	U Propoxyphene Scr EDS	29786
18824355	Ur Calcium	18885
18824357	U24 Calcium	14042
18824361	RBC	2789504
18824363	RDW CV	2789235
18824365	RDW SD	2789489
18824367	Platelet	2792581
18824369	Hct	2866484
18824371	Hgb	2864623
18824373	CBC Comment	183790
18824375	PSA	119667
18824377	PSA % Free	4929
18824379	PSA Free	4928
18824381	PSA Monitoring	75005
18824383	PSA Total	4928
18824385	PSA UltraSensitive	108
18824387	Hgb A2 %	4673
18824389	Hgb A %	4673
18824391	Hgb C %	96
18824393	Hgb E %	125
18824395	Hgb F %	4673
18824397	Hgb S %	267
18824399	Hgb Other %	56
18824401	Hgb Interp	4673
18824405	RPR Qual	97945
18824407	RPR Titer	3380
18824409	ANA	12183
18824411	ANA Pattern	4298
18824413	ANA Titer	4299
18824415	Band Man	125491
18824417	Bands Abs Man	125414
18824419	Baso Abs Auto	1770817
18824421	Baso Abs Man	47908
18824423	Basophil Auto	1770797
18824425	Basophil Man	48553
