code	description	count
Sickle Cell	Sickle Cell	1
Note:	Note:	769
MCV	MCV	64859
IGRE	IGRE	1
Neut Segs and Bands-Mayo	Neut Segs and Bands-Mayo	30
RBC Distribution Width	RBC Distribution Width	2169
Hypogranular Neutrophils	Hypogranular Neutrophils	6
Neutro Absolute	Neutro Absolute	55196
Mono per	Mono %	35260
Dohle Bodies	Dohle Bodies	481
Eosinophil Nasal	Eosinophil Nasal	2
Differential Comment	Differential Comment	805
Mid per	Mid %	159
Pathology Consult	Pathology Consult	14
Hemoglobin POC Result	Hemoglobin POC Result	4
Myelocytes-Mayo	Myelocytes-Mayo	4
Baso per	Baso %	33097
Hgb	Hgb	72262
Cells Counted	Cells Counted	4
Mono Auto	Mono Auto	1119
Manual Diff Eos #	Manual Diff Eos #	25
Plasma Cell Prolif Final Dx-Mayo	Plasma Cell Prolif Final Dx-Mayo	1
WBC	WBC	65393
CBC w/Manual Differential	CBC w/Manual Differential	7
Neutro Manual	Neutro Manual	3801
Platelet	Platelet	65268
Hemoglobin-POC	Hemoglobin-POC	10
Baso Auto	Baso Auto	1119
Schistocyte	Schistocyte	305
Platelet Comment	Platelet Comment	286
Rouleaux	Rouleaux	68
Corrected WBC	Corrected WBC	12
Basophilic Stippling	Basophilic Stippling	168
Poikilocytosis	Poikilocytosis	1138
HEMOGLOBIN	HEMOGLOBIN	1116
Band per	Band %	28
MDiff Site	MDiff Site	70
Normocytic	Normocytic	239
Platelet Est.	Platelet Est.	1340
Hgb-POC3	Hgb-POC3	29
Lymph Auto	Lymph Auto	1119
Hemoglobin IStat POC	Hemoglobin IStat POC	71
Monotyp PC/Ttl Events-Mayo	Monotyp PC/Ttl Events-Mayo	2
Neutro Absolute Man	Neutro Absolute Man	84
POIKILOCYTOSIS	POIKILOCYTOSIS	37
Stomatocyte	Stomatocyte	13
Other Cells	Other Cells	19
Granulo Absolut	Granulo Absolut	3778
Eos Manual	Eos Manual	2304
Hgb POC	Hgb POC	17
MCHC	MCHC	30217
Differential?	Differential?	9562
RBC Inclusions	RBC Inclusions	1
RBC Morphology	RBC Morphology	2109
Nucleated RBC	Nucleated RBC	295
Eos Absolute	Eos Absolute	48367
Monotyp PC DNA Idx-Mayo	Monotyp PC DNA Idx-Mayo	1
Hematocrit POC	Hematocrit POC	71
Dimorphic RBC	Dimorphic RBC	9
Segmented Neut #	Segmented Neut #	83
Baso Manual	Baso Manual	1650
Hypersegmentation	Hypersegmentation	65
Morphology Other	Morphology Other	39
Manual Diff Seg #	Manual Diff Seg #	25
Hgb-POC	Hgb-POC	3
Toxic Changes Man Diff	Toxic Changes Man Diff	60
Elliptocytes-Mayo	Elliptocytes-Mayo	20
Howell Jolly bodies	Howell Jolly bodies	3
Polytyp PC/Ttl Events-Mayo	Polytyp PC/Ttl Events-Mayo	1
Monotyp PC DNA Ploidy-Mayo	Monotyp PC DNA Ploidy-Mayo	1
Manual Diff ANC	Manual Diff ANC	858
Band Neut #	Band Neut #	50
Target Cell	Target Cell	254
Hypochromasia	Hypochromasia	599
