signal	source	code	description	type
BloodLoss	outputevents	43176	Blood Out Lab	numeric
CalciumDialysisOut	outputevents	46712	CALCIUM-DIALYSIS	numeric
CardiacOutput	outputevents	40909	cardiac output	numeric
CerebralDrain	outputevents	226607	Cerebral Ventricular #2	numeric
CerebralDrain	outputevents	226606	Cerebral Ventricular #1	numeric
CerebralDrain	outputevents	226608	Cerebral Subdural #1	numeric
CerebralDrain	outputevents	40058	Cerebral Drain R Ventricular Drain	numeric
CerebralDrain	outputevents	40537	Cerebral Drain Subdural	numeric
CerebralDrain	outputevents	41866	Cerebral Drain Other	numeric
CerebralDrain	outputevents	40097	Cerebral Drain L Ventricular Drain	numeric
CerebralDrain	outputevents	44719	cerebral drain right	numeric
ChestTube	outputevents	40049	Chest Tubes Right Pleural 1	numeric
ChestTube	outputevents	226591	L Pleural #2	numeric
ChestTube	outputevents	40403	thoracentesis	numeric
ChestTube	outputevents	226592	Mediastinal	numeric
ChestTube	outputevents	226590	L Pleural #1	numeric
ChestTube	outputevents	226593	R Pleural #1	numeric
ChestTube	outputevents	40084	Chest Tubes Other	numeric
ChestTube	outputevents	40050	Chest Tubes Right Pleural 2	numeric
ChestTube	outputevents	40090	Chest Tubes Left Pleural 2	numeric
ChestTube	outputevents	40048	Chest Tubes Left Pleural 1	numeric
ChestTube	outputevents	41707	Chest Tubes CTICU CT 2	numeric
ChestTube	outputevents	40076	Chest Tubes CTICU CT 1	numeric
ChestTube	outputevents	226589	Chest Tube #2	numeric
ChestTube	outputevents	226588	Chest Tube #1	numeric
ChestTube	outputevents	43177	Chest Tubes Chest Tube	numeric
ChestTube	outputevents	226595	R Pleural #2	numeric
ChestTube	outputevents	40091	Chest Tubes Mediastinal	numeric
DialysisOut	outputevents	41842	Dialysis Output.	numeric
DialysisOut	outputevents	40425	dialysis output	numeric
DialysisOut	outputevents	42536	Dialysis output	numeric
DialysisOut	outputevents	42388	DIALYSIS OUTPUT	numeric
DialysisOut	outputevents	46741	dialysis removed	numeric
DialysisOut	outputevents	44901	Dialysis Removed	numeric
DialysisOut	outputevents	43052	DIALYSIS REMOVED	numeric
DialysisOut	outputevents	46713	KCL-10 MEQ-DIALYSIS	numeric
DialysisOut	outputevents	41713	dialyslate out	numeric
DialysisOut	outputevents	41112	Dialysys out	numeric
DialysisOut	outputevents	40789	PD dialysate out	numeric
DialysisOut	outputevents	41069	PD Dialysate Output	numeric
DialysisOut	outputevents	44943	fluid removed dialys	numeric
DialysisOut	outputevents	41750	dialysis  out	numeric
DialysisOut	outputevents	43016	DIALYSIS TOTAL OUT	numeric
DialysisOut	outputevents	40426	dialysis out	numeric
DialysisOut	outputevents	41374	Dialysis Out	numeric
DialysisOut	outputevents	41623	dialysate out	numeric
DialysisOut	outputevents	40690	DIALYSIS	numeric
DialysisOut	outputevents	40745	Dialysis	numeric
DialysisOut	outputevents	40624	dialysis	numeric
DialysisOut	outputevents	44027	dialysis fluid off	numeric
DialysisOut	outputevents	46715	Citrate - dialysis	numeric
DialysisOut	outputevents	46230	Dialysis 1.5% IN	numeric
DialysisOut	outputevents	43687	crystalloid/dialysis	numeric
DialysisOut	outputevents	44193	Dialysis.	numeric
DialysisOut	outputevents	44845	Dialysis fluids	numeric
DialysisOut	outputevents	44857	dialysis- fluid off	numeric
DialysisOut	outputevents	41034	dialysis in	numeric
DialysisOut	outputevents	45479	Dialysis In	numeric
DialysisOut	outputevents	44286	Dialysis indwelling	numeric
DialysisOut	outputevents	43941	dialysis/intake	numeric
DialysisOut	outputevents	43115	dialysis net	numeric
DialysisOut	outputevents	44085	DIALYSIS OFF	numeric
DialysisOut	outputevents	42289	dialysis off	numeric
DialysisOut	outputevents	40613	DIALYSIS OUT	numeric
DialysisOut	outputevents	46232	dialysis flush	numeric
DialysisOut	outputevents	40507	Dialysis out	numeric
DrainOut	outputevents	226619	Pigtail #1	numeric
DrainOut	outputevents	226620	Pigtail #2	numeric
DrainOut	outputevents	226604	Hemovac #1	numeric
DrainOut	outputevents	40287	Drain Out #4 Other	numeric
DrainOut	outputevents	42279	Drain Out #5 Pigtail	numeric
DrainOut	outputevents	40083	Drain Out #5 Other	numeric
DrainOut	outputevents	226617	Sump #1	numeric
DrainOut	outputevents	42788	Drain Out #4 T Tube	numeric
DrainOut	outputevents	40290	Drain Out #4 Pigtail	numeric
DrainOut	outputevents	42582	Drain Out #5 T Tube	numeric
DrainOut	outputevents	41213	Drain Out #5 Jackson Pratt	numeric
DrainOut	outputevents	226610	Lumbar	numeric
DrainOut	outputevents	40470	paracentesis	numeric
DrainOut	outputevents	43246	Repogle Tube NG	numeric
DrainOut	outputevents	40073	PACU Out PACU Drains	numeric
DrainOut	outputevents	226628	PACU Drains	numeric
DrainOut	outputevents	44002	NSS VIA PIGTAIL TUBE	numeric
DrainOut	outputevents	44201	lumbar drain	numeric
DrainOut	outputevents	226597	JP Medial	numeric
DrainOut	outputevents	226598	JP Lateral	numeric
DrainOut	outputevents	226574	Jejunostomy	numeric
DrainOut	outputevents	226602	Jackson Pratt #4	numeric
DrainOut	outputevents	226601	Jackson Pratt #3	numeric
DrainOut	outputevents	226600	Jackson Pratt #2	numeric
DrainOut	outputevents	226612	Pericardial	numeric
DrainOut	outputevents	40092	Drain Out #4 Jackson Pratt	numeric
DrainOut	outputevents	40075	Drain Out #1 Pigtail	numeric
DrainOut	outputevents	41898	Drain Out #3 T Tube	numeric
DrainOut	outputevents	40066	Drain Out #1 Tap	numeric
DrainOut	outputevents	40554	Drain Out #1 Sump	numeric
DrainOut	outputevents	41868	Drain Out #1 Rt Nephrostomy	numeric
DrainOut	outputevents	226605	Hemovac #2	numeric
DrainOut	outputevents	40077	Drain Out #1 Pericardial	numeric
DrainOut	outputevents	40294	Drain Out #1 Other	numeric
DrainOut	outputevents	41867	Drain Out #1 Lumbar	numeric
DrainOut	outputevents	226625	Tap	numeric
DrainOut	outputevents	41184	Drain Out #1 Lt Nephrostomy	numeric
DrainOut	outputevents	40703	Drain Out #1 JP Lateral	numeric
DrainOut	outputevents	40614	Drain Out #1 Jejunostomy Tube	numeric
DrainOut	outputevents	40071	Drain Out #1 Jackson Pratt	numeric
DrainOut	outputevents	40070	Drain Out #1 Hemovac	numeric
DrainOut	outputevents	42287	drain irrigant	numeric
DrainOut	outputevents	227701	Drainage Bag	numeric
DrainOut	outputevents	43178	Repogle Tube OGT	numeric
DrainOut	outputevents	40926	Drain Out #1 JP Medial	numeric
DrainOut	outputevents	40093	Drain Out #1 T Tube	numeric
DrainOut	outputevents	226599	Jackson Pratt #1	numeric
DrainOut	outputevents	40086	Drain Out #2 Pigtail	numeric
DrainOut	outputevents	226603	T Tube	numeric
DrainOut	outputevents	40292	Drain Out #2 T Tube	numeric
DrainOut	outputevents	40538	Drain Out #2 Sump	numeric
DrainOut	outputevents	226623	Penrose #1	numeric
DrainOut	outputevents	40080	Drain Out #2 Other	numeric
DrainOut	outputevents	40729	Drain Out #2 Lumbar	numeric
DrainOut	outputevents	40088	Drain Out #3 Jackson Pratt	numeric
