signal	source	code	description	type
AADO2	labevents	50801	Alveolar-arterial Gradient	numeric
ALKP	labevents	50863	Alkaline Phosphatase	numeric
ALKP	chartevents	773	Alk. Phosphate	numeric
ALKP	chartevents	225612	Alkaline Phosphate	numeric
ALT	labevents	50861	Alanine Aminotransferase (ALT)	numeric
AST	labevents	50878	Asparate Aminotransferase (AST)	numeric
Abdominal_Asses	chartevents	27	Abdominal Assessment	string
Acanthocytes	labevents	51134	Acanthocytes	string
Acetaminophen	labevents	50856	Acetaminophen	numeric
Acetone	labevents	50857	Acetone	string
Activity	chartevents	31	Activity	string
Airway_Size	chartevents	39	Airway Size	string
Airway_Type	chartevents	40	Airway Type	string
Albumin	labevents	50862	Albumin	numeric
Alpha_Fetoprotein	labevents	50864	Alpha-Fetoprotein	numeric
Ammonia	labevents	50866	Ammonia	numeric
Amylase	labevents	50867	Amylase	numeric
SerumAnionGap	labevents	50868	Anion Gap	numeric
SerumAnionGap	chartevents	227073	Anion gap	numeric
Anisocytosis	labevents	51137	Anisocytosis	string
Apgar10Min	chartevents	4186	10 min	numeric
Apgar1Min	chartevents	4184	Apgar      1 min	numeric
Apgar5Min	chartevents	4185	5 min	numeric
Apnea_Time_Interval	chartevents	223876	Apnea Interval	numeric
Apnea_Time_Interval	chartevents	50	Apnea Time Interval	numeric
Art_PaCO2	chartevents	778	Arterial PaCO2	numeric
Art_PaCO2	chartevents	220235	Arterial CO2 Pressure	numeric
Art_PaO2	chartevents	779	Arterial PaO2	numeric
Art_PaO2	chartevents	220224	Arterial O2 pressure	numeric
Arterial_BP_Dia	chartevents	220051	Arterial Blood Pressure diastolic	numeric
Arterial_BP_Dia	chartevents	8368	Arterial BP [Diastolic]	numeric
Arterial_BP_Mean	chartevents	220052	Arterial Blood Pressure mean	numeric
Arterial_BP_Mean	chartevents	52	Arterial BP Mean	numeric
Arterial_BP_Sys	chartevents	51	Arterial BP [Systolic]	numeric
Arterial_BP_Sys	chartevents	220050	Arterial Blood Pressure systolic	numeric
Ascites_Albumin	labevents	50835	Albumin, Ascites	numeric
Ascites_Amylase	labevents	50836	Amylase, Ascites	numeric
Ascites_Glucose	labevents	50842	Glucose, Ascites	numeric
Ascites_Lactate	labevents	50843	Lactate Dehydrogenase, Ascites	numeric
Ascites_Lymphocytes%	labevents	51116	Lymphocytes	numeric
Ascites_Macrophage%	labevents	51117	Macrophage	numeric
Ascites_Monocytes%	labevents	51120	Monocytes	numeric
Ascites_Polys%	labevents	51125	Polys	numeric
Ascites_RBC	labevents	51127	RBC, Ascites	numeric
Ascites_Protein_Total	labevents	50849	Total Protein, Ascites	numeric
Ascites_WBC	labevents	51128	WBC, Ascites	numeric
Atypical_Lymphocytes%	labevents	51143	Atypical Lymphocytes	numeric
BUN	labevents	51006	Urea Nitrogen	numeric
BUN	chartevents	225624	BUN	numeric
BUN	chartevents	781	BUN (6-20)	numeric
BUN	chartevents	1162	BUN	numeric
Barbiturates	labevents	50879	Barbiturate Screen	string
Base_excess	labevents	50802	Base Excess	numeric
Base_excess	chartevents	224828	Arterial Base Excess	numeric
Base_excess	chartevents	776	Arterial Base Excess	numeric
Basophilic_Stippling	labevents	51145	Basophilic Stippling	string
Basophils%	labevents	51146	Basophils	numeric
Benzodiazepines	labevents	50880	Benzodiazepine Screen	string
