signal	unit	muliplier	addition	Round	
AADO2	None	1	0	1	
AADO2	mm Hg	1	0	1	
ALKP	None	1	0	1	
ALKP	IU/L	1	0	1	
ALT	None	1	0	1	
ALT	IU/L	1	0	1	
AST	None	1	0	1	
AST	IU/L	1	0	1	
Acetaminophen	ug/mL	1	0	1	
Albumin	None	1	0	0.1	
Albumin	g/dL	1	0	0.1	
Alpha_Fetoprotein	nG/ML	1	0	0.1	
Alpha_Fetoprotein	ng/mL	1	0	0.1	
Ammonia	umol/L	1	0	1	
Amylase	IU/L	1	0	1	
SerumAnionGap	None	1	0	1	
SerumAnionGap	mEq/L	1	0	1	
Apgar10Min	None	1	0	1	
Apgar1Min	None	1	0	1	
Apgar5Min	None	1	0	1	
Apnea_Time_Interval	sec	1	0	1	
Apnea_Time_Interval	None	1	0	1	
Art_PaCO2	None	1	0	1	
Art_PaCO2	mmHg	1	0	1	
Art_PaO2	None	1	0	1	
Art_PaO2	mmHg	1	0	1	
Arterial_BP_Dia	mmHg	1	0	1	
Arterial_BP_Mean	mmHg	1	0	1	
Arterial_BP_Mean	None	1	0	1	
Arterial_BP_Sys	None	1	0	1	
Arterial_BP_Sys	mmHg	1	0	1	
Ascites_Albumin	g/dL	1	0	0.1	
Ascites_Amylase	IU/L	1	0	1	
Ascites_Glucose	mg/dL	1	0	1	
Ascites_Lactate	IU/L	1	0	1	
Ascites_Lymphocytes%	%	1	0	1	
Ascites_Macrophage%	%	1	0	1	
Ascites_Monocytes%	%	1	0	1	
Ascites_Polys%	%	1	0	1	
Ascites_RBC	#/CU MM	1	0	1	
Ascites_RBC	#/uL	1	0	1	
Ascites_Protein_Total	g/dL	1	0	1	
Ascites_WBC	#/CU MM	1	0	1	
Ascites_WBC	#/uL	1	0	1	
Atypical_Lymphocytes%	None	1	0	1	
Atypical_Lymphocytes%	%	1	0	1	
BUN	None	1	0	1	
BUN	mg/dL	1	0	1	
Base_excess	None	1	0	1	
Base_excess	mEq/L	1	0	1	
Basophils%	None	1	0	0.11	
Basophils%	%	1	0	0.1	
Bicarbonate	None	1	0	1	
Bicarbonate	mEq/L	1	0	1	
Bicarbonate	MEQ/L	1	0	1	
Bilirubin	None	1	0	0.1	
Bilirubin	mg/dL	1	0	0.1	
BirthTime	None	1	0	1	
Blasts%	%	1	0	1	
C3	mg/dL	0.01	0	1	
C4	mg/dL	0.01	0	1	
CD3	#/uL	1	0	1	
CD3%	%	1	0	1	
CD4	#/uL	1	0	1	
CD4%	%	1	0	1	
CD4_Over_CD8	Ratio	1	0	1	
CD8	#/uL	1	0	1	
CD8%	%	1	0	1	
CEA	ng/mL	1	0	0.1	
CK_MB_INDEX	None	1	0	0.1	
CK_MB_INDEX	%	1	0	0.1	
CRP	None	1	0	0.1	
CRP	mg/dL	1	0	0.1	
CRP	MG/DL	1	0	0.1	
CRP	mg/L	1	0	0.1	
CSF_Glucose	mg/dL	1	0	1	
CSF_Lymphocytes%	%	1	0	1	
CSF_Monocytes%	%	1	0	1	
CSF_Polys%	%	1	0	1	
CSF_RBC	#/uL	1	0	1	
CSF_Protein_Total	mg/dL	1	0	1	
CSF_WBC	#/uL	1	0	1	
CVP	mmHg	1	0	1	
CVP	None	1	0	1	
CVP	%	1	0	1	
Ca	None	1	0	0.1	
Ca	mg/dL	1	0	0.1	
Ca	mg/dl	1	0	0.1	
Carboxyhemoglobin	%	1	0	1	
Cl	None	1	0	1	
Cl	mEq/L	1	0	1	
Cholesterol	None	1	0	1	
Cholesterol	mg/dL	1	0	1	
B12	pg/mL	1	0	1	
Cortisol	None	1	0	1	
Cortisol	ug/dL	1	0	1	
Creatinine	None	1	0	0.1	
Creatinine	mg/dL	1	0	0.1	
Creatine_Kinase	None	1	0	1	
Creatine_Kinase	IU/L	1	0	1	
Creatine_Kinase_MB	None	1	0	1	
Creatine_Kinase_MB	ng/mL	1	0	1	
BP_Dia_newborn	cc/min	1	0	1	
BP_Mean_newborn	None	1	0	1	
BP_Mean_newborn	cc/min	1	0	1	
BP_Sys_newborn	None	1	0	1	
BP_Sys_newborn	cc/min	1	0	1	
Cyclosporine	ng/mL	1	0	1	
D_DIMER	ng/mL	1	0	1	
D_DIMER	None	1	0	1	
Digoxin	ng/mL	1.281	0	0.1	
Bilirubin_Direct	None	1	0	0.1	
Bilirubin_Direct	mg/dL	1	0	0.1	
Eosinophils%	None	1	0	0.1	
Eosinophils%	%	1	0	0.1	
ESR	mm/hr	1	0	5	
Ethanol	mg/dL	1	0	1	
ExpRatio	None	1	0	0.1	
Ferritin	ng/ml	1	0	1	
Ferritin	ng/mL	1	0	1	
FiO2	None	1	0	1	
FiO2	torr	1	0	1	
FiO2	%	1	0	1	
Fibrinogen	mg/dL	1	0	1	
FingerStick_Glucose	None	1	0	1	
Folate	ng/mL	1	0	0.1	
FreeT4	None	1	0	0.1	
FreeT4	ng/dL	12.872	0	0.1	0.1
GCS_Total	points	1	0	1	
GGT	IU/L	1	0	1	
Gentamicin	ug/mL	1	0	0.1	
Globulin	g/dL	1	0	0.1	
Glucose	None	1	0	1	
Glucose	mg/dL	1	0	1	
Granulocytes	#/uL	1	0	1	
HDL	None	1	0	1	
HDL	mg/dL	1	0	1	
Haptoglobin	mg/dL	1	0	1	
Haptoglobin	MG/DL	1	0	1	
HbA1C	%	1	0	0.1	
Heart_Rate	bpm	1	0	1	
Heart_Rate	BPM	1	0	1	
Height	Inch	2.54	0	0.01	1
Height	None	1	0	0.01	1
Height	inches	2.54	0.01	1	1
Height	cm	1	0	0.01	1
Hematocrit	None	1	0	0.1	
Hematocrit	%	1	0	0.1	
Hemoglobin	g/dl	1	0	0.1	
Hemoglobin	None	1	0	0.1	
Hemoglobin	g/dL	1	0	0.1	
Hemoglobin	gm/dl	1	0	0.1	
INR	None	1	0	0.1	
I_E_Ratio	None	1	0	0.1	
IgA	mg/dL	1	0	1	
IgG	mg/dL	1	0	1	
IgM	mg/dL	1	0	1	
Bilirubin_Indirect	mg/dL	1	0	0.1	
Bilirubin_Indirect	None	1	0	0.1	
InspRatio	None	1	0	0.1	
InspTime	sec	1	0	0.01	
InspTime	None	1	0	0.01	
Iron_Fe	ug/dL	1	0	1	
Iron_Binding_Capacity	ug/dL	1	0	1	
LDH	IU/L	1	0	1	
LDH	None	1	0	1	
LDL	None	1	0	1	
LDL	mg/dL	1	0	1	
Lactate	None	1	0	0.1	
Lactate	mmol/L	9.009	0	0.1	
Lipase	IU/L	1	0	1	
Lipase	None	1	0	1	
Lymphocytes#	#/uL	1	0	1	
Lymphocytes%	None	1	0	1	
Lymphocytes%	%	1	0	1	
MCH	None	1	0	0.1	
MCH	pg	1	0	0.1	
MCHC	None	1	0	0.1	
MCHC	%	1	0	0.1	
MCV	None	1	0	1	
MCV	fL	1	0	1	
Mg	None	0.4114	0	0.1	
Mg	mg/dL	0.4114	0	0.1	
Mean_Airway_Pressure	None	1	0	1	
Mean_Airway_Pressure	cmH2O	1	0	1	
Metamyelocytes%	None	1	0	1	
Metamyelocytes%	%	1	0	1	
Methemoglobin_Over_Hemoglobin	%	1	0	0.1	
Minute_Vol	None	1	0	0.1	
Minute_Vol	L/min	1	0	0.1	
Monocytes%	None	1	0	1	
Monocytes%	%	1	0	1	
Myelocytes%	None	1	0	1	
Myelocytes%	%	1	0	1	
Bands%	None	1	0	1	
Bands%	%	1	0	1	
Neutrophils%	None	1	0	1	
Neutrophils%	%	1	0	1	
NonInvasive_BP_Dia	mmHg	1	0	1	
NonInvasive_BP_Mean	None	1	0	1	
NonInvasive_BP_Mean	mmHg	1	0	1	
NonInvasive_BP_Sys	None	1	0	1	
NonInvasive_BP_Sys	mmHg	1	0	1	
Nucleated_Erythrocytes%	%	1	0	1	
O2_Flow	None	1	0	1	
O2_Flow	lpm	1	0	1	
O2_Flow	L/min	1	0	1	
Osmolality	MOSM/KG	1	0	1	
