frequencycode	frequencycodeHier	per day
877	0: 877~1: 1/d	1
878	0: 878~1: 2/d	2
879	0: 879~1: 3/d	3
2071005	0: 2071005~1: SOS	1
880	0: 880~1: 4/d	4
2072630	0: 2072630~1: 1/D ערב	1
0	None	999
2072627	0: 2072627~1: 1/D בוקר	1
68952	0: 68952~1: PRN	1
97829	0: 97829~1: 1/W	0.14
1720138	0: 1720138~1: Once	1
7871	0: 7871~1: 6/d	6
800971	0: 800971~1: Cont Drip	999
2072660	0: 2072660~1: 1/D לילה	1
733762	0: 733762~1: 3/W	0.43
198576	0: 198576~1: 2/W	0.28
Null	None	999
881	0: 881~1: 5/d	5
2072629	0: 2072629~1: 1/D צהרים	1
733763	0: 733763~1: 1/M	1
2509114	0: 2509114~1: 8/d	8
2748014	0: 2748014~1: Once Immediate	1
2708551	0: 2708551~1: מינון משתנה	999
733764	0: 733764~1: 2/M	2
10418	None	999
2072659	0: 2072659~1: 3/D בוקר-צהרים-ערב	3
2072658	0: 2072658~1: 2/D בוקר-ערב	2
1116248	0: 1116248~1: /d	1
3038000	0: 3038000~1: 12/d	12
2761315	0: 2761315~1: 4/W	0.57
2769145	0: 2769145~1: Cont_Dribble	999
5378537	0: 5378537~1: 1/8w	0.0178
5378541	0: 5378541~1: 1/4w	0.0625
2509113	0: 2509113~1: 7/d	7
2072657	0: 2072657~1: 2/D בוקר-צהרים	2
2523891	0: 2523891~1: 10/d	10
3280201	0: 3280201~1: 5/W	0.71
3223533	0: 3223533~1: 14/d	14
733765	0: 733765~1: 3/M	3
3864086	0: 3864086~1: Once Immediate Doc	1
3223540	0: 3223540~1: 21/d	21
5378540	0: 5378540~1: 1/6w	0.0238
800972	0: 800972~1: 24 שעות	1
3280202	0: 3280202~1: 6/W	0.86
2072661	0: 2072661~1: 2/D בוקר-לילה	2
2072663	0: 2072663~1: 4/D בוקר-צהרים-ערב-לילה	4
2072662	0: 2072662~1: 3/D בוקר-צהרים-ערב	3
2662779	0: 2662779~1: PCA	999
733767	0: 733767~1: 4/M	4
2523890	0: 2523890~1: 9/d	9
3077583	0: 3077583~1: Cont_Immediate	999
3222949	0: 3222949~1: 24/d	24
5341742	0: 5341742~1: 48 hours	0.5
4083940	0: 4083940~1: Cont_Immediate_Doc	999
6643342	None	999
3225427	0: 3225427~1: During_day_17	1
3223539	0: 3223539~1: 20/d	20
3223536	0: 3223536~1: 17/d	17
5341740	0: 5341740~1: 24 hours	1
5884388	0: 5884388~1: 3 hours(X8)	8
3037999	0: 3037999~1: 11/d	11
3223535	0: 3223535~1: 16/d	16
5884391	0: 5884391~1: 8 hours (X3)	3
5341737	0: 5341737~1: 12 hours	2
5341741	0: 5341741~1: 36 hours	2
3223534	0: 3223534~1: 15/d	15
3223537	0: 3223537~1: 18/d	18
