routecode	routecodeHier	formcode	formcodeHier	Route|FORM
2064419	0: 2064419~1: EPI	Null	None	Unknown
2064419	0: 2064419~1: EPI	50486	0: 50486~1: AMP	Unknown
2064419	0: 2064419~1: EPI	50495	0: 50495~1: LIQ	Unknown
2064419	0: 2064419~1: EPI	50506	0: 50506~1: TAB	Unknown
2064419	0: 2064419~1: EPI	50489	0: 50489~1: DRP	Unknown
2064419	0: 2064419~1: EPI	50493	0: 50493~1: INH	Unknown
2064419	0: 2064419~1: EPI	50501	0: 50501~1: SOL	Unknown
2064419	0: 2064419~1: EPI	50488	0: 50488~1: CRM	Unknown
2064419	0: 2064419~1: EPI	-1	None	Unknown
2064419	0: 2064419~1: EPI	50502	0: 50502~1: SPR	Unknown
2064419	0: 2064419~1: EPI	50494	0: 50494~1: INJ	Unknown
2064419	0: 2064419~1: EPI	50497	0: 50497~1: OINT	Unknown
2064419	0: 2064419~1: EPI	50487	0: 50487~1: CAP	Unknown
2064419	0: 2064419~1: EPI	630201	0: 630201~1: PATCH	Unknown
2064419	0: 2064419~1: EPI	50505	0: 50505~1: SYR	Unknown
2064419	0: 2064419~1: EPI	50504	0: 50504~1: SUS	Unknown
2066657	0: 2066657~1: P.J	50506	0: 50506~1: TAB	P.Z|TAB
2066657	0: 2066657~1: P.J	50505	0: 50505~1: SYR	P.Z|TAB
2066657	0: 2066657~1: P.J	50486	0: 50486~1: AMP	P.Z|TAB
2066657	0: 2066657~1: P.J	50495	0: 50495~1: LIQ	P.Z|TAB
2066657	0: 2066657~1: P.J	50501	0: 50501~1: SOL	P.Z|TAB
2066657	0: 2066657~1: P.J	Null	None	P.Z|TAB
2066657	0: 2066657~1: P.J	50489	0: 50489~1: DRP	P.Z|TAB
2066657	0: 2066657~1: P.J	50491	0: 50491~1: EML	P.Z|TAB
2066657	0: 2066657~1: P.J	50487	0: 50487~1: CAP	P.Z|TAB
2066657	0: 2066657~1: P.J	50499	0: 50499~1: POW	P.Z|TAB
2066657	0: 2066657~1: P.J	50492	0: 50492~1: GEL	P.Z|TAB
2066657	0: 2066657~1: P.J	50504	0: 50504~1: SUS	P.Z|TAB
2066657	0: 2066657~1: P.J	50490	0: 50490~1: ELX	P.Z|TAB
2066657	0: 2066657~1: P.J	0	None	P.Z|TAB
2066657	0: 2066657~1: P.J	50503	0: 50503~1: SUP	Unknown
2129401	0: 2129401~1: S.L.	50506	0: 50506~1: TAB	S.L|TAB
2129401	0: 2129401~1: S.L.	50487	0: 50487~1: CAP	S.L|TAB
2129401	0: 2129401~1: S.L.	Null	None	S.L|TAB
2129401	0: 2129401~1: S.L.	0	None	S.L|TAB
2129401	0: 2129401~1: S.L.	50502	0: 50502~1: SPR	S.L|SPR
2129401	0: 2129401~1: S.L.	50486	0: 50486~1: AMP	S.L|SPR
2129401	0: 2129401~1: S.L.	50495	0: 50495~1: LIQ	S.L|SPR
