signal	unit	muliplier	addition
AlbuminELCP%	%	1.0	0
Albumin	g/dL	1.0	0
Albumin	Null	1.0	0
ALP	Null	1.0	0
ALP	U/L	1.0	0
Alpha1Globulin	%	1.0	0
Alpha2Globulin	%	1.0	0
ALT	Null	1.0	0
ALT	U/L	1.0	0
Amylase	U/L	1.0	0
Urine_Amylase	U/L	1.0	0
AST	U/L	1.0	0
AST	Null	1.0	0
Atypical_Lymphocytes	%	1.0	0
B12	Null	1.0	0
B12	pg/ml	1.0	0
Bands%	%	1.0	0
Bands#	X10^3/µL	1.0	0
Base_excess	Null	1.0	0
Base_excess	MMOL/L	1.0	0
Basophils#	x10^3/µL	1.0	0
Basophils#	x10^3/mcrl	1.0	0
Basophils%	%	1.0	0
Basophils%	Null	1.0	0
BetaGlobulin	%	1.0	0
Bicarbonate	MMOL/L	1.0	0
Bicarbonate	mmol\L	1.0	0
Bilirubin	MG/DL	1.0	0
Bilirubin_Direct	MG/DL	1.0	0
Urine_RBC	ERY/µL	1.0	0
Urine_RBC	Null	1.0	0
BNP	PG/ML	1.0	0
Ca	MG/DL	1.0	0
Ca	Null	1.0	0
freeCalcium	MMOL/L	1.0	0
freeCalcium	mmol\L	1.0	0
Cl	MMOL/L	1.0	0
Cl	mmol\L	1.0	0
Cl	Null	1.0	0
Cholesterol	MG/DL	1.0	0
Cholesterol	Null	1.0	0
C3	MG/DL	0.01	0
C4	MG/DL	0.01	0
Creatinine	MG/DL	1.0	0
Creatinine	Null	1.0	0
Creatine_Kinase	U/L	1.0	0
Urine_Creatinine_24h	MG/24H	1.0	0
Urine_Creatinine_24h	MG/24HRS	1.0	0
CRP	MG/DL	1.0	0
CRP	MG/L	0.1	0
Cyclosporine	NG/ML	1.0	0
D_DIMER	MG/L	1000.0	0
D_DIMER	NG/ML	1.0	0
Eosinophils#	X10^3/µL	1.0	0
Eosinophils#	X10^3/MCRL	1.0	0
Eosinophils%	%	1.0	0
ESR	MM/HR	1.0	0
ESR	Null	1.0	0
Ferritin	NG/ML	1.0	0
Fibrinogen	MG/DL	1.0	0
Folate	NG/ML	1.0	0
Folate	mg/ml	1.0	0
FreeT4	Null	1	0
FreeT4	PMOL/L	1	0
Hemoglobin	Null	1.0	0
Hemoglobin	g/dl	1.0	0
Hemoglobin	g%	1.0	0
Hemoglobin	GR%	1.0	0
GammaGlobulin	%	1.0	0
GGT	U/L	1.0	0
GGT	Null	1.0	0
Glucose	MG/DL	1.0	0
Glucose	Null	1.0	0
Urine_Glucose	MG/DL	1.0	0
HbA1C	MMOL/MOL	0.09148	2.152
HbA1C	%	1.0	0
HbA1C	Null	1.0	0
HDL	MG/DL	1.0	0
HDL	Null	1.0	0
HDW	%	1.0	0
