Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016
B83..00	1	1	Carcinoma in situ of breast and genitourinary system		CIS	?	?
B900011	13	12	Mixed parotid tumour		Cancer	?	?
B905400	35	31	Gastrointestinal stromal tumour		Cancer	?	?
B907.00	0	0	Neoplasm of uncertain behaviour trachea, bronchus and lung		Ca_bg	?	?
B911000	2	2	Malignant hydatidiform mole		Cancer	?	?
B937000	7	7	Refractory anaemia without sideroblasts, so stated		Ca_bg	?	?
B142.00	44	37	Malignant neoplasm of anal canal		Cancer	Anal	Anus
B143.00	21	20	Malignant neoplasm of anus unspecified		Cancer	Anal	Anus
B805.00	1	1	Carcinoma in situ of anal canal		CIS	Anal	Anus
B33..11	16234	10938	Basal cell carcinoma	this is apparently a morphology as its so common	Cancer	BCC	Skin
B16..00	11	9	Malignant neoplasm gallbladder and extrahepatic bile ducts		Cancer	Biliary Tract	Biliary Tract
B49..00	1450	1191	Malignant neoplasm of urinary bladder		Cancer	Bladder	Bladder
B4A3.00	4	4	Malignant neoplasm of urethra		Cancer	Bladder	Bladder
B837.00	180	161	Carcinoma in situ of bladder		CIS	Bladder	Bladder
B917.00	11	11	Neoplasm of uncertain behaviour of bladder		Ca_bg	Bladder	Bladder
B917.12	11	11	Transitional cell papilloma of bladder		Cancer	Bladder	Bladder
BA04.00	36	36	Neoplasm of unspecified nature of bladder		Ca_bg	Bladder	Bladder
B6...00	61	61	Malignant neoplasm of lymphatic and haemopoietic tissue		Cancer	na	Blood
B602.00	13	11	Burkitt's lymphoma		Cancer	NHL	Blood
B602300	2	2	Burkitt's lymphoma of intra-abdominal lymph nodes		Cancer	NHL	Blood
B61..00	70	55	Hodgkin's disease		Cancer	HODG	Blood
B62..00	16	16	Other malignant neoplasm of lymphoid and histiocytic tissue		Cancer	NHL	Blood
B624.00	2	2	Leukaemic reticuloendotheliosis		Cancer	HCL	Blood
B624.12	32	27	Hairy cell leukaemia		Cancer	HCL	Blood
