signal	unit	muliplier	addition
ALKP	null value	1.0	
ALKP	IU/mL	1.0	
ALKP	/uL	1.0	
ALKP	uL	1.0	
ALKP	IU	1.0	
ALKP	U/L	1	
ALKP	IU/L	1	
ALKP	%	1	
ALT	IU/L	1	
ALT	/uL	1.0	
ALT	uL	1.0	
ALT	U/L	1.0	
ALT	IU	1.0	
ALT	IU/L 37C	1.0	
ALT	IU/d	10.0	
ALT	ng/mL	1.0	
ALT	ug/L	1.0	
ALT	nmol/L	1.0	
ALT	null value	1.0	
AST	null value	1.0	
AST	U/L	1	
AST	IU/L	1	
Albumin	g/L	0.1	
Albumin	null value	0.1	
Albumin	mmol/L	0.1	
B12	ng/L	1.0	
B12	pg/mL	1.0	
B12	pmol/L	1.0	
B12	ug/L	1.0	
B12	ug/mL	1.0	
B12	umol/L	1.0	
B12	null value	1	
B12	mmol/L	1	
B12	ng/mL	1	
B12	pg/L	1	
Basophils#	%	1.0	
Basophils#	(pH)	1.0	
Basophils#	*10^9/L	1.0	
Basophils#	*10^9/l	1.0	
Basophils#	/L	1.0	
Basophils#	/mL	1.0	
Basophils#	1	1.0	
Basophils#	10*12/L	1.0	
Basophils#	10*9	1.0	
Basophils#	L	1.0	
Basophils#	10*9/L	1.0	
Basophils#	null value	1.0	
Bicarbonate	mmol/L	1.0	
Bicarbonate	meq/L	1.0	
Bicarbonate	null value	0.0585	
Bilirubin	MicroU/L	0.0585	
Bilirubin	mmol/L	0.0585	
Bilirubin	umol/L	0.0585	
Bilirubin	mol/L	0.0585	
Bilirubin	null value	0.0585	
CO2	mmol/L	1	
CO2	null value	1.0	
CRP	mg/L	0.1	
CRP	mg/mmol	0.1	
CRP	null value	0.1	
CRP	ratio	0.1	
CRP	ug/mL	0.1	
CRP	mmol/L	0.1	
Cl	mmol/L	1.0	
Cl	null value	1.0	
Cholesterol	mol/L	38.61	
Cholesterol	mmol/L	38.61	
Cholesterol	mg/dL	1.0	
Cholesterol	null value	38.61	
Cholesterol_over_HDL	/mL	1.0	
Cholesterol_over_HDL	1	1.0	
Cholesterol_over_HDL	IU/mL	1.0	
Cholesterol_over_HDL	%	Formula1	
Cholesterol_over_HDL	mmol/L	1.0	
Cholesterol_over_HDL	null value	1.0	
Cholesterol_over_HDL	ratio	1.0	
Cholesterol_over_HDL	01-Jan	1.0	
Cholesterol_over_HDL	U/L	1	
Cholesterol_over_HDL	mL/min/1.73m*2	1	
Cholesterol_over_HDL	ml/min/1.73m2	1	
Cholesterol_over_HDL	mmol/mmol	1	
HDL_over_Cholesterol	ratio	0.1	
HDL_over_Cholesterol	%	0.01	
HDL_over_Cholesterol	1	0.1	
HDL_over_Cholesterol	01-Jan	0.	1
HDL_over_Cholesterol	mmol/L	0.1	
CorrectedCa	mmol/L	4.0	
CorrectedCa	null value	4.0	
CorrectedCa	mol/L	4	
Digoxin	nmol/L	1.0	
Digoxin	ng/mL	1.281	
Digoxin	ug/L	1.281	
Digoxin	null value	1.281	
Eosinophils#	(pH	1.0	
Eosinophils#	(pH)	1.0	
Eosinophils#	*10^9/L	1.0	
Eosinophils#	*10^9/l	1.0	
Eosinophils#	/L	1.0	
Eosinophils#	/mL	1.0	
Eosinophils#	1	1.0	
Eosinophils#	10*12/L	1.0	
Eosinophils#	10*9	1.0	
Eosinophils#	10*9/mL	1.0	
Eosinophils#	<None>	1.0	
Eosinophils#	L	1.0	
Eosinophils#	10*9/L	1.0	
Eosinophils#	null value	1.0	
Eosinophils#	x10*9/l	1.0	
Eosinophils#	x10\S\9l	1.0	
Eosinophils#	x10^9/L	1.0	
Eosinophils#	x10^9/l	1.0	
Eosinophils#	mmol/L	1.0	
Eosinophils#	x 10 ^ 9/l	1.0	
Eosinophils#	x 10^9/l	1.0	
Eosinophils#	x10*9/L	1.0	
Eosinophils#	x10e9/l	1.0	
Eosinophils#	g/L	1	
Ferritin	/L	1.0	
Ferritin	L	1.0	
Ferritin	MicroU/L	1.0	
Ferritin	ug/L	1.0	
Ferritin	g/L	1.0	
Ferritin	mg/L	1.0	
Ferritin	ng/L	1.0	
Ferritin	ng/mL	1.0	
Ferritin	ug/mL	1.0	
Ferritin	null value	1	
Ferritin	%	1	
Ferritin	mU/L	1	
Ferritin	nmol/L	1	
Fibrinogen	g/L	100	
Fibrinogen	g/dL	100	
Fibrinogen	mg/dL	1	
Fibrinogen	10*3	10	
Fibrinogen	null value	100	
Follic_Acid	g/L	1.0	
Follic_Acid	ug/L	1.0	
Follic_Acid	MicroU/L	1.0	
Follic_Acid	mg/L	1.0	
Follic_Acid	ng/mL	1.0	
Follic_Acid	nmol/L	1.0	
Follic_Acid	null value	1	
Follic_Acid	ng/L	1.0	
Follic_Acid	/L	1	
FreeT3	pmol/L	1.0	
FreeT3	nmol/L	1.0	
FreeT3	null value	1.0	
FreeT4	pmol/L	1.0	
FreeT4	nmol/L	1.0	
FreeT4	ug/d	0.128	
FreeT4	null value	1.0	
GFR	mL/min	1.0	
GFR	<None>	1.0	
GFR	/mL	1.0	
GFR	ml/min/1.73m*2	1.0	
GFR	mL/min/1.73m*2	1.0	
GFR	mL/24h/1.73m*2	1.0	
GFR	mL/min/1.73m2	1.0	
GFR	mL/s	1.0	
GFR	/minute	1.0	
GFR	mg/mol	1.0	
GFR	L/min	1.0	
GFR	/min	1.0	
GFR	lm/m2	1.0	
GFR	m2	1.0	
GFR	mg/mmol	1.0	
GFR	ml/min/1.73m	1.0	
GFR	ratio	1.0	
GFR	null value	1	
GFR	#G ( )/L	1	
GFR	IU	1	
