readcode	value1	value2
136..00	100.0	-9.0
136X.00	2.0	-9.0
136Q.00	2.0	70.0
E250000	2.0	-9.0
136W.00	2.0	-9.0
9k11.00	2.0	-9.0
E250.00	2.0	-9.0
136T.00	2.0	-9.0
E23..00	5.0	-9.0
E23..11	5.0	-9.0
J612.00	5.0	-9.0
8IAF.00	2.0	-9.0
8IAJ.00	2.0	-9.0
Z786200	2.0	-9.0
8BA8.00	5.0	-9.0
E250200	2.0	-9.0
136S.00	2.0	-9.0
136P.00	2.0	56.0
E23..12	5.0	-9.0
1363.00	2.0	7.0
136L.00	2.0	7.0
1367.00	1.0	-9.0
6792.00	2.0	-9.0
1364.00	2.0	30.0
1361.12	3.0	0.0
1361.11	3.0	0.0
136M.00	4.0	0.0
136K.00	5.0	-9.0
8CAM.00	2.0	-9.0
1365.00	2.0	56.0
67H0.00	2.0	-9.0
1366.00	2.0	70.0
136F.00	2.0	-9.0
136R.00	2.0	-9.0
Eu10211	5.0	-9.0
1362.00	2.0	1.0
13Y8.00	2.0	-9.0
8H7p.00	2.0	-9.0
E010.00	5.0	-9.0
F11x011	5.0	-9.0
E231z00	5.0	-9.0
E23z.00	5.0	-9.0
Eu10712	5.0	-9.0
F375.00	5.0	-9.0
E011000	5.0	-9.0
J617000	5.0	-9.0
E231100	5.0	-9.0
Eu10200	5.0	-9.0
E230000	5.0	-9.0
E013.00	5.0	-9.0
E230z00	5.0	-9.0
Eu10411	5.0	-9.0
E231300	5.0	-9.0
G852300	5.0	-9.0
8HkG.00	2.0	-9.0
J153.00	2.0	-9.0
Eu10.00	2.0	-9.0
E250.14	2.0	-9.0
G555.00	5.0	-9.0
E230.00	5.0	-9.0
9k1B.00	2.0	-9.0
9k14.00	2.0	-9.0
ZV4KC00	2.0	-9.0
J611.00	2.0	-9.0
8HkJ.00	2.0	-9.0
E231.00	5.0	-9.0
J613000	2.0	-9.0
E250100	2.0	-9.0
Eu10212	5.0	-9.0
J617.00	2.0	-9.0
E01y000	5.0	-9.0
J610.00	2.0	-9.0
1362.11	2.0	1.0
136Z.00	2.0	-9.0
136D.00	1.0	56.0
136A.00	1.0	1.0
136E.00	1.0	70.0
136C.00	1.0	30.0
136B.00	1.0	7.0
136H.00	2.0	-9.0
8CAv.00	2.0	-9.0
136b.00	2.0	-9.0
136O.00	2.0	30.0
38D4.00	1.0	-9.0
388u.00	1.0	-9.0
38D3.00	1.0	-9.0
