signal	unit	muliplier	addition	Round	FinalRound
ALKP	None	1.0	0.0	1.0	
ALKP	IU/mL	1.0	0.0	1.0	
ALKP	/uL	1.0	0.0	1.0	
ALKP	uL	1.0	0.0	1.0	
ALKP	IU	1.0	0.0	1.0	
ALKP	U/L	1	0.0	1.0	
ALKP	IU/L	1	0.0	1.0	
ALKP	%	1	0.0	1.0	
ALT	IU/L	1	0.0	1.0	
ALT	/uL	1.0	0.0	1.0	
ALT	uL	1.0	0.0	1.0	
ALT	U/L	1.0	0.0	1.0	
ALT	IU	1.0	0.0	1.0	
ALT	IU/L 37C	1.0	0.0	1.0	
ALT	IU/d	10.0	0.0	1.0	
ALT	ng/mL	1.0	0.0	1.0	
ALT	ug/L	1.0	0.0	1.0	
ALT	nmol/L	1.0	0.0	1.0	
ALT	None	1.0	0.0	1.0	
AST	None	1.0	0.0	1.0	
AST	U/L	1	0.0	1.0	
AST	IU/L	1	0.0	1.0	
Albumin	g/L	0.1	0.0	0.1	
Albumin	None	0.1	0.0	0.1	
Albumin	mmol/L	0.1	0.0	0.1	
B12	ng/L	1.0	0.0	1.0	
B12	pg/mL	1.0	0.0	1.0	
B12	pmol/L	1.0	0.0	1.0	
B12	ug/L	1.0	0.0	1.0	
B12	ug/mL	1.0	0.0	1.0	
B12	umol/L	1.0	0.0	1.0	
B12	None	1	0.0	1.0	
B12	mmol/L	1	0.0	1.0	
B12	ng/mL	1	0.0	1.0	
B12	pg/L	1	0.0	1.0	
Basophils#	%	1.0	0.0	0.01	
Basophils#	(pH)	1.0	0.0	0.01	
Basophils#	*10^9/L	1.0	0.0	0.01	
Basophils#	*10^9/l	1.0	0.0	0.01	
Basophils#	/L	1.0	0.0	0.01	
Basophils#	/mL	1.0	0.0	0.01	
Basophils#	1	1.0	0.0	0.01	
Basophils#	10*12/L	1.0	0.0	0.01	
Basophils#	10*9	1.0	0.0	0.01	
Basophils#	L	1.0	0.0	0.01	
Basophils#	10*9/L	1.0	0.0	0.01	
Basophils#	None	1.0	0.0	0.01	
Bicarbonate	mmol/L	1.0	0.0	1.0	
Bicarbonate	meq/L	1.0	0.0	1.0	
Bicarbonate	None	0.0585	0.0	1.0	
Bilirubin	MicroU/L	0.0585	0.0	0.01	0.1
Bilirubin	mmol/L	0.0585	0.0	0.01	0.1
Bilirubin	umol/L	0.0585	0.0	0.01	0.1
Bilirubin	mol/L	0.0585	0.0	0.01	0.1
Bilirubin	None	0.0585	0.0	0.01	0.1
CO2	mmol/L	1	0.0	1.0	
CO2	None	1.0	0.0	1.0	
CRP	mg/L	0.1	0.0	0.1	
CRP	mg/mmol	0.1	0.0	0.1	
CRP	None	0.1	0.0	0.1	
CRP	ratio	0.1	0.0	0.1	
CRP	ug/mL	0.1	0.0	0.1	
CRP	mmol/L	0.1	0.0	0.1	
Cl	mmol/L	1.0	0.0	1.0	
Cl	None	1.0	0.0	1.0	
Cholesterol	mmol/L	38.61	0.0	0.1	3.86
Cholesterol	null value	38.61	0.0	0.1	3.86
Cholesterol	None	38.61	0.0	0.1	3.86
Cholesterol	mol/L	38.61	0.0	0.1	3.86
Cholesterol	mg/dL	1.0	0.0	0.1	3.86
Cholesterol_over_HDL	/mL	1.0	0.0	0.1	
Cholesterol_over_HDL	1	1.0	0.0	0.1	
