sig,res,num
ALP,1e-08,368
ALP,0.001,751
ALP,0.01,4810
ALP,0.1,3065
ALP,1.0,20478476
ALP,10.0,2107311
ALP,100.0,184893
ALP,1000.0,200
ALT,1e-08,82
ALT,0.001,202
ALT,0.01,1469
ALT,0.1,3082
ALT,1.0,16455653
ALT,10.0,1794950
ALT,100.0,7730
ALT,1000.0,48
AST,1e-08,14
AST,0.001,31
AST,0.01,211
AST,0.1,460
AST,1.0,4349596
AST,10.0,498025
AST,100.0,1301
AST,1000.0,14
Albmin_over_Creatinine,1e-08,452
Albmin_over_Creatinine,0.0001,1
Albmin_over_Creatinine,0.001,1398
Albmin_over_Creatinine,0.01,14760
Albmin_over_Creatinine,0.1,22948
Albmin_over_Creatinine,1.0,16459
Albmin_over_Creatinine,10.0,1156
Albmin_over_Creatinine,100.0,29
Albmin_over_Creatinine,1000.0,3
Albumin,1e-08,9334
Albumin,0.001,8646
Albumin,0.01,42670
Albumin,0.1,78852
Albumin,1.0,20068006
Albumin,10.0,2035110
Albumin,100.0,53
Amylase,1e-08,14
Amylase,0.001,11
Amylase,0.01,537
Amylase,0.1,762
Amylase,1.0,284626
Amylase,10.0,32532
Amylase,100.0,1355
Amylase,1000.0,25
AnionGap,1e-08,13
AnionGap,0.001,34
AnionGap,0.01,212
AnionGap,0.1,475
AnionGap,1.0,87353
AnionGap,10.0,7912
B12,1e-08,1725
B12,0.0001,2
B12,0.001,2628
B12,0.01,16468
B12,0.1,33083
B12,1.0,2231313
B12,10.0,225799
B12,100.0,39429
B12,1000.0,28291
BasNum,1e-08,691
BasNum,0.001,430052
BasNum,0.01,7657497
BasNum,0.1,4289278
BasNum,1.0,47533
BasNum,10.0,95
BasNum,100.0,2
BasPerc,1e-08,21
BasPerc,0.001,4528
BasPerc,0.01,403501
BasPerc,0.1,559330
BasPerc,1.0,484748
BasPerc,10.0,37
BasPerc,1000.0,1
Bicarbonate,1e-08,965
Bicarbonate,0.001,1178
Bicarbonate,0.01,39354
Bicarbonate,0.1,100593
Bicarbonate,1.0,2667482
Bicarbonate,10.0,264502
Bicarbonate,100.0,6
Bilirubin,1e-08,1623
Bilirubin,0.001,2628
Bilirubin,0.01,15271
Bilirubin,0.1,32324
Bilirubin,1.0,19062097
Bilirubin,10.0,2092393
Bilirubin,100.0,719
Bilirubin,1000.0,3
C3,1e-08,797
C3,0.001,2049
C3,0.01,15287
C3,0.1,1698
C3,1.0,2127
C3,10.0,598
C3,100.0,61
C3,1000.0,5
C4,1e-08,119
C4,0.001,2169
C4,0.01,17356
C4,0.1,2363
C4,1.0,875
C4,10.0,366
C4,100.0,23
CA125,1e-08,1382
CA125,0.0001,1
CA125,0.001,4130
CA125,0.01,26628
CA125,0.1,55373
CA125,1.0,208528
CA125,10.0,20251
CA125,100.0,227
CA125,1000.0,53
CA153,1e-08,48
CA153,0.001,79
CA153,0.01,458
CA153,0.1,1020
CA153,1.0,3994
CA153,10.0,461
CA153,100.0,22
CA153,1000.0,6
CA199,1e-08,92
CA199,0.001,206
CA199,0.01,1204
CA199,0.1,2187
CA199,1.0,21660
CA199,10.0,2277
CA199,100.0,63
CA199,1000.0,24
CEA,1e-08,82
CEA,0.001,370
CEA,0.01,2721
CEA,0.1,5655
CEA,1.0,8709
CEA,10.0,403
CEA,100.0,29
CEA,1000.0,7
CO2,1e-08,18
CO2,0.001,59
CO2,0.01,466
CO2,0.1,1094
CO2,1.0,187974
CO2,10.0,15255
CRP,1e-08,17105
CRP,0.0001,22
CRP,0.001,48527
CRP,0.01,333918
CRP,0.1,662728
CRP,1.0,4023165
CRP,10.0,230180
CRP,100.0,2342
CRP,1000.0,86
Calcium,1e-08,559166
Calcium,0.001,1777910
Calcium,0.01,4068476
Calcium,0.1,229848
Calcium,1.0,10142
Calcium,10.0,506
Calcium,100.0,55
Chloride,1e-08,35
Chloride,0.001,70
Chloride,0.01,359
Chloride,0.1,588
Chloride,1.0,4958943
Chloride,10.0,58982
Chloride,100.0,358161
Chloride,1000.0,1
Cholesterol,1e-08,606584
Cholesterol,0.0001,466
Cholesterol,0.001,1216677
Cholesterol,0.01,5918622
Cholesterol,0.1,8605576
Cholesterol,1.0,1601173
Cholesterol,10.0,2710
Cholesterol,100.0,40
Cholesterol,1000.0,3
Cholesterol_over_HDL,1e-08,196295
Cholesterol_over_HDL,0.0001,199
Cholesterol_over_HDL,0.001,752876
Cholesterol_over_HDL,0.01,3662388
Cholesterol_over_HDL,0.1,5043979
Cholesterol_over_HDL,1.0,1089005
Cholesterol_over_HDL,10.0,22029
Cholesterol_over_HDL,100.0,4
CorrectedCalcium,1e-08,473142
CorrectedCalcium,0.001,1549010
CorrectedCalcium,0.01,3473618
CorrectedCalcium,0.1,215350
CorrectedCalcium,1.0,3836
CorrectedCalcium,10.0,26
Cortisol,1e-08,19
Cortisol,0.001,34
Cortisol,0.01,162
Cortisol,0.1,321
Cortisol,1.0,49826
Cortisol,10.0,5593
Cortisol,100.0,562
Cortisol,1000.0,3
Creatinine,1e-08,529
Creatinine,0.0001,3
Creatinine,0.001,1234
Creatinine,0.01,8342
Creatinine,0.1,10643
Creatinine,1.0,26471136
Creatinine,10.0,2643721
Creatinine,100.0,324366
Creatinine,1000.0,64
CreatinineKinase,1e-08,14
CreatinineKinase,0.001,44
CreatinineKinase,0.01,243
CreatinineKinase,0.1,535
CreatinineKinase,1.0,810560
CreatinineKinase,10.0,83566
CreatinineKinase,100.0,8536
CreatinineKinase,1000.0,58
Digoxin,1e-08,792
Digoxin,0.001,2239
Digoxin,0.01,38106
Digoxin,0.1,43579
Digoxin,1.0,6789
Digoxin,10.0,65
Digoxin,100.0,128
Digoxin,1000.0,3
EosNum,1e-08,52181
EosNum,0.001,997019
EosNum,0.01,9240416
EosNum,0.1,10740778
EosNum,1.0,106246
EosNum,10.0,555
EosNum,100.0,16
EosPerc,1e-08,6907
EosPerc,0.001,47500
EosPerc,0.01,273533
EosPerc,0.1,545427
EosPerc,1.0,671632
EosPerc,10.0,3713
EosPerc,100.0,1
EosPerc,1000.0,1
FSH,1e-08,19002
FSH,0.0001,5
FSH,0.001,43055
FSH,0.01,213060
FSH,0.1,458524
FSH,1.0,244823
FSH,10.0,16894
FSH,100.0,869
FSH,1000.0,2
Ferritin,1e-08,13598
Ferritin,0.0001,1
Ferritin,0.001,24691
Ferritin,0.01,136453
Ferritin,0.1,292168
Ferritin,1.0,2506767
Ferritin,10.0,261892
Ferritin,100.0,12207
Ferritin,1000.0,403
Fibrinogen,1e-08,4044
Fibrinogen,0.0001,1
Fibrinogen,0.001,12368
Fibrinogen,0.01,70000
Fibrinogen,0.1,74879
Fibrinogen,1.0,20035
Fibrinogen,10.0,650
Fibrinogen,100.0,92
Fibrinogen,1000.0,3
Folate,1e-08,56678
Folate,0.0001,124
Folate,0.001,124868
Folate,0.01,597425
Folate,0.1,1149931
Folate,1.0,247446
Folate,10.0,94285
Folate,100.0,234
Folate,1000.0,24
FreeT3,1e-08,4632
FreeT3,0.001,11452
FreeT3,0.01,36809
FreeT3,0.1,73082
FreeT3,1.0,13822
FreeT3,10.0,277
FreeT3,100.0,7
FreeT4,1e-08,94326
FreeT4,0.0001,360
FreeT4,0.001,254478
FreeT4,0.01,1444677
FreeT4,0.1,3240614
FreeT4,1.0,2168429
FreeT4,10.0,129660
FreeT4,100.0,1227
FreeT4,1000.0,2
Fructosamine,1e-08,152
Fructosamine,0.001,928
Fructosamine,0.01,4673
Fructosamine,0.1,5771
Fructosamine,1.0,39431
Fructosamine,10.0,3965
Fructosamine,100.0,442
Fructosamine,1000.0,3
GFR,1e-08,59946
GFR,0.0001,2385
GFR,0.001,109378
GFR,0.01,741436
GFR,0.1,260582
GFR,1.0,8979480
GFR,10.0,7329665
GFR,100.0,8440
GFR,1000.0,4
GGT,1e-08,73
GGT,0.001,151
GGT,0.01,924
GGT,0.1,1877
GGT,1.0,7592155
GGT,10.0,837731
GGT,100.0,17719
GGT,1000.0,138
Globulin,1e-08,1264
Globulin,0.001,3791
Globulin,0.01,14179
Globulin,0.1,37207
Globulin,1.0,6642346
Globulin,10.0,760879
Globulin,100.0,9
Glucose,1e-08,782456
Glucose,0.0001,20
Glucose,0.001,1027532
Glucose,0.01,4075733
Glucose,0.1,8271539
Glucose,1.0,1572360
Glucose,10.0,35228
Glucose,100.0,97
Glucose,1000.0,11
GtanNum,1e-08,105
GtanNum,0.0001,1
GtanNum,0.001,318
GtanNum,0.01,4744
GtanNum,0.1,1864
GtanNum,1.0,315
GtanNum,10.0,3
HCG,1e-08,167
HCG,0.0001,1
HCG,0.001,319
HCG,0.01,4027
HCG,0.1,6951
HCG,1.0,59996
HCG,10.0,2482
HCG,100.0,512
HCG,1000.0,217
HDL,1e-08,266769
HDL,0.001,690496
HDL,0.01,6894793
HDL,0.1,4451442
HDL,1.0,852851
HDL,10.0,461
HDL,100.0,10
HDL_over_LDL,1e-08,6728
HDL_over_LDL,0.0001,9
HDL_over_LDL,0.001,22022
HDL_over_LDL,0.01,121763
HDL_over_LDL,0.1,126978
HDL_over_LDL,1.0,30605
HDL_over_LDL,10.0,757
HDL_over_LDL,100.0,1
