Name	Unit	Resolution	Ignore	Factors	FinalFactor	FinalUnit	SupposeMean	TrimMax
ALP	IU/L	1	"mmol/L,<None>"					
ALT	U/L	1						
AST	IU/L	1						
Albumin	g/L	1	mg/L		0.1			
Amylase	U/L	1						
PlasmaAnionGap	mmol/L	0.1						
SerumAnionGap	mmol/L	0.1	NA					
B12	ng/L	1						1000
BasNum	10*9/L	0.01	"%,10*9/mL,mmol/L,x 10^9/l,x10*9/L,x10e9/l,nmol/mmol,fL"					
BasPerc	%	1	"(pH),10*9/L,U/L"					100
Bicarbonate	mmol/L	1						
Bilirubin	umol/L	1	m		0.0585			
CA125	kU/L	1	"mL/min/1.73m*2,umol/g(creat),mU/L,umol/mL/h,umol/mmol,U/g(Hb),(knk u),pg/mL,mg/dL,uu/mL,year,/mL,mmol/L,ug/mL,umol/L,mg/L,ueq,ug/min,#/[tot],g/dL,ng,1,mmol/d,U/dL,mU/mL,g/L,pmol/L,ug/g,ml/min/1.73m*2,mL,IU,1(tot),U/g,ratio,uU/L,ug/L,<None>,um,ml/min/1.73m,kg,kua/L,/uL,(bsa),ng/L,mol/L,ng/mL,MicroU/L,ug,%"		1			
Calcium	mmol/L	0.01	"IU/L,g/L,U/L"		4			
CO2	mmol/L	1	"NA,(ppm),%,kPa"					
CRP	mg/L	1	"<None>,ug/L"		0.1			
Chloride	mmol/L	1	meq/L					
Cholesterol	mmol/L	0.1	"ratio,"		38.61			
Cholesterol_over_HDL	ratio	0.1	"Dummy1,%"					
CorrectedCalcium	mmol/L	0.01			4			
Creatinine	umol/L	1	"rad,mU/L,mm(Hg),umol/min,g/L,umol/d,umol/mol(Hb),cm(H2O),nmol/L,cell/L,mmol/mmol,us,umol/mol,umol/kg,mL/min,ng/L,umol/h/g(Hb),mm/h,pmol,ml/min/1.73m*2,nmol/mmol,ratio,mg/L,mosmol/L,lm,umol/mmol,/mL,1,/day,umol/g(creat),10*9/L,mg/d,mmol/d,mU/mL,mmol/mol,mIU/L,week,umol/mL/h,uU/L,pmol/L,ft,ng,mL,1(tot),/L,L,ug/min,mol/s,nmol/mol(creat),uL,mg/mmol,IU/d,titre,mL/s,%,mg/mmol(creat),mmol,ug/L,mg/mg,g/mol,g,/uL,mm,h,m,(bsa),1/mL,um,uu/mL,u,10*3,ng/mL,U/mmol,10*-2(%),mg,mmol/mmol(creat),umol/mmol(creat),fmol,U/L,IU/L"		0.01			
CreatinineKinase	IU/L	1	"mmol/L,umol/L"					
Digoxin	nmol/L	0.1						
eGFR_MDRD	mL/min	1			1			
eGFR_CKD_EPI	mL/min	1			1			
EosNum	10*9/L	0.1	%					
EosPerc	%	1	"(pH),10*9/L,U/L"					100
Ferritin	ug/L	1	"umol/L,<None>,mg/m3"		1			
Fibrinogen	g/L	0.1		0.01	100			
Folate	ug/L	0.1	mg/m3					20
FreeT3	pmol/L	1	"pmol,pg/mL,mU/L,%,h,m,nmol/s,IU/mL,ng/L,uu/mL,ug/d,MicroU/L,umol/L,1,ng,mmol/L,mIU/L"		1			
FreeT4	pmol/L	1		0.128				
FSH	IU/L	0.1	"umol,nmol/L,uu/mL,uU/L,ratio,ng,1,pmol/L,mU/L,IU,L,uL,1(tot),kat,umol/L,mmol,ug/L,kg,/uL,h,mIU/mL,01-Jan,IU/d,kU/L,u,MicroU/L,ug,%,/L,u/mL"		1			
