Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016
1O0..00	871	800	Cancer confirmed		Anc	na	na
4M...00	5	5	Tumour staging		Anc	na	na
4M0..00	53	52	Gleason grading of prostate cancer		Anc	Prostate	Prostate
4M1..00	10	9	Dukes staging system		Anc	CRC	Colon
8B3p.00	99	27	Administration of cancer treatment		Anc	na	na
8BAD000	430	301	Cancer chemotherapy		Anc	na	na
8BAV.00	0	0	Cancer care review		Anc	na	na
8BC6.00	19	18	Cancer treatment started		Anc	na	na
9h81.00	154	143	Excepted from cancer quality indicators: Patient unsuitable		Anc	na	na
9h82.00	72	68	Excepted from cancer quality indicators: Informed dissent		Anc	na	na
9Ow1.00	0	0	Bowel cancer detected by national screening programme		Anc	CRC	Colon
B....00	186	174	Neoplasms		Cancer	na	na
B....11	154	146	Cancers		Cancer	na	na
B0...00	38	36	Malignant neoplasm of lip, oral cavity and pharynx		Cancer	na	na
B1...00	208	194	Malignant neoplasm of digestive organs and peritoneum		Cancer	Digestive System	na
B1...11	21	20	Carcinoma of digestive organs and peritoneum		Cancer	Digestive System	na
B10..00	774	596	Malignant neoplasm of oesophagus		Cancer	Oesophagus	Oesophagus
B11..00	0	0	Malignant neoplasm of stomach		Cancer	Stomach	Stomach
B12..00	6	6	Malignant neoplasm of small intestine and duodenum		Cancer	Small intestine	Small intestine
B13..00	0	0	Malignant neoplasm of colon		Cancer	CRC	Colon
B14..00	51	45	Malignant neoplasm of rectum, rectosigmoid junction and anus		Cancer	CRC	Rectum
B142.00	44	37	Malignant neoplasm of anal canal		Cancer	Anal	Anus
B143.00	21	20	Malignant neoplasm of anus unspecified		Cancer	Anal	Anus
B14y.00	4	4	Malig neop other site rectum, rectosigmoid junction and anus		Cancer	CRC	Rectum
B14z.00	1	1	Malignant neoplasm rectum,rectosigmoid junction and anus NOS		Cancer	CRC	Rectum
B15..00	20	18	Malignant neoplasm of liver and intrahepatic bile ducts		Cancer	Liver	Liver
B153.00	62	57	Secondary malignant neoplasm of liver		Metastases To	Liver	Liver
B16..00	11	9	Malignant neoplasm gallbladder and extrahepatic bile ducts		Cancer	Biliary Tract	Biliary Tract
B17..00	705	559	Malignant neoplasm of pancreas		Cancer	Pancreas	Pancreas
B18..00	9	9	Malignant neoplasm of retroperitoneum and peritoneum		Cancer	Peritoneum	Peritoneum
B1z..00	2	2	Malig neop oth/ill-defined sites digestive tract/peritoneum		Cancer	na	na
B2...00	68	63	Malig neop of respiratory tract and intrathoracic organs		Cancer	Respiratory tract 	na
B21..00	163	125	Malignant neoplasm of larynx		Cancer	Larynx	Larynx
B22..00	604	509	Malignant neoplasm of trachea, bronchus and lung		Cancer	Lung	Lung
B23..00	8	8	Malignant neoplasm of pleura		Cancer	Pleura	Pleura
B240.00	9	8	Malignant neoplasm of thymus		Cancer	na	na
B241.00	1	1	Malignant neoplasm of heart		Cancer	na	na
B241400	2	2	Mesothelioma of pericardium		Cancer	na	na
B243.00	2	2	Malignant neoplasm of posterior mediastinum		Cancer	na	na
B2z..00	4	3	Malig neop other/ill-defined sites resp/intrathoracic organs		Cancer	na	na
B2z0.00	2	2	Malig neop of upper respiratory tract, part unspecified		Cancer	Respiratory tract 	na
B2zy.00	1	1	Malignant neoplasm of other site of respiratory tract		Cancer	Respiratory tract 	na
B2zz.00	27	25	Malignant neoplasm of respiratory tract NOS		Cancer	Respiratory tract 	na
B3...00	124	116	Malig neop of bone, connective tissue, skin and breast		Cancer	na	na
B3...11	26	23	Carcinoma of bone, connective tissue, skin and breast		Cancer	na	na
B3...12	26	18	Sarcoma of bone and connective tissue		Cancer	Bones	Bones
B30..00	12	12	Malignant neoplasm of bone and articular cartilage		Cancer	Bones	Bones
B30..12	2	2	Osteoma		Benign	na	na
B31..00	24	24	Malignant neoplasm of connective and other soft tissue		Cancer	Connective tissue	Connective tissue
B32..00	1301	1042	Malignant melanoma of skin		Cancer	Melanoma	Skin
B33..00	223	206	Other malignant neoplasm of skin		Cancer	Skin	Skin
B33..11	16234	10938	Basal cell carcinoma	this is apparently a morphology as its so common	Cancer	BCC	Skin
B338.00	1411	1146	Squamous cell carcinoma of skin		Cancer	SCC	Skin
B34..00	5599	4591	Malignant neoplasm of female breast		Cancer	Breast	Female Breast
B35..00	38	33	Malignant neoplasm of male breast		Cancer	Breast	Male Breast
B4...00	99	94	Malignant neoplasm of genitourinary organ		Cancer	Genitourinary	na
B40..00	117	107	Malignant neoplasm of uterus, part unspecified		Cancer	Uterus	Uterus
