"","code_type","code","column_name","column_description","type","unique_cnt","total_cnt","top5Vals","ahd_name","data_file"
"1","ahdcode",1064200000,"data1","EXAMINATION_TYPE","string",6,7049801,"[GMP001_3045269(43.20), GMP002_1889212(26.80), _1851120(26.26), GMP003_246871(3.50), GMP004_17328(0.25)]","Diet","CLINICAL"
"2","ahdcode",1091000000,"data1","RESIDENCE_TYPE","string",13,277950,"[_131965(47.48), RES005_96408(34.69), RES001_15558(5.60), RES006_10692(3.85), RES003_8941(3.22)]","Residence","CLINICAL"
"3","ahdcode",1009750000,"data1","PRESENCE(DORSALIS_PEDIS)","string",8,2548718,"[PRE001_2028616(79.59), _299588(11.75), PRE003_119519(4.69), PRE002_82440(3.23), PRE005_15623(0.61)]","Foot pulse left leg","CLINICAL"
"4","ahdcode",1009560000,"data1","NIGHT_COUGH","string",5,1536319,"[NCO001_676104(44.01), _482333(31.40), NCO004_153356(9.98), NCO003_127658(8.31), NCO002_96868(6.31)]","Night cough","CLINICAL"
"5","ahdcode",1007300000,"data1","PRESENCE(RIGHT_JERK)","string",6,1526587,"[PRE001_922100(60.40), PRE005_312564(20.47), _189835(12.44), PRE002_64503(4.23), PRE003_35457(2.32)]","Ankle neuropathy","CLINICAL"
"6","ahdcode",1019500000,"data1","QUALIFIER(HEART_SOUND)","string",7,550011,"[PHR001_535785(97.41), PHR006_6241(1.13), PHR005_2543(0.46), PHR003_2103(0.38), PHR002_1217(0.22)]","CHS - cardio examination","CLINICAL"
"7","ahdcode",1051100000,"data1","QUALIFIER(OBSERVATION)","string",7,51947,"[PHR001_48356(93.09), _1175(2.26), PHR003_1011(1.95), PHR005_527(1.01), PHR002_300(0.58)]","CHS - Locomotion 18 Months","CLINICAL"
"8","ahdcode",1019000000,"data1","QUALIFIER(RHYTHMN)","string",4,871495,"[N/A001_451836(51.85), _384654(44.14), N/A002_31500(3.61), N/A003_3505(0.40)]","Heart examination","CLINICAL"
"9","ahdcode",1020100000,"data1","ASTHMA_RISK_FACTORS","string",21,189288,"[AAR001_72185(38.14), _42254(22.32), AAR002_20772(10.97), AAR003_18468(9.76), AAR006_15817(8.36)]","Asthma risk factors","CLINICAL"
"10","ahdcode",1050200000,"data1","QUALIFIER(APPETITE)","string",7,425413,"[PHR001_384717(90.43), _38053(8.94), PHR003_1162(0.27), PHR002_964(0.23), PHR004_294(0.07)]","CHS - child feeding","CLINICAL"
"11","ahdcode",1056300000,"data1","VISUAL_ACUITY","string",15,1569877,"[VIS002_370933(23.63), _363119(23.13), VIS003_303133(19.31), VIS001_194205(12.37), VIS004_113291(7.22)]","Visual Acuity Right Eye","CLINICAL"
"12","ahdcode",1012000000,"data1","BLOOD_GROUP","string",18,819090,"[_348126(42.50), ABO008_157684(19.25), ABO002_138930(16.96), ABO005_37770(4.61), ABO009_36222(4.42)]","Blood Group","CLINICAL"
"13","ahdcode",1009510000,"data1","ORAL_STEROID(Y/N)","string",3,212709,"[N_139607(65.63), Y_67955(31.95), _5147(2.42)]","Asthma last attack date","CLINICAL"
