InFile	OutFile
-000420._Other_Laboratory_tests-1001400153	NULL
120_minute_blood_glucose_level-44TH.00_Blood_glucose-1001400067	TBD
120_minute_plasma_glucose_level-44g6.00_Blood_glucose-1001400067	TBD
120_minute_serum_glucose_level-44f6.00_Blood_glucose-1001400067	TBD
24_hour_urine_creatinine_output-46MD.00_Urine_Biochemistry-1001400250	TBD
24_hour_urine_volume-46I..00_Urine_Biochemistry-1001400250	TBD
ALT_-_blood_level-44G..11_Alanine_Aminotransferase-1001400006	ALT
ALT_Over_SGPT_level_normal-44G3000_Alanine_Aminotransferase-1001400006	ALT
ALT_Over_SGPT_serum_level-44G3.00_Alanine_Aminotransferase-1001400006	ALT
APTT_-_reference-42Qw.00_Partial_thromboplastin_time-1001400211	PTT
AST_-_aspartate_transam.(SGOT)-44H5.00_Aspartate_Aminotransferase-1001400007	AST
AST_Over_SGOT_level_normal-44H5000_Aspartate_Aminotransferase-1001400007	AST
AST_serum_level-44H5.11_Aspartate_Aminotransferase-1001400007	AST
AST_serum_level-44HB.00_Aspartate_Aminotransferase-1001400007	AST
AST_serum_level-44HB.00_Cardiac_enzymes-1001400236	AST
Abnormal_lymphocytes-42M4.00_Lymphocyte_count-1001400058	LymphNum
Abnormal_monocytes-42N4.00_Monocyte_count-1001400050	MonNum
Activated_partial_thromboplastin_time_ratio-42Qu.00_Partial_thromboplastin_time-1001400211	PTT
Airways_obstruction_reversible-663J.00_Airway_Reversibility-1001400291	NULL
Airways_obstructn_irreversible-663K.00_Airway_Reversibility-1001400291	NULL
Albumin__Over__creatinine_ratio-44J7.00_Albumin_Creatinine_Ratio-1001400319	Albmin/Creatinine
Albumin__Over__creatinine_ratio-44J7.00_Urine_Biochemistry-1001400250	TBD
Alcohol_consumption_NOS-136Z.00_Scoring_test_result-1001400287	NULL
Alcohol_use_disorder_identificatn_test_consumptn_questionnre-38D4.00_Scoring_test_result-1001400287	NULL
Alcohol_use_disorders_identification_test-38D3.00_Scoring_test_result-1001400287	NULL
Alkaline_phosphatase_isoenzyme_studies-44F7.00_Alkaline_Phosphatase-1001400004	TBD
Antenatal_ultrasound_scan-62G..00_Maternity_ultra_sound_scan-1001400161	NULL
Assessing_cardiovascular_risk_using_SIGN_score-38D6.00_Scoring_test_result-1001400287	NULL
Asthma_daytime_symptoms-663q.00_Asthma_daytime_symptoms-1009520000	NULL
Basophil_count-42L..00_Basophil_count-1001400215	BasNum
Basophil_count_NOS-42LZ.00_Basophil_count-1001400215	BasNum
Best_ever_peak_flow_rate-339D.00_PF_best_ever-1001400206	TBD
Biochemical_test-44p..00_Other_Laboratory_tests-1001400153	NULL
Blood_bicarbonate_level-44h3.00_Serum_bicarbonate-1001400245	Bicarbonate
Blood_calcium_level-44h4.00_Calcium-1001400010	Calcium
Blood_chemistry-44...00_Other_Laboratory_tests-1001400153	NULL
Blood_chemistry_NOS-44ZZ.00_Other_Biochemistry_tests-1001400276	NULL
Blood_chloride_level-44h2.00_Serum_chloride-1001400016	Chloride
Blood_folate-42U..00_Folate_level-1001400013	Folate
Blood_glucose_10-13.9_mmol_Over_L-44U6.00_Blood_glucose-1001400067	Glucose
Blood_glucose_2.5-4.9_mmol_Over_L-44U3.00_Blood_glucose-1001400067	Glucose
Blood_glucose_5-6.9_mmol_Over_L-44U4.00_Blood_glucose-1001400067	Glucose
Blood_glucose_7-9.9_mmol_Over_L-44U5.00_Blood_glucose-1001400067	Glucose
Blood_glucose_level-44TJ.00_Blood_glucose-1001400067	Glucose
Blood_glucose_method-44T..00_Blood_glucose-1001400067	Glucose
Blood_glucose_method-44T..00_Fasting_glucose-1001400139	Glucose
Blood_glucose_normal-44U8.00_Blood_glucose-1001400067	Glucose
Blood_glucose_result-44U..00_Blood_glucose-1001400067	Glucose
Blood_inorganic_phosphate_level-44h5.00_Serum_Inorganic_Phosphate-1001400061	InorganicPhosphate
Blood_magnesium-44L2.00_Blood_trace_elements_Over_vitamins-1001400249	Magnesium
Blood_potassium_level-44h0.00_Other_Laboratory_tests-1001400153	Potassium
Blood_potassium_level-44h0.00_Potassium-1001400066	Potassium
Blood_sample_-GreaterThan_Lab_NOS-4145.00_Other_Laboratory_tests-1001400153	NULL
Blood_sodium_level-44h1.00_Other_Laboratory_tests-1001400153	Na
Blood_sodium_level-44h1.00_Sodium-1001400032	Na
Blood_sugar_method-44T..11_Blood_glucose-1001400067	Glucose
Blood_sugar_result-44U..11_Blood_glucose-1001400067	Glucose
Blood_total_carbon_dioxide_(calculated)-44hA.00_Other_Laboratory_tests-1001400153	CO2
Blood_urate-44K..00_Uric_acid_blood_level-1001400132	Urate
Blood_urea-44J8.00_Urea_-_blood-1001400051	Urea
Blood_urea_Over_renal_function-44J..00_Other_Laboratory_tests-1001400153	Urea
Blood_urea_Over_renal_function-44J..00_Urea_-_blood-1001400051	Urea
Blood_urea_Over_renal_function_NOS-44JZ.00_Other_Laboratory_tests-1001400153	Urea
Blood_urea_Over_renal_function_NOS-44JZ.00_Urea_-_blood-1001400051	Urea
Blood_urea_abnormal-44J2.00_Urea_-_blood-1001400051	Urea
Blood_urea_normal-44J1.00_Urea_-_blood-1001400051	Urea
Brain_natriuretic_peptide_level-44AF.00_Other_Laboratory_tests-1001400153	TBD
CA125_level-44a6.00_Carcinoembryonic_antigen-1001400312	CA125
CA153_level-44a2.00_Carcinoembryonic_antigen-1001400312	CA153
CA199_level-44a3.00_Carcinoembryonic_antigen-1001400312	CA199
CEA_-_Carcinoembryonic_antigen_level-44a0.11_Carcinoembryonic_antigen-1001400312	CEA
CHADS2_risk_score-38DE.11_Scoring_test_result-1001400287	CHADS2
CK_-_creatine_kinase_level-44H4.00_Creatine_phosphokinase_level-1001400018	CreatinineKinase
CLASP_shortness_of_breath_score-388H.00_Scoring_test_result-1001400287	NULL
C_reactive_protein_abnormal-44CC100_C_Reactive_protein-1001400144	CRP
C_reactive_protein_normal-44CC000_C_Reactive_protein-1001400144	CRP
Calculated_LDL_cholesterol_level-44PI.00_Low_Density_Lipoprotein-1001400035	LDL
Carbohydrate_antigen_125_level-44a1.00_Carcinoembryonic_antigen-1001400312	CA125
Carcinoembryonic_antigen_level-44a0.00_Carcinoembryonic_antigen-1001400312	TBD
Cardiac_enzymes-44H..00_Cardiac_enzymes-1001400236	TBD
Cholesterol_Over_HDL_ratio-44l2.00_Other_Biochemistry_tests-1001400276	Cholesterol/HDL
Cholesterol_Over_HDL_ratio-44l2.00_Other_Laboratory_tests-1001400153	Cholesterol/HDL
Cholesterol_screen-6879.11_Other_Laboratory_tests-1001400153	TBD
Chronic_obstructive_pulmonary_disease_assessment_test-38Dg.00_Scoring_test_result-1001400287	NULL
Complement-fourth_component-C4-43I2.00_Complement_tests-1001400232	C4
Complement_-third_component-C3-43I1.00_Complement_tests-1001400232	C3
Coronary_heart_disease_risk-388A.00_Scoring_test_result-1001400287	NULL
Corrected_serum_calcium_level-44IC.00_Calcium_adjusted-1001400012	CorrectedCalcium
Corrected_serum_creatinine_level-44JD.00_Serum_creatinine-1001400019	TBD
Creatine_phosphokinase_level-44H4.11_Creatine_phosphokinase_level-1001400018	CreatinineKinase
Creatinine_clearance-glom_filt-4513.00_Creatinine_clearance-1001400020	TBD
Digoxin-_blood_level-44W9.11_Digoxin_blood_level-1001400021	Digoxin
Dip-stick_blood_sugar-44T4.00_Blood_glucose-1001400067	TBD
Direct_(conjugated)_bilirubin-44E4.00_Bilirubin-1001400009	TBD
