signal,res
Albumin,1.00E-01
Albumin_Over_Globulin,1.00E-01
ALKP,1.00E+00
ALT,1.00E+00
aPTT,1.00E+00
Art_PaO2,1.00E+00
Art_PaCO2,1.00E+00
AST,1.00E+00
B12,1.00E+00
Base_Excess,1.00E+00
Basophils#,1.00E-01
Basophils%,1.00E-01
Bicarbonate,1.00E+00
Bilirubin,1.00E-01
Bilirubin_Direct,1.00E-07
Bilirubin_Indirect,1.00E-01
BUN,1.00E+00
Ca,1.00E-01
Cholesterol,1.00E-07
Cholesterol_over_HDL,1.00E-01
Cl,1.00E+00
CO2,1.00E+00
CorrectedCalcium,1.00E-07
Creatine_Kinase,1.00E-07
Creatinine,1.00E-01
CRP,1.00E-01
Eosinophils#,1.00E-01
Eosinophils%,1.00E-01
ETCO2,1.00E+00
Ferritin,1.00E+00
FingerStick_Glucose,1.00E-07
freeCalcium,1.00E-07
FreeT4,1.00E-01
GGT,1.00E+00
Globulin,1.00E-07
Glucose,1.00E+00
HbA1C,1.00E-01
HDL,1.00E+00
Hematocrit,1.00E+00
Hemoglobin,1.00E-01
Immature_Granulocytes%,1.00E-07
Immature_Granulocytes#,1.00E-07
INR,1.00E-01
Iron_Fe,1.00E-07
K+,1.00E-01
Lactate,1.00E-01
LDH,1.00E+00
LDL,1.00E+00
Lipase,1.00E-07
Lymphocytes#,1.00E-01
Lymphocytes%,1.00E-01
MCH,1.00E-01
MCHC-M,1.00E-01
MCV,1.00E+00
Mg,1.00E-01
Monocytes#,1.00E-01
Monocytes%,1.00E+00
MPV,1.00E-01
Na,1.00E+00
Neutrophils#,1.00E-01
Neutrophils%,1.00E+00
NonHDLCholesterol,1.00E-07
NRBC,1.00E-07
pH,1.00E-01
Phosphate,1.00E-07
PlasmaAnionGap,1.00E+00
PlasmaUrate,1.00E-07
Platelets,1.00E+00
Pregnancy,1.00E-07
Protein_Total,1.00E-01
PSA,1.00E-01
PT,1.00E-01
RBC,1.00E-07
RDW,1.00E-07
RDW_ABS,1.00E-01
Triglycerides,1.00E-07
TroponinI,1.00E-02
TSH,1.00E-02
Urea,1.00E-01
Urea_Over_Creatinine,1.00E+00
Uric_Acid,1.00E-01
URINE_Bacteria,1.00E-07
URINE_Bilinogen,1.00E-07
URINE_bilirubin_bin,1.00E-07
Urine_Creatinine,1.00E+00
Urine_dipstick_for_ketones,1.00E-07
Urine_Dipstick_for_Nitrites,1.00E-07
Urine_dipstick_for_protein,1.00E-07
Urine_Glucose,5.00E+01
Urine_Hemoglobin,1.00E-07
Urine_Ketone,1.00E-07
Urine_Leucocytes,1.00E-07
Urine_Microalbumin,1.00E-01
Urine_PH,1.00E-07
URINE_RBC,1.00E-07
Urine_Spec_Gravity,5.00E-03
Urine_Vol,3.50E+00
URINE_WBC,1.00E+00
UrineAlbumin,1.00E+00
UrineAlbumin_over_Creatinine,1.00E-01
UrineCreatinine,1.00E+00
UrineTotalProtein,1.00E+00
UrineUrate,1.00E-02
VitaminD_25,1.00E+00
VLDL,1.00E+00
WBC,1.00E-01
